mepid,result,eugroup,identifier
256956,for,ECR,186889
257117,for,ECR,186889
124760,for,ECR,186889
4746,for,ECR,186889
23788,for,ECR,186889
197501,for,ECR,186889
99878,for,ECR,186889
257096,for,ECR,186889
257147,for,ECR,186889
257095,for,ECR,186889
257076,for,ECR,186889
257091,for,ECR,186889
96810,for,ECR,186889
197607,for,ECR,186889
198490,for,ECR,186889
257097,for,ECR,186889
256986,for,ECR,186889
197794,for,ECR,186889
257055,for,ECR,186889
257144,for,ECR,186889
197516,for,ECR,186889
257056,for,ECR,186889
220871,for,ECR,186889
256845,for,ECR,186889
257149,for,ECR,186889
257077,for,ECR,186889
4395,for,ECR,186889
256922,for,ECR,186889
257060,for,ECR,186889
257080,for,ECR,186889
239260,for,ECR,186889
257058,for,ECR,186889
257086,for,ECR,186889
30123,for,ECR,186889
257150,for,ECR,186889
257115,for,ECR,186889
257145,for,ECR,186889
256907,for,ECR,186889
197820,for,ECR,186889
257104,for,ECR,186889
197773,for,ECR,186889
197545,for,ECR,186889
257113,for,ECR,186889
257021,for,ECR,186889
257109,for,ECR,186889
257025,for,ECR,186889
197553,for,ECR,186889
204346,for,ECR,186889
257114,for,ECR,186889
257116,for,ECR,186889
197655,for,ECR,186889
257090,for,ECR,186889
96697,for,ECR,186889
257163,for,ECR,186889
256925,for,ECR,186889
256806,for,ECR,186889
257258,for,ECR,186889
256884,for,ECR,186889
125106,for,ECR,186889
257099,for,ECR,186889
256811,for,ECR,186889
257143,for,ECR,186889
197537,for,ECR,186889
197552,for,ECR,186889
257052,for,ECR,186889
123562,for,ECR,186889
124877,for,ECR,186889
197572,for,ECR,186889
28615,for,ECR,186889
124884,for,ECR,186889
197475,for,ESN,186889
256929,for,ESN,186889
256948,for,ESN,186889
257457,for,ESN,186889
256945,for,ESN,186889
128483,for,ESN,186889
256928,for,ESN,186889
197556,for,ESN,186889
190574,for,ESN,186889
256808,for,ESN,186889
256941,for,ESN,186889
256957,for,ESN,186889
249982,for,ESN,186889
256944,for,ESN,186889
267485,for,ESN,186889
256959,for,ESN,186889
257255,for,ESN,186889
257070,for,ESN,186889
197763,for,ESN,186889
257125,for,ESN,186889
257260,for,ESN,186889
257069,for,ESN,186889
256858,for,NI,186889
256852,for,NI,186889
23868,for,NI,186889
257067,for,NI,186889
124858,for,NI,186889
256851,for,NI,186889
25758,for,NI,186889
256939,for,NI,186889
257256,for,NI,186889
257007,for,NI,186889
256900,for,NI,186889
23699,for,NI,186889
198373,for,NI,186889
257118,for,NI,186889
256989,for,NI,186889
256969,for,NI,186889
96653,for,NI,186889
256955,for,NI,186889
197534,for,PPE,186889
256919,for,PPE,186889
97399,for,PPE,186889
220908,for,PPE,186889
256918,for,PPE,186889
204336,for,PPE,186889
125325,for,PPE,186889
256983,for,PPE,186889
130881,for,PfE,186889
197691,for,PfE,186889
131580,for,PfE,186889
261797,for,PfE,186889
256998,for,PfE,186889
256881,for,PfE,186889
101039,for,PfE,186889
257024,for,PfE,186889
256878,for,PfE,186889
257064,for,PfE,186889
257072,for,PfE,186889
197829,for,PfE,186889
220840,for,PfE,186889
197786,for,PfE,186889
257131,for,PfE,186889
256886,for,PfE,186889
96826,for,PfE,186889
256981,for,PfE,186889
256834,for,PfE,186889
256874,for,PfE,186889
260724,for,PfE,186889
256853,for,PfE,186889
192254,for,PfE,186889
256857,for,PfE,186889
256896,for,PfE,186889
197628,for,PfE,186889
125052,for,PfE,186889
94649,for,PfE,186889
96830,for,PfE,186889
198176,for,PfE,186889
256842,for,PfE,186889
124715,for,PfE,186889
197627,for,PfE,186889
197528,for,PfE,186889
