mepid,result,eugroup,identifier
23788,for,ECR,174721
257073,for,ECR,174721
197501,for,ECR,174721
257076,for,ECR,174721
257091,for,ECR,174721
257055,for,ECR,174721
197516,for,ECR,174721
257056,for,ECR,174721
197493,for,ECR,174721
257077,for,ECR,174721
257060,for,ECR,174721
257080,for,ECR,174721
257058,for,ECR,174721
257086,for,ECR,174721
197545,for,ECR,174721
257025,for,ECR,174721
197553,for,ECR,174721
197655,for,ECR,174721
257090,for,ECR,174721
96697,for,ECR,174721
256806,for,ECR,174721
256811,for,ECR,174721
123562,for,ECR,174721
124877,for,ECR,174721
197572,for,ECR,174721
124884,for,ECR,174721
256971,for,NI,174721
256810,for,PPE,174721
257043,for,PPE,174721
197490,for,PPE,174721
256820,for,PPE,174721
113523,for,PPE,174721
96808,for,PPE,174721
24922,for,PPE,174721
197492,for,PPE,174721
256887,for,PPE,174721
256947,for,PPE,174721
197534,for,PPE,174721
197679,for,PPE,174721
197408,for,PPE,174721
197778,for,PPE,174721
197648,for,PPE,174721
197636,for,PPE,174721
251324,for,PPE,174721
204129,for,PPE,174721
125012,for,PPE,174721
257047,for,PPE,174721
257081,for,PPE,174721
257051,for,PPE,174721
257296,for,PPE,174721
28122,for,PPE,174721
28219,for,PPE,174721
256921,for,PPE,174721
28390,for,PPE,174721
124861,for,PPE,174721
257034,for,PPE,174721
257078,for,PPE,174721
257028,for,PPE,174721
257030,for,PPE,174721
204333,for,PPE,174721
257237,for,PPE,174721
197473,for,PPE,174721
257048,for,PPE,174721
96787,for,PPE,174721
28226,for,PPE,174721
96811,for,PPE,174721
257035,for,PPE,174721
197649,for,PPE,174721
257137,for,PPE,174721
256840,for,PPE,174721
1917,for,PPE,174721
197414,for,PPE,174721
2341,for,PPE,174721
257032,for,PPE,174721
251874,for,PPE,174721
124807,for,PPE,174721
125204,for,PPE,174721
202036,for,PPE,174721
256919,for,PPE,174721
125027,for,PPE,174721
97399,for,PPE,174721
220908,for,PPE,174721
262021,for,PPE,174721
256985,for,PPE,174721
197514,for,PPE,174721
257033,for,PPE,174721
197646,for,PPE,174721
197412,for,PPE,174721
22418,for,PPE,174721
124895,for,PPE,174721
96780,for,PPE,174721
257065,for,PPE,174721
256918,for,PPE,174721
197517,for,PPE,174721
257031,for,PPE,174721
197840,for,PPE,174721
96934,for,PPE,174721
197839,for,PPE,174721
125068,for,PPE,174721
96668,for,PPE,174721
249603,for,PPE,174721
256831,for,PPE,174721
197523,for,PPE,174721
256846,for,PPE,174721
197525,for,PPE,174721
97968,for,PPE,174721
257261,for,PPE,174721
256920,for,PPE,174721
95074,for,PPE,174721
23781,for,PPE,174721
1927,for,PPE,174721
124808,for,PPE,174721
220896,for,PPE,174721
28399,for,PPE,174721
96791,for,PPE,174721
124806,for,PPE,174721
190713,for,PPE,174721
257082,for,PPE,174721
96936,for,PPE,174721
98341,for,PPE,174721
197841,for,PPE,174721
256980,for,PPE,174721
197662,for,PPE,174721
256974,for,PPE,174721
28400,for,PPE,174721
197711,for,PPE,174721
257151,for,PPE,174721
197647,for,PPE,174721
124802,for,PPE,174721
257027,for,PPE,174721
256847,for,PPE,174721
257039,for,PPE,174721
4289,for,PPE,174721
124701,for,PPE,174721
107212,for,PPE,174721
257049,for,PPE,174721
257040,for,PPE,174721
110673,for,PPE,174721
197738,for,PPE,174721
40599,for,PPE,174721
197404,for,PPE,174721
257107,for,PPE,174721
257128,for,PPE,174721
257041,for,PPE,174721
188945,for,PPE,174721
188096,for,PPE,174721
197413,for,PPE,174721
206158,for,PPE,174721
125670,for,PPE,174721
98219,for,PPE,174721
256809,for,PPE,174721
256979,for,PPE,174721
197422,for,PPE,174721
28223,for,PPE,174721
197425,for,PPE,174721
86057,for,PPE,174721
197426,for,PPE,174721
125325,for,PPE,174721
197417,for,PPE,174721
