mepid,result,eugroup,identifier
256956,for,ECR,196270
257117,for,ECR,196270
257000,for,ECR,196270
256852,for,ECR,196270
124760,for,ECR,196270
4746,for,ECR,196270
23788,for,ECR,196270
257073,for,ECR,196270
197501,for,ECR,196270
99878,for,ECR,196270
257096,for,ECR,196270
257093,for,ECR,196270
257147,for,ECR,196270
257094,for,ECR,196270
257095,for,ECR,196270
257091,for,ECR,196270
96810,for,ECR,196270
197607,for,ECR,196270
198490,for,ECR,196270
257097,for,ECR,196270
256986,for,ECR,196270
197794,for,ECR,196270
257055,for,ECR,196270
257144,for,ECR,196270
197516,for,ECR,196270
257022,for,ECR,196270
257256,for,ECR,196270
257056,for,ECR,196270
220871,for,ECR,196270
256845,for,ECR,196270
257149,for,ECR,196270
257077,for,ECR,196270
4395,for,ECR,196270
256922,for,ECR,196270
257060,for,ECR,196270
239260,for,ECR,196270
257058,for,ECR,196270
30123,for,ECR,196270
257150,for,ECR,196270
257115,for,ECR,196270
257145,for,ECR,196270
256907,for,ECR,196270
197820,for,ECR,196270
257104,for,ECR,196270
197545,for,ECR,196270
257113,for,ECR,196270
257021,for,ECR,196270
257109,for,ECR,196270
257025,for,ECR,196270
257119,for,ECR,196270
197553,for,ECR,196270
257114,for,ECR,196270
257116,for,ECR,196270
197655,for,ECR,196270
257090,for,ECR,196270
96697,for,ECR,196270
257163,for,ECR,196270
256925,for,ECR,196270
256806,for,ECR,196270
257258,for,ECR,196270
257099,for,ECR,196270
256811,for,ECR,196270
197537,for,ECR,196270
197552,for,ECR,196270
257052,for,ECR,196270
123562,for,ECR,196270
124877,for,ECR,196270
197842,for,ECR,196270
197572,for,ECR,196270
28615,for,ECR,196270
124884,for,ECR,196270
197475,for,ESN,196270
256951,for,ESN,196270
256929,for,ESN,196270
256948,for,ESN,196270
257457,for,ESN,196270
256945,for,ESN,196270
128483,for,ESN,196270
256928,for,ESN,196270
197556,for,ESN,196270
256949,for,ESN,196270
190574,for,ESN,196270
256808,for,ESN,196270
256942,for,ESN,196270
256941,for,ESN,196270
256957,for,ESN,196270
256924,for,ESN,196270
257262,for,ESN,196270
249982,for,ESN,196270
256944,for,ESN,196270
267485,for,ESN,196270
256959,for,ESN,196270
257255,for,ESN,196270
257070,for,ESN,196270
257062,for,ESN,196270
197763,for,ESN,196270
257125,for,ESN,196270
257260,for,ESN,196270
256858,for,NI,196270
23868,for,NI,196270
256851,for,NI,196270
220908,for,NI,196270
257120,for,NI,196270
257007,for,NI,196270
256900,for,NI,196270
23699,for,NI,196270
198373,for,NI,196270
257019,for,NI,196270
