mepid,result,eugroup,identifier
257117,for,ECR,181071
257000,for,ECR,181071
4746,for,ECR,181071
23788,for,ECR,181071
257073,for,ECR,181071
197501,for,ECR,181071
99878,for,ECR,181071
257096,for,ECR,181071
257093,for,ECR,181071
257147,for,ECR,181071
257094,for,ECR,181071
257095,for,ECR,181071
257076,for,ECR,181071
257091,for,ECR,181071
96810,for,ECR,181071
197607,for,ECR,181071
198490,for,ECR,181071
256986,for,ECR,181071
197794,for,ECR,181071
257055,for,ECR,181071
257144,for,ECR,181071
197516,for,ECR,181071
257022,for,ECR,181071
257056,for,ECR,181071
197469,for,ECR,181071
220871,for,ECR,181071
256845,for,ECR,181071
197493,for,ECR,181071
257149,for,ECR,181071
257077,for,ECR,181071
4395,for,ECR,181071
256922,for,ECR,181071
197824,for,ECR,181071
257060,for,ECR,181071
257080,for,ECR,181071
239260,for,ECR,181071
257058,for,ECR,181071
257086,for,ECR,181071
30123,for,ECR,181071
257150,for,ECR,181071
257115,for,ECR,181071
257145,for,ECR,181071
256907,for,ECR,181071
197820,for,ECR,181071
257104,for,ECR,181071
197773,for,ECR,181071
197545,for,ECR,181071
257113,for,ECR,181071
257021,for,ECR,181071
257109,for,ECR,181071
257025,for,ECR,181071
257119,for,ECR,181071
197553,for,ECR,181071
257114,for,ECR,181071
257116,for,ECR,181071
197655,for,ECR,181071
257090,for,ECR,181071
257163,for,ECR,181071
256925,for,ECR,181071
256806,for,ECR,181071
257258,for,ECR,181071
256884,for,ECR,181071
125106,for,ECR,181071
257099,for,ECR,181071
256811,for,ECR,181071
257143,for,ECR,181071
197537,for,ECR,181071
197552,for,ECR,181071
257052,for,ECR,181071
123562,for,ECR,181071
197572,for,ECR,181071
28615,for,ECR,181071
124884,for,ECR,181071
197475,for,ESN,181071
256951,for,ESN,181071
256929,for,ESN,181071
256948,for,ESN,181071
257457,for,ESN,181071
256945,for,ESN,181071
128483,for,ESN,181071
256928,for,ESN,181071
256949,for,ESN,181071
190574,for,ESN,181071
256808,for,ESN,181071
256942,for,ESN,181071
256941,for,ESN,181071
256957,for,ESN,181071
256924,for,ESN,181071
249982,for,ESN,181071
267485,for,ESN,181071
256959,for,ESN,181071
257255,for,ESN,181071
257070,for,ESN,181071
257062,for,ESN,181071
197763,for,ESN,181071
257069,for,ESN,181071
256858,for,NI,181071
23868,for,NI,181071
256851,for,NI,181071
257256,for,NI,181071
257007,for,NI,181071
23699,for,NI,181071
198373,for,NI,181071
257118,for,NI,181071
257019,for,NI,181071
256969,for,NI,181071
96653,for,NI,181071
256871,for,NI,181071
256810,for,PPE,181071
257043,for,PPE,181071
197490,for,PPE,181071
256820,for,PPE,181071
113523,for,PPE,181071
96808,for,PPE,181071
24922,for,PPE,181071
197492,for,PPE,181071
256887,for,PPE,181071
197534,for,PPE,181071
197679,for,PPE,181071
197408,for,PPE,181071
197778,for,PPE,181071
197410,for,PPE,181071
197648,for,PPE,181071
197636,for,PPE,181071
251324,for,PPE,181071
204129,for,PPE,181071
125012,for,PPE,181071
257081,for,PPE,181071
257296,for,PPE,181071
28122,for,PPE,181071
256921,for,PPE,181071
28390,for,PPE,181071
257034,for,PPE,181071
257078,for,PPE,181071
257028,for,PPE,181071
256862,for,PPE,181071
257030,for,PPE,181071
204333,for,PPE,181071
257237,for,PPE,181071
197473,for,PPE,181071
257048,for,PPE,181071
96787,for,PPE,181071
99945,for,PPE,181071
28226,for,PPE,181071
197649,for,PPE,181071
257137,for,PPE,181071
256840,for,PPE,181071
1917,for,PPE,181071
2341,for,PPE,181071
257032,for,PPE,181071
256866,for,PPE,181071
251874,for,PPE,181071
124807,for,PPE,181071
125204,for,PPE,181071
202036,for,PPE,181071
256919,for,PPE,181071
125027,for,PPE,181071
97399,for,PPE,181071
220908,for,PPE,181071
262021,for,PPE,181071
256985,for,PPE,181071
197514,for,PPE,181071
257033,for,PPE,181071
197646,for,PPE,181071
197412,for,PPE,181071
22418,for,PPE,181071
124895,for,PPE,181071
96780,for,PPE,181071
257065,for,PPE,181071
256918,for,PPE,181071
197517,for,PPE,181071
257031,for,PPE,181071
197840,for,PPE,181071
96934,for,PPE,181071
125068,for,PPE,181071
96668,for,PPE,181071
249603,for,PPE,181071
256831,for,PPE,181071
256973,for,PPE,181071
197523,for,PPE,181071
197406,for,PPE,181071
256846,for,PPE,181071
256861,for,PPE,181071
197525,for,PPE,181071
97968,for,PPE,181071
256864,for,PPE,181071
256865,for,PPE,181071
256920,for,PPE,181071
95074,for,PPE,181071
23781,for,PPE,181071
204336,for,PPE,181071
1927,for,PPE,181071
124808,for,PPE,181071
220896,for,PPE,181071
28399,for,PPE,181071
96791,for,PPE,181071
124806,for,PPE,181071
190713,for,PPE,181071
257082,for,PPE,181071
124828,for,PPE,181071
96936,for,PPE,181071
98341,for,PPE,181071
197841,for,PPE,181071
256980,for,PPE,181071
197662,for,PPE,181071
256943,for,PPE,181071
256974,for,PPE,181071
197711,for,PPE,181071
72779,for,PPE,181071
257151,for,PPE,181071
197647,for,PPE,181071
124802,for,PPE,181071
257027,for,PPE,181071
256847,for,PPE,181071
257039,for,PPE,181071
4289,for,PPE,181071
124701,for,PPE,181071
107212,for,PPE,181071
257049,for,PPE,181071
257040,for,PPE,181071
110673,for,PPE,181071
197738,for,PPE,181071
197404,for,PPE,181071
257107,for,PPE,181071
257128,for,PPE,181071
257041,for,PPE,181071
124850,for,PPE,181071
188096,for,PPE,181071
197413,for,PPE,181071
125670,for,PPE,181071
98219,for,PPE,181071
256809,for,PPE,181071
256979,for,PPE,181071
197422,for,PPE,181071
28223,for,PPE,181071
197425,for,PPE,181071
86057,for,PPE,181071
197426,for,PPE,181071
125325,for,PPE,181071
197417,for,PPE,181071
197784,for,PPE,181071
256889,for,PPE,181071
257068,for,PPE,181071
119435,for,PPE,181071
257026,for,PPE,181071
257089,for,PPE,181071
256968,for,PPE,181071
204449,for,PPE,181071
197402,for,PPE,181071
256814,for,PPE,181071
125104,for,PPE,181071
219652,for,PPE,181071
256804,for,PPE,181071
256950,for,PPE,181071
28617,for,PPE,181071
37324,for,PPE,181071
256983,for,PPE,181071
96756,for,PPE,181071
98582,for,PPE,181071
125065,for,PPE,181071
204400,for,PPE,181071
197863,for,PPE,181071
197429,for,PPE,181071
197405,for,PPE,181071
257045,for,PPE,181071
257046,for,PPE,181071
28229,for,PPE,181071
256977,for,PPE,181071
39725,for,PPE,181071
197652,for,PPE,181071
197421,for,PPE,181071
197606,for,PPE,181071
124713,for,PPE,181071
124893,for,PPE,181071
197621,for,PPE,181071
185341,for,PPE,181071
96933,for,PPE,181071
197691,for,PfE,181071
124973,for,PfE,181071
131580,for,PfE,181071
256852,for,PfE,181071
261797,for,PfE,181071
256998,for,PfE,181071
256881,for,PfE,181071
101039,for,PfE,181071
257024,for,PfE,181071
256878,for,PfE,181071
257064,for,PfE,181071
257072,for,PfE,181071
197829,for,PfE,181071
220840,for,PfE,181071
197786,for,PfE,181071
257131,for,PfE,181071
236050,for,PfE,181071
256886,for,PfE,181071
256981,for,PfE,181071
256834,for,PfE,181071
256874,for,PfE,181071
260724,for,PfE,181071
256853,for,PfE,181071
192254,for,PfE,181071
256857,for,PfE,181071
256876,for,PfE,181071
256896,for,PfE,181071
28150,for,PfE,181071
197628,for,PfE,181071
125052,for,PfE,181071
94649,for,PfE,181071
96830,for,PfE,181071
23816,for,PfE,181071
198176,for,PfE,181071
256842,for,PfE,181071
197627,for,PfE,181071
197528,for,PfE,181071
270261,for,PfE,181071
256909,for,PfE,181071
261038,for,PfE,181071
256860,for,PfE,181071
256954,for,PfE,181071
256872,for,PfE,181071
256895,for,PfE,181071
197623,for,PfE,181071
257029,for,PfE,181071
257054,for,PfE,181071
256843,for,PfE,181071
256883,for,PfE,181071
197687,for,PfE,181071
36392,for,PfE,181071
126699,for,PfE,181071
256877,for,PfE,181071
256893,for,PfE,181071
204414,for,PfE,181071
256844,for,PfE,181071
256882,for,PfE,181071
88552,for,PfE,181071
197578,for,PfE,181071
213330,for,PfE,181071
272024,for,PfE,181071
220897,for,PfE,181071
256855,for,PfE,181071
257050,for,PfE,181071
197831,for,PfE,181071
200345,for,PfE,181071
256888,for,PfE,181071
197580,for,PfE,181071
185771,for,PfE,181071
257125,for,PfE,181071
5736,for,PfE,181071
256859,for,PfE,181071
125001,for,PfE,181071
124875,for,PfE,181071
261796,for,PfE,181071
103246,for,PfE,181071
197430,for,Renew,181071
197444,for,Renew,181071
197445,for,Renew,181071
197432,for,Renew,181071
256962,for,Renew,181071
130100,for,Renew,181071
124785,for,S&D,181071
197810,for,S&D,181071
124858,against,NI,181071
25758,against,NI,181071
197734,against,NI,181071
257018,against,NI,181071
256989,against,NI,181071
125093,against,NI,181071
256971,against,NI,181071
256966,against,NI,181071
256967,against,NI,181071
197842,against,NI,181071
256955,against,NI,181071
197839,against,PPE,181071
28400,against,PPE,181071
40599,against,PPE,181071
256987,against,Renew,181071
256869,against,Renew,181071
124766,against,Renew,181071
257020,against,Renew,181071
197577,against,Renew,181071
256841,against,Renew,181071
96711,against,Renew,181071
256891,against,Renew,181071
197463,against,Renew,181071
197558,against,Renew,181071
257297,against,Renew,181071
197504,against,Renew,181071
256870,against,Renew,181071
197589,against,Renew,181071
257038,against,Renew,181071
256970,against,Renew,181071
96940,against,Renew,181071
840,against,Renew,181071
204419,against,Renew,181071
197557,against,Renew,181071
197543,against,Renew,181071
135511,against,Renew,181071
198073,against,Renew,181071
197770,against,Renew,181071
197624,against,Renew,181071
197447,against,Renew,181071
197401,against,Renew,181071
257013,against,Renew,181071
191693,against,Renew,181071
197818,against,Renew,181071
22858,against,Renew,181071
257037,against,Renew,181071
124866,against,Renew,181071
197494,against,Renew,181071
96709,against,Renew,181071
257300,against,Renew,181071
257259,against,Renew,181071
257301,against,Renew,181071
257010,against,Renew,181071
129073,against,Renew,181071
257257,against,Renew,181071
256815,against,Renew,181071
256946,against,Renew,181071
256839,against,Renew,181071
124700,against,Renew,181071
256976,against,Renew,181071
257112,against,Renew,181071
256879,against,Renew,181071
214839,against,Renew,181071
197769,against,Renew,181071
220801,against,Renew,181071
257011,against,Renew,181071
197581,against,Renew,181071
256807,against,Renew,181071
197403,against,S&D,181071
119652,against,S&D,181071
202073,against,S&D,181071
257123,against,S&D,181071
256829,against,S&D,181071
28307,against,S&D,181071
256936,against,S&D,181071
247735,against,S&D,181071
197433,against,S&D,181071
197658,against,S&D,181071
197498,against,S&D,181071
197435,against,S&D,181071
96681,against,S&D,181071
257108,against,S&D,181071
112748,against,S&D,181071
4267,against,S&D,181071
197440,against,S&D,181071
257100,against,S&D,181071
257002,against,S&D,181071
256880,against,S&D,181071
197782,against,S&D,181071
245018,against,S&D,181071
257169,against,S&D,181071
256937,against,S&D,181071
256938,against,S&D,181071
40224,against,S&D,181071
38542,against,S&D,181071
257087,against,S&D,181071
1294,against,S&D,181071
197579,against,S&D,181071
237465,against,S&D,181071
257088,against,S&D,181071
125046,against,S&D,181071
257098,against,S&D,181071
197391,against,S&D,181071
197702,against,S&D,181071
28298,against,S&D,181071
96833,against,S&D,181071
256901,against,S&D,181071
197694,against,S&D,181071
257075,against,S&D,181071
256997,against,S&D,181071
257059,against,S&D,181071
257079,against,S&D,181071
197718,against,S&D,181071
257102,against,S&D,181071
256830,against,S&D,181071
197618,against,S&D,181071
256803,against,S&D,181071
197682,against,S&D,181071
197800,against,S&D,181071
122978,against,S&D,181071
197392,against,S&D,181071
256992,against,S&D,181071
112747,against,S&D,181071
256898,against,S&D,181071
256908,against,S&D,181071
197491,against,S&D,181071
197697,against,S&D,181071
1909,against,S&D,181071
256899,against,S&D,181071
230085,against,S&D,181071
125042,against,S&D,181071
96812,against,S&D,181071
197721,against,S&D,181071
257124,against,S&D,181071
197719,against,S&D,181071
91636,against,S&D,181071
197653,against,S&D,181071
256824,against,S&D,181071
204418,against,S&D,181071
257053,against,S&D,181071
256994,against,S&D,181071
197497,against,S&D,181071
124722,against,S&D,181071
28347,against,S&D,181071
124799,against,S&D,181071
257103,against,S&D,181071
88882,against,S&D,181071
233862,against,S&D,181071
124836,against,S&D,181071
256993,against,S&D,181071
244571,against,S&D,181071
256903,against,S&D,181071
197845,against,S&D,181071
124846,against,S&D,181071
112744,against,S&D,181071
256902,against,S&D,181071
96998,against,S&D,181071
229839,against,S&D,181071
256935,against,S&D,181071
218347,against,S&D,181071
257121,against,S&D,181071
256904,against,S&D,181071
257066,against,S&D,181071
204413,against,S&D,181071
257170,against,S&D,181071
197722,against,S&D,181071
257001,against,S&D,181071
256905,against,S&D,181071
37312,against,S&D,181071
257084,against,S&D,181071
197670,against,S&D,181071
256999,against,S&D,181071
197677,against,S&D,181071
96932,against,S&D,181071
257101,against,S&D,181071
257160,against,S&D,181071
257071,against,S&D,181071
210480,against,S&D,181071
197591,against,S&D,181071
256885,against,S&D,181071
257148,against,S&D,181071
5729,against,S&D,181071
260035,against,S&D,181071
34232,against,S&D,181071
199941,against,S&D,181071
185619,against,S&D,181071
5392,against,S&D,181071
257106,against,S&D,181071
28419,against,S&D,181071
256805,against,The Left,181071
257138,against,The Left,181071
197701,against,The Left,181071
