mepid,result,eugroup,identifier
840,attended,Renew,178181
1294,attended,S&D,178181
1909,attended,S&D,178181
1917,attended,EPP,178181
1927,attended,EPP,178181
2152,attended,Greens/EFA,178181
2268,attended,GUE/NGL,178181
2341,attended,EPP,178181
4267,attended,S&D,178181
4289,attended,EPP,178181
4395,attended,ECR,178181
4746,attended,ECR,178181
5392,attended,S&D,178181
5729,attended,S&D,178181
5736,attended,Patriots,178181
22418,attended,EPP,178181
22858,attended,Renew,178181
23699,attended,NA,178181
23781,attended,EPP,178181
23788,attended,ECR,178181
23816,attended,Patriots,178181
23868,attended,NA,178181
24922,excused,EPP,178181
24942,attended,Greens/EFA,178181
25758,attended,NA,178181
28122,attended,EPP,178181
28150,attended,Patriots,178181
28219,attended,EPP,178181
28223,attended,EPP,178181
28226,attended,EPP,178181
28307,attended,S&D,178181
28347,attended,S&D,178181
28390,attended,EPP,178181
28399,attended,EPP,178181
28400,attended,EPP,178181
28419,attended,S&D,178181
28617,attended,EPP,178181
30123,attended,ECR,178181
30482,attended,GUE/NGL,178181
33998,attended,S&D,178181
34232,attended,S&D,178181
36392,attended,Patriots,178181
37312,attended,S&D,178181
37324,attended,EPP,178181
38511,attended,Patriots,178181
38542,attended,S&D,178181
39725,attended,EPP,178181
40224,attended,S&D,178181
40599,attended,EPP,178181
58766,attended,Greens/EFA,178181
72779,attended,EPP,178181
86057,attended,EPP,178181
86793,attended,Greens/EFA,178181
88552,attended,Patriots,178181
88882,attended,S&D,178181
91636,attended,S&D,178181
94649,attended,Patriots,178181
95074,attended,EPP,178181
96653,attended,NA,178181
96668,attended,EPP,178181
96675,attended,Greens/EFA,178181
96681,attended,S&D,178181
96697,attended,ECR,178181
96709,attended,Renew,178181
96711,attended,Renew,178181
96752,attended,Greens/EFA,178181
96756,attended,EPP,178181
96761,attended,EPP,178181
96780,attended,EPP,178181
96787,attended,EPP,178181
96791,attended,EPP,178181
96808,attended,EPP,178181
96810,attended,ECR,178181
96811,attended,EPP,178181
96826,attended,Patriots,178181
96830,attended,Patriots,178181
96833,attended,S&D,178181
96932,attended,S&D,178181
96933,attended,EPP,178181
96934,attended,EPP,178181
96936,attended,EPP,178181
96940,attended,Renew,178181
96998,attended,S&D,178181
97236,attended,Greens/EFA,178181
97399,attended,EPP,178181
97968,attended,EPP,178181
98219,attended,EPP,178181
98341,attended,EPP,178181
98582,attended,EPP,178181
99878,attended,ECR,178181
99945,attended,EPP,178181
101039,attended,Patriots,178181
101585,attended,S&D,178181
103246,attended,Patriots,178181
106936,attended,Greens/EFA,178181
107212,attended,EPP,178181
110673,attended,EPP,178181
111412,attended,Greens/EFA,178181
112744,attended,S&D,178181
112747,attended,S&D,178181
112748,attended,S&D,178181
113523,attended,EPP,178181
118859,attended,EPP,178181
119435,attended,EPP,178181
119652,attended,S&D,178181
122978,attended,S&D,178181
123562,attended,ECR,178181
124691,attended,S&D,178181
124700,attended,Renew,178181
124701,attended,EPP,178181
124713,attended,EPP,178181
124722,attended,S&D,178181
124736,attended,GUE/NGL,178181
124760,attended,ECR,178181
124766,attended,Renew,178181
124785,attended,S&D,178181
124795,attended,EPP,178181
124799,attended,S&D,178181
124802,attended,EPP,178181
124806,attended,EPP,178181
124807,attended,EPP,178181
124808,attended,EPP,178181
124813,attended,GUE/NGL,178181
124828,attended,EPP,178181
124834,attended,NA,178181
124836,attended,S&D,178181
124846,attended,S&D,178181
124850,attended,EPP,178181
124858,attended,NA,178181
124861,attended,EPP,178181
124866,attended,Renew,178181
124867,attended,S&D,178181
124877,attended,ECR,178181
124884,attended,ECR,178181
124893,attended,EPP,178181
124973,attended,Patriots,178181
124984,attended,GUE/NGL,178181
124985,attended,GUE/NGL,178181
125012,attended,EPP,178181
125023,excused,GUE/NGL,178181
125027,attended,EPP,178181
125042,attended,S&D,178181
125046,attended,S&D,178181
125052,attended,Patriots,178181
125065,attended,EPP,178181
125068,attended,EPP,178181
125093,attended,NA,178181
125104,attended,EPP,178181
125106,attended,ECR,178181
125204,attended,EPP,178181
125325,attended,EPP,178181
125670,attended,EPP,178181
126699,attended,Patriots,178181
127766,attended,GUE/NGL,178181
129073,attended,Renew,178181
130100,attended,Renew,178181
131580,attended,Patriots,178181
183916,attended,Greens/EFA,178181
185341,attended,EPP,178181
185771,attended,Patriots,178181
187917,attended,GUE/NGL,178181
188096,attended,EPP,178181
188945,attended,EPP,178181
189065,attended,Patriots,178181
190464,attended,Greens/EFA,178181
190574,attended,ESN,178181
190713,attended,EPP,178181
191693,attended,Renew,178181
192254,attended,Patriots,178181
193292,attended,Greens/EFA,178181
197391,attended,S&D,178181
197392,attended,S&D,178181
197395,attended,Greens/EFA,178181
197398,attended,Greens/EFA,178181
197401,attended,Renew,178181
197402,attended,EPP,178181
197403,attended,S&D,178181
197404,attended,EPP,178181
197405,attended,EPP,178181
197406,attended,EPP,178181
197408,attended,EPP,178181
197410,attended,EPP,178181
197412,attended,EPP,178181
197413,attended,EPP,178181
197414,attended,EPP,178181
197416,attended,GUE/NGL,178181
197417,attended,EPP,178181
197421,attended,EPP,178181
197422,attended,EPP,178181
197425,attended,EPP,178181
197426,attended,EPP,178181
197429,attended,EPP,178181
197430,attended,Renew,178181
197432,attended,Renew,178181
197433,attended,S&D,178181
197435,attended,S&D,178181
197439,attended,Greens/EFA,178181
197440,excused,S&D,178181
197443,attended,Renew,178181
197444,attended,Renew,178181
197445,attended,Renew,178181
197447,attended,Renew,178181
197448,attended,Greens/EFA,178181
197449,attended,Greens/EFA,178181
197460,attended,Greens/EFA,178181
197461,attended,Greens/EFA,178181
197462,attended,Greens/EFA,178181
197463,attended,Renew,178181
197464,attended,Greens/EFA,178181
197466,attended,Greens/EFA,178181
197468,attended,GUE/NGL,178181
197470,attended,Greens/EFA,178181
197473,attended,EPP,178181
197475,attended,ESN,178181
197490,attended,EPP,178181
197491,attended,S&D,178181
197492,attended,EPP,178181
197493,attended,ECR,178181
197494,attended,Renew,178181
197497,attended,S&D,178181
197498,attended,S&D,178181
197500,attended,Greens/EFA,178181
197501,attended,ECR,178181
197502,attended,Renew,178181
197503,attended,Greens/EFA,178181
197514,attended,EPP,178181
197517,attended,EPP,178181
197523,attended,EPP,178181
197525,attended,EPP,178181
197528,attended,Patriots,178181
197529,attended,GUE/NGL,178181
197533,attended,GUE/NGL,178181
197534,attended,EPP,178181
197537,attended,ECR,178181
197543,attended,Renew,178181
197545,attended,ECR,178181
197549,attended,Greens/EFA,178181
197552,attended,ECR,178181
197553,attended,ECR,178181
197556,attended,ESN,178181
197557,attended,Renew,178181
197558,attended,Renew,178181
197572,attended,ECR,178181
197573,attended,Greens/EFA,178181
197574,attended,GUE/NGL,178181
197577,attended,Renew,178181
197578,attended,Patriots,178181
197579,attended,S&D,178181
197580,attended,Patriots,178181
197581,attended,Renew,178181
197589,attended,Renew,178181
197591,attended,S&D,178181
197606,attended,EPP,178181
197607,attended,ECR,178181
197621,attended,EPP,178181
197624,attended,Renew,178181
197627,attended,Patriots,178181
197628,attended,Patriots,178181
197636,attended,EPP,178181
197646,attended,EPP,178181
197648,attended,EPP,178181
197649,attended,EPP,178181
197652,attended,EPP,178181
197653,attended,S&D,178181
197655,attended,ECR,178181
197662,attended,EPP,178181
197670,attended,S&D,178181
197677,attended,S&D,178181
197679,attended,EPP,178181
197682,attended,S&D,178181
197684,attended,GUE/NGL,178181
197687,attended,Patriots,178181
197690,attended,Patriots,178181
197691,attended,Patriots,178181
197694,attended,S&D,178181
197697,attended,S&D,178181
197699,attended,GUE/NGL,178181
197701,attended,GUE/NGL,178181
197702,attended,S&D,178181
197711,attended,EPP,178181
197718,attended,S&D,178181
197719,attended,S&D,178181
197721,attended,S&D,178181
197722,attended,S&D,178181
197734,attended,NA,178181
197738,attended,EPP,178181
197763,attended,ESN,178181
197769,attended,Renew,178181
197770,attended,Renew,178181
197772,attended,Greens/EFA,178181
197773,attended,ECR,178181
197778,attended,EPP,178181
197780,attended,Renew,178181
197781,attended,Renew,178181
197782,attended,S&D,178181
197784,attended,EPP,178181
197786,attended,Patriots,178181
197794,attended,ECR,178181
197795,attended,GUE/NGL,178181
197800,attended,S&D,178181
197802,attended,Greens/EFA,178181
197818,attended,Renew,178181
197825,attended,Patriots,178181
197829,attended,Patriots,178181
197831,attended,Patriots,178181
197832,attended,Greens/EFA,178181
197839,attended,EPP,178181
197840,attended,EPP,178181
197841,attended,EPP,178181
197842,attended,NA,178181
197845,attended,S&D,178181
197863,attended,EPP,178181
197870,attended,Greens/EFA,178181
198076,excused,Greens/EFA,178181
198084,attended,Renew,178181
198176,attended,Patriots,178181
198373,attended,NA,178181
198490,attended,ECR,178181
199941,attended,S&D,178181
200345,attended,Patriots,178181
201945,attended,Greens/EFA,178181
202036,attended,EPP,178181
202073,attended,S&D,178181
204129,attended,EPP,178181
204332,attended,Renew,178181
204333,attended,EPP,178181
204336,attended,EPP,178181
204346,attended,ECR,178181
204400,attended,EPP,178181
204413,attended,S&D,178181
204414,attended,Patriots,178181
204418,attended,S&D,178181
204419,attended,Renew,178181
204449,attended,EPP,178181
208722,attended,Greens/EFA,178181
210480,attended,S&D,178181
213330,attended,Patriots,178181
214839,attended,Renew,178181
218347,attended,S&D,178181
219652,attended,EPP,178181
220801,attended,Renew,178181
220840,attended,Patriots,178181
220871,attended,ECR,178181
220896,attended,EPP,178181
220897,attended,Patriots,178181
220908,attended,EPP,178181
230085,attended,S&D,178181
233862,attended,S&D,178181
236050,attended,Patriots,178181
236053,attended,GUE/NGL,178181
237465,attended,S&D,178181
239260,attended,ECR,178181
245770,attended,GUE/NGL,178181
247735,attended,S&D,178181
249603,attended,EPP,178181
249982,attended,ESN,178181
251324,attended,EPP,178181
251874,attended,EPP,178181
256803,attended,S&D,178181
256804,attended,EPP,178181
256805,attended,GUE/NGL,178181
256806,attended,ECR,178181
256807,attended,Renew,178181
256808,attended,ESN,178181
256809,attended,EPP,178181
256810,attended,EPP,178181
256811,attended,ECR,178181
256813,attended,Greens/EFA,178181
256814,attended,EPP,178181
256815,attended,Renew,178181
256820,attended,EPP,178181
256823,attended,GUE/NGL,178181
256824,attended,S&D,178181
256829,attended,S&D,178181
256830,attended,S&D,178181
256831,attended,EPP,178181
256833,attended,Greens/EFA,178181
256834,attended,Patriots,178181
256839,attended,Renew,178181
256840,attended,EPP,178181
256841,attended,Renew,178181
256842,attended,Patriots,178181
256843,attended,Patriots,178181
256844,attended,Patriots,178181
256845,attended,ECR,178181
256846,attended,EPP,178181
256847,attended,EPP,178181
256850,attended,PfE,178181
256851,attended,NA,178181
256852,attended,Patriots,178181
256853,attended,Patriots,178181
256855,attended,Patriots,178181
256857,attended,Patriots,178181
256858,attended,NA,178181
256859,attended,Patriots,178181
256860,attended,Patriots,178181
256861,attended,EPP,178181
256862,attended,EPP,178181
256863,attended,EPP,178181
256864,attended,EPP,178181
256865,attended,EPP,178181
256866,attended,EPP,178181
256868,attended,EPP,178181
256869,attended,Renew,178181
256870,attended,Renew,178181
256871,attended,NA,178181
256872,attended,Patriots,178181
256874,attended,Patriots,178181
256875,attended,Patriots,178181
256876,attended,Patriots,178181
256877,attended,Patriots,178181
256878,attended,Patriots,178181
256880,attended,S&D,178181
256881,attended,Patriots,178181
256882,attended,Patriots,178181
256883,attended,Patriots,178181
256884,attended,ECR,178181
256885,attended,S&D,178181
256886,attended,Patriots,178181
256887,attended,EPP,178181
256888,attended,Patriots,178181
256889,attended,EPP,178181
256890,attended,GUE/NGL,178181
256891,attended,Renew,178181
256893,attended,Patriots,178181
256895,attended,Patriots,178181
256896,attended,Patriots,178181
256898,attended,S&D,178181
256899,attended,S&D,178181
256900,attended,NA,178181
256901,attended,S&D,178181
256902,attended,S&D,178181
256903,attended,S&D,178181
256904,attended,S&D,178181
256906,attended,S&D,178181
256907,attended,ECR,178181
256908,attended,S&D,178181
256909,attended,Patriots,178181
256910,attended,GUE/NGL,178181
256911,attended,GUE/NGL,178181
256912,attended,GUE/NGL,178181
256913,attended,GUE/NGL,178181
256915,attended,Greens/EFA,178181
256916,attended,Greens/EFA,178181
256917,attended,Greens/EFA,178181
256918,attended,EPP,178181
256919,attended,EPP,178181
256920,attended,EPP,178181
256921,attended,EPP,178181
256924,attended,ESN,178181
256925,attended,ECR,178181
256926,attended,Renew,178181
256927,attended,GUE/NGL,178181
256928,attended,ESN,178181
256934,attended,S&D,178181
256935,attended,S&D,178181
256936,attended,S&D,178181
256937,attended,S&D,178181
256938,attended,S&D,178181
256939,attended,NA,178181
256941,attended,ESN,178181
256942,attended,ESN,178181
256943,attended,EPP,178181
256944,attended,ESN,178181
256945,attended,ESN,178181
256946,attended,Renew,178181
256947,attended,EPP,178181
256948,attended,ESN,178181
256949,attended,ESN,178181
256950,attended,EPP,178181
256951,attended,ESN,178181
256952,attended,GUE/NGL,178181
256954,attended,Patriots,178181
256955,attended,NA,178181
256956,attended,ECR,178181
256957,attended,ESN,178181
256959,attended,ESN,178181
256960,attended,NA,178181
256961,attended,GUE/NGL,178181
256962,attended,Renew,178181
256964,attended,Greens/EFA,178181
256965,attended,Greens/EFA,178181
256966,attended,NA,178181
