mepid,result,eugroup,identifier
197647,attended,EPP,176184
197648,attended,EPP,176184
197649,attended,EPP,176184
197652,attended,EPP,176184
197653,attended,S&D,176184
197655,attended,ECR,176184
197658,attended,S&D,176184
197662,attended,EPP,176184
197670,attended,S&D,176184
197677,attended,S&D,176184
197679,attended,EPP,176184
197682,attended,S&D,176184
197684,attended,GUE/NGL,176184
197687,attended,Patriots,176184
197690,attended,Patriots,176184
197691,attended,Patriots,176184
197694,attended,S&D,176184
197697,excused,S&D,176184
197699,attended,GUE/NGL,176184
197701,attended,GUE/NGL,176184
197711,attended,EPP,176184
197718,attended,S&D,176184
197719,attended,S&D,176184
197721,attended,S&D,176184
197722,attended,S&D,176184
197734,attended,NA,176184
197769,attended,Renew,176184
197770,attended,Renew,176184
197772,attended,Greens/EFA,176184
197773,attended,ECR,176184
197778,attended,EPP,176184
197780,attended,Renew,176184
197781,attended,Renew,176184
197782,attended,S&D,176184
197784,attended,EPP,176184
197794,attended,ECR,176184
197795,attended,GUE/NGL,176184
197800,attended,S&D,176184
197802,attended,Greens/EFA,176184
197810,attended,S&D,176184
197818,attended,Renew,176184
197825,attended,Patriots,176184
197829,attended,Patriots,176184
197831,attended,Patriots,176184
197832,attended,Greens/EFA,176184
197841,attended,EPP,176184
197845,attended,S&D,176184
197863,attended,EPP,176184
197870,attended,Greens/EFA,176184
198073,attended,Renew,176184
198076,attended,Greens/EFA,176184
198084,attended,Renew,176184
198176,attended,Patriots,176184
198183,attended,S&D,176184
198490,attended,ECR,176184
200345,attended,Patriots,176184
201945,attended,Greens/EFA,176184
202036,attended,EPP,176184
202073,attended,S&D,176184
204332,attended,Renew,176184
204333,attended,EPP,176184
204336,attended,EPP,176184
204400,attended,EPP,176184
204414,attended,Patriots,176184
204418,attended,S&D,176184
204419,attended,Renew,176184
204449,attended,EPP,176184
206158,attended,EPP,176184
210480,excused,S&D,176184
213330,attended,Patriots,176184
214839,attended,Renew,176184
218347,attended,S&D,176184
219652,attended,EPP,176184
220840,attended,Patriots,176184
220871,attended,ECR,176184
220896,attended,EPP,176184
220897,attended,Patriots,176184
229839,attended,S&D,176184
230085,attended,S&D,176184
233862,attended,S&D,176184
236053,attended,GUE/NGL,176184
237465,attended,S&D,176184
239260,attended,ECR,176184
244571,attended,S&D,176184
245018,attended,S&D,176184
245770,attended,GUE/NGL,176184
247735,attended,S&D,176184
249603,excused,EPP,176184
249982,attended,ESN,176184
251874,attended,EPP,176184
256805,attended,GUE/NGL,176184
256806,attended,ECR,176184
256808,attended,ESN,176184
256809,attended,EPP,176184
256811,attended,ECR,176184
256813,attended,Greens/EFA,176184
256814,attended,EPP,176184
256820,attended,EPP,176184
256823,attended,GUE/NGL,176184
256824,attended,S&D,176184
256829,attended,S&D,176184
256830,attended,S&D,176184
256833,attended,Greens/EFA,176184
256834,attended,Patriots,176184
256839,attended,Renew,176184
256840,attended,EPP,176184
256842,attended,Patriots,176184
256843,attended,Patriots,176184
256844,attended,Patriots,176184
256845,attended,ECR,176184
256846,attended,EPP,176184
256847,attended,EPP,176184
256850,attended,PfE,176184
256851,attended,NA,176184
256852,attended,Patriots,176184
256853,attended,Patriots,176184
256857,attended,Patriots,176184
256858,attended,NA,176184
256859,attended,Patriots,176184
256860,attended,Patriots,176184
256861,attended,EPP,176184
256862,attended,EPP,176184
256864,attended,EPP,176184
256865,attended,EPP,176184
256866,attended,EPP,176184
256868,attended,EPP,176184
256869,attended,Renew,176184
256870,attended,Renew,176184
256871,attended,NA,176184
256872,attended,Patriots,176184
256874,attended,Patriots,176184
256875,attended,Patriots,176184
256876,attended,Patriots,176184
256877,attended,Patriots,176184
256878,attended,Patriots,176184
256880,attended,S&D,176184
256882,attended,Patriots,176184
256883,attended,Patriots,176184
256884,attended,ECR,176184
256885,attended,S&D,176184
256886,attended,Patriots,176184
256887,attended,EPP,176184
256888,attended,Patriots,176184
256889,attended,EPP,176184
