mepid,result,eugroup,identifier
256884,for,ECR,172696
125106,for,ECR,172696
257256,for,NI,172696
198373,for,NI,172696
256971,for,NI,172696
256810,for,PPE,172696
257043,for,PPE,172696
197490,for,PPE,172696
256820,for,PPE,172696
113523,for,PPE,172696
96808,for,PPE,172696
24922,for,PPE,172696
197492,for,PPE,172696
256887,for,PPE,172696
256947,for,PPE,172696
197534,for,PPE,172696
197679,for,PPE,172696
197408,for,PPE,172696
197778,for,PPE,172696
197410,for,PPE,172696
197648,for,PPE,172696
197636,for,PPE,172696
251324,for,PPE,172696
204129,for,PPE,172696
125012,for,PPE,172696
257081,for,PPE,172696
257051,for,PPE,172696
257296,for,PPE,172696
28122,for,PPE,172696
28219,for,PPE,172696
256921,for,PPE,172696
28390,for,PPE,172696
124861,for,PPE,172696
257034,for,PPE,172696
257078,for,PPE,172696
256862,for,PPE,172696
257030,for,PPE,172696
257237,for,PPE,172696
197473,for,PPE,172696
257048,for,PPE,172696
96787,for,PPE,172696
99945,for,PPE,172696
28226,for,PPE,172696
96811,for,PPE,172696
197649,for,PPE,172696
257137,for,PPE,172696
256840,for,PPE,172696
1917,for,PPE,172696
197414,for,PPE,172696
2341,for,PPE,172696
257032,for,PPE,172696
256866,for,PPE,172696
251874,for,PPE,172696
124807,for,PPE,172696
125204,for,PPE,172696
202036,for,PPE,172696
256919,for,PPE,172696
125027,for,PPE,172696
97399,for,PPE,172696
220908,for,PPE,172696
262021,for,PPE,172696
256985,for,PPE,172696
197514,for,PPE,172696
197646,for,PPE,172696
22418,for,PPE,172696
124895,for,PPE,172696
96780,for,PPE,172696
257065,for,PPE,172696
256918,for,PPE,172696
197517,for,PPE,172696
257031,for,PPE,172696
197840,for,PPE,172696
96934,for,PPE,172696
197839,for,PPE,172696
125068,for,PPE,172696
96668,for,PPE,172696
249603,for,PPE,172696
256973,for,PPE,172696
197523,for,PPE,172696
197406,for,PPE,172696
256846,for,PPE,172696
256861,for,PPE,172696
197525,for,PPE,172696
97968,for,PPE,172696
256864,for,PPE,172696
256865,for,PPE,172696
257261,for,PPE,172696
256920,for,PPE,172696
95074,for,PPE,172696
23781,for,PPE,172696
204336,for,PPE,172696
124808,for,PPE,172696
28399,for,PPE,172696
96791,for,PPE,172696
124806,for,PPE,172696
190713,for,PPE,172696
257082,for,PPE,172696
124828,for,PPE,172696
96936,for,PPE,172696
197841,for,PPE,172696
256980,for,PPE,172696
197662,for,PPE,172696
256943,for,PPE,172696
256974,for,PPE,172696
28400,for,PPE,172696
197711,for,PPE,172696
257151,for,PPE,172696
197647,for,PPE,172696
124802,for,PPE,172696
257027,for,PPE,172696
256847,for,PPE,172696
257039,for,PPE,172696
4289,for,PPE,172696
124701,for,PPE,172696
107212,for,PPE,172696
257049,for,PPE,172696
110673,for,PPE,172696
40599,for,PPE,172696
197404,for,PPE,172696
257128,for,PPE,172696
257041,for,PPE,172696
188945,for,PPE,172696
188096,for,PPE,172696
197413,for,PPE,172696
206158,for,PPE,172696
125670,for,PPE,172696
98219,for,PPE,172696
256809,for,PPE,172696
256979,for,PPE,172696
197422,for,PPE,172696
28223,for,PPE,172696
197425,for,PPE,172696
86057,for,PPE,172696
197426,for,PPE,172696
125325,for,PPE,172696
197417,for,PPE,172696
197784,for,PPE,172696
256889,for,PPE,172696
257068,for,PPE,172696
119435,for,PPE,172696
257026,for,PPE,172696
256863,for,PPE,172696
256968,for,PPE,172696
197402,for,PPE,172696
256814,for,PPE,172696
125104,for,PPE,172696
124795,for,PPE,172696
256804,for,PPE,172696
256950,for,PPE,172696
28617,for,PPE,172696
37324,for,PPE,172696
256983,for,PPE,172696
96756,for,PPE,172696
98582,for,PPE,172696
96761,for,PPE,172696
125065,for,PPE,172696
204400,for,PPE,172696
197863,for,PPE,172696
197429,for,PPE,172696
197405,for,PPE,172696
257045,for,PPE,172696
257046,for,PPE,172696
28229,for,PPE,172696
256977,for,PPE,172696
39725,for,PPE,172696
197652,for,PPE,172696
197421,for,PPE,172696
197606,for,PPE,172696
124713,for,PPE,172696
124893,for,PPE,172696
197621,for,PPE,172696
185341,for,PPE,172696
96933,for,PPE,172696
256987,for,Renew,172696
256869,for,Renew,172696
197400,for,Renew,172696
124766,for,Renew,172696
197781,for,Renew,172696
257003,for,Renew,172696
257110,for,Renew,172696
257020,for,Renew,172696
197577,for,Renew,172696
96711,for,Renew,172696
256891,for,Renew,172696
197463,for,Renew,172696
197558,for,Renew,172696
257014,for,Renew,172696
257057,for,Renew,172696
197430,for,Renew,172696
197589,for,Renew,172696
257038,for,Renew,172696
256970,for,Renew,172696
96940,for,Renew,172696
204419,for,Renew,172696
197780,for,Renew,172696
197557,for,Renew,172696
197543,for,Renew,172696
197444,for,Renew,172696
135511,for,Renew,172696
198073,for,Renew,172696
197770,for,Renew,172696
197624,for,Renew,172696
197447,for,Renew,172696
197401,for,Renew,172696
257013,for,Renew,172696
191693,for,Renew,172696
22858,for,Renew,172696
257037,for,Renew,172696
197445,for,Renew,172696
198084,for,Renew,172696
124866,for,Renew,172696
197494,for,Renew,172696
96709,for,Renew,172696
257259,for,Renew,172696
257010,for,Renew,172696
197432,for,Renew,172696
129073,for,Renew,172696
257257,for,Renew,172696
256815,for,Renew,172696
256946,for,Renew,172696
256926,for,Renew,172696
256962,for,Renew,172696
256839,for,Renew,172696
197672,for,Renew,172696
124700,for,Renew,172696
257438,for,Renew,172696
256976,for,Renew,172696
257061,for,Renew,172696
257112,for,Renew,172696
130100,for,Renew,172696
197502,for,Renew,172696
256879,for,Renew,172696
214839,for,Renew,172696
197769,for,Renew,172696
220801,for,Renew,172696
257011,for,Renew,172696
197581,for,Renew,172696
256807,for,Renew,172696
119652,for,S&D,172696
202073,for,S&D,172696
257123,for,S&D,172696
256829,for,S&D,172696
28307,for,S&D,172696
247735,for,S&D,172696
197433,for,S&D,172696
197658,for,S&D,172696
124867,for,S&D,172696
197498,for,S&D,172696
197435,for,S&D,172696
96681,for,S&D,172696
257108,for,S&D,172696
112748,for,S&D,172696
4267,for,S&D,172696
197440,for,S&D,172696
257100,for,S&D,172696
257002,for,S&D,172696
256880,for,S&D,172696
197782,for,S&D,172696
245018,for,S&D,172696
257169,for,S&D,172696
256937,for,S&D,172696
256938,for,S&D,172696
38542,for,S&D,172696
257122,for,S&D,172696
257087,for,S&D,172696
33998,for,S&D,172696
1294,for,S&D,172696
197579,for,S&D,172696
237465,for,S&D,172696
257088,for,S&D,172696
125046,for,S&D,172696
257098,for,S&D,172696
256906,for,S&D,172696
197391,for,S&D,172696
101585,for,S&D,172696
197702,for,S&D,172696
28298,for,S&D,172696
96833,for,S&D,172696
256901,for,S&D,172696
197694,for,S&D,172696
257075,for,S&D,172696
256997,for,S&D,172696
257059,for,S&D,172696
257079,for,S&D,172696
197718,for,S&D,172696
257102,for,S&D,172696
124785,for,S&D,172696
256830,for,S&D,172696
197618,for,S&D,172696
256803,for,S&D,172696
197682,for,S&D,172696
197800,for,S&D,172696
122978,for,S&D,172696
197392,for,S&D,172696
256992,for,S&D,172696
256898,for,S&D,172696
256908,for,S&D,172696
197491,for,S&D,172696
197697,for,S&D,172696
1909,for,S&D,172696
256899,for,S&D,172696
230085,for,S&D,172696
125042,for,S&D,172696
96812,for,S&D,172696
197721,for,S&D,172696
257124,for,S&D,172696
197719,for,S&D,172696
91636,for,S&D,172696
256824,for,S&D,172696
257727,for,S&D,172696
124691,for,S&D,172696
204418,for,S&D,172696
257053,for,S&D,172696
256994,for,S&D,172696
197497,for,S&D,172696
124722,for,S&D,172696
28347,for,S&D,172696
124799,for,S&D,172696
257103,for,S&D,172696
257111,for,S&D,172696
88882,for,S&D,172696
233862,for,S&D,172696
124784,for,S&D,172696
124836,for,S&D,172696
256993,for,S&D,172696
244571,for,S&D,172696
256903,for,S&D,172696
197845,for,S&D,172696
124846,for,S&D,172696
112744,for,S&D,172696
256902,for,S&D,172696
96998,for,S&D,172696
229839,for,S&D,172696
256935,for,S&D,172696
218347,for,S&D,172696
257121,for,S&D,172696
256904,for,S&D,172696
257066,for,S&D,172696
204413,for,S&D,172696
257170,for,S&D,172696
197722,for,S&D,172696
257001,for,S&D,172696
256905,for,S&D,172696
37312,for,S&D,172696
257084,for,S&D,172696
197670,for,S&D,172696
256999,for,S&D,172696
197677,for,S&D,172696
96932,for,S&D,172696
257085,for,S&D,172696
257101,for,S&D,172696
257160,for,S&D,172696
257071,for,S&D,172696
210480,for,S&D,172696
197591,for,S&D,172696
256885,for,S&D,172696
257148,for,S&D,172696
198183,for,S&D,172696
197810,for,S&D,172696
5729,for,S&D,172696
260035,for,S&D,172696
34232,for,S&D,172696
199941,for,S&D,172696
185619,for,S&D,172696
5392,for,S&D,172696
257106,for,S&D,172696
28419,for,S&D,172696
197701,for,The Left,172696
256823,for,The Left,172696
197699,for,The Left,172696
197448,for,Verts/ALE,172696
257015,for,Verts/ALE,172696
197449,for,Verts/ALE,172696
197439,for,Verts/ALE,172696
256995,for,Verts/ALE,172696
197470,for,Verts/ALE,172696
256915,for,Verts/ALE,172696
86793,for,Verts/ALE,172696
197503,for,Verts/ALE,172696
96725,for,Verts/ALE,172696
106936,for,Verts/ALE,172696
183916,for,Verts/ALE,172696
197549,for,Verts/ALE,172696
257130,for,Verts/ALE,172696
96752,for,Verts/ALE,172696
197398,for,Verts/ALE,172696
197395,for,Verts/ALE,172696
197460,for,Verts/ALE,172696
197461,for,Verts/ALE,172696
96675,for,Verts/ALE,172696
257132,for,Verts/ALE,172696
197462,for,Verts/ALE,172696
257016,for,Verts/ALE,172696
193292,for,Verts/ALE,172696
24942,for,Verts/ALE,172696
197464,for,Verts/ALE,172696
197802,for,Verts/ALE,172696
257044,for,Verts/ALE,172696
198076,for,Verts/ALE,172696
197466,for,Verts/ALE,172696
197573,for,Verts/ALE,172696
256813,for,Verts/ALE,172696
197832,for,Verts/ALE,172696
256964,for,Verts/ALE,172696
197500,for,Verts/ALE,172696
256917,for,Verts/ALE,172696
256833,for,Verts/ALE,172696
257139,for,Verts/ALE,172696
201945,for,Verts/ALE,172696
111412,for,Verts/ALE,172696
256916,for,Verts/ALE,172696
58766,for,Verts/ALE,172696
197772,for,Verts/ALE,172696
256990,for,Verts/ALE,172696
256965,for,Verts/ALE,172696
97236,for,Verts/ALE,172696
256978,for,Verts/ALE,172696
197870,for,Verts/ALE,172696
257437,for,Verts/ALE,172696
190464,for,Verts/ALE,172696
257117,against,ECR,172696
257000,against,ECR,172696
124760,against,ECR,172696
4746,against,ECR,172696
23788,against,ECR,172696
257073,against,ECR,172696
197501,against,ECR,172696
99878,against,ECR,172696
257096,against,ECR,172696
257093,against,ECR,172696
257094,against,ECR,172696
257095,against,ECR,172696
257076,against,ECR,172696
257091,against,ECR,172696
96810,against,ECR,172696
197607,against,ECR,172696
198490,against,ECR,172696
257097,against,ECR,172696
256986,against,ECR,172696
197794,against,ECR,172696
257055,against,ECR,172696
257144,against,ECR,172696
197516,against,ECR,172696
257022,against,ECR,172696
257056,against,ECR,172696
256900,against,ECR,172696
220871,against,ECR,172696
197493,against,ECR,172696
257149,against,ECR,172696
257077,against,ECR,172696
4395,against,ECR,172696
256922,against,ECR,172696
257060,against,ECR,172696
257080,against,ECR,172696
239260,against,ECR,172696
257058,against,ECR,172696
257086,against,ECR,172696
257150,against,ECR,172696
257115,against,ECR,172696
257145,against,ECR,172696
256907,against,ECR,172696
197820,against,ECR,172696
257104,against,ECR,172696
197773,against,ECR,172696
197545,against,ECR,172696
257113,against,ECR,172696
257021,against,ECR,172696
257109,against,ECR,172696
257025,against,ECR,172696
257119,against,ECR,172696
197553,against,ECR,172696
204346,against,ECR,172696
257114,against,ECR,172696
257116,against,ECR,172696
257090,against,ECR,172696
257163,against,ECR,172696
256925,against,ECR,172696
257258,against,ECR,172696
257099,against,ECR,172696
257143,against,ECR,172696
197537,against,ECR,172696
257052,against,ECR,172696
123562,against,ECR,172696
124877,against,ECR,172696
197572,against,ECR,172696
28615,against,ECR,172696
124884,against,ECR,172696
197475,against,ESN,172696
256951,against,ESN,172696
256929,against,ESN,172696
257457,against,ESN,172696
256945,against,ESN,172696
256928,against,ESN,172696
