mepid,result,eugroup,identifier
257117,for,ECR,182914
257000,for,ECR,182914
124760,for,ECR,182914
4746,for,ECR,182914
23788,for,ECR,182914
257073,for,ECR,182914
197501,for,ECR,182914
257093,for,ECR,182914
257147,for,ECR,182914
257094,for,ECR,182914
257095,for,ECR,182914
257091,for,ECR,182914
197607,for,ECR,182914
257097,for,ECR,182914
256986,for,ECR,182914
197794,for,ECR,182914
257055,for,ECR,182914
257144,for,ECR,182914
197516,for,ECR,182914
257022,for,ECR,182914
257056,for,ECR,182914
197469,for,ECR,182914
220871,for,ECR,182914
256845,for,ECR,182914
197493,for,ECR,182914
257149,for,ECR,182914
257077,for,ECR,182914
4395,for,ECR,182914
257060,for,ECR,182914
257080,for,ECR,182914
239260,for,ECR,182914
257086,for,ECR,182914
30123,for,ECR,182914
257150,for,ECR,182914
257115,for,ECR,182914
257145,for,ECR,182914
256907,for,ECR,182914
257104,for,ECR,182914
197773,for,ECR,182914
197545,for,ECR,182914
257113,for,ECR,182914
257021,for,ECR,182914
257025,for,ECR,182914
257119,for,ECR,182914
197553,for,ECR,182914
257114,for,ECR,182914
197655,for,ECR,182914
257090,for,ECR,182914
96697,for,ECR,182914
257163,for,ECR,182914
256925,for,ECR,182914
256806,for,ECR,182914
257258,for,ECR,182914
257099,for,ECR,182914
256811,for,ECR,182914
257143,for,ECR,182914
197537,for,ECR,182914
197552,for,ECR,182914
257052,for,ECR,182914
123562,for,ECR,182914
124877,for,ECR,182914
197572,for,ECR,182914
28615,for,ECR,182914
124884,for,ECR,182914
197475,for,ESN,182914
256951,for,ESN,182914
256929,for,ESN,182914
256948,for,ESN,182914
257457,for,ESN,182914
256945,for,ESN,182914
128483,for,ESN,182914
256928,for,ESN,182914
256949,for,ESN,182914
190574,for,ESN,182914
256942,for,ESN,182914
256941,for,ESN,182914
256957,for,ESN,182914
256924,for,ESN,182914
257262,for,ESN,182914
256944,for,ESN,182914
256959,for,ESN,182914
257070,for,ESN,182914
257069,for,ESN,182914
257256,for,NI,182914
257019,for,NI,182914
256971,for,NI,182914
256871,for,NI,182914
256810,for,PPE,182914
257043,for,PPE,182914
197490,for,PPE,182914
96808,for,PPE,182914
24922,for,PPE,182914
197492,for,PPE,182914
256887,for,PPE,182914
197534,for,PPE,182914
197679,for,PPE,182914
197408,for,PPE,182914
197778,for,PPE,182914
