mepid,result,eugroup,identifier
256956,for,ECR,196219
257117,for,ECR,196219
257000,for,ECR,196219
256852,for,ECR,196219
124760,for,ECR,196219
4746,for,ECR,196219
23788,for,ECR,196219
257073,for,ECR,196219
197501,for,ECR,196219
257096,for,ECR,196219
257093,for,ECR,196219
257147,for,ECR,196219
257094,for,ECR,196219
257095,for,ECR,196219
257091,for,ECR,196219
96810,for,ECR,196219
197607,for,ECR,196219
198490,for,ECR,196219
257097,for,ECR,196219
256986,for,ECR,196219
197794,for,ECR,196219
257055,for,ECR,196219
257144,for,ECR,196219
197516,for,ECR,196219
257022,for,ECR,196219
257256,for,ECR,196219
257056,for,ECR,196219
220871,for,ECR,196219
256845,for,ECR,196219
257149,for,ECR,196219
257077,for,ECR,196219
4395,for,ECR,196219
256922,for,ECR,196219
257060,for,ECR,196219
257058,for,ECR,196219
30123,for,ECR,196219
257150,for,ECR,196219
257145,for,ECR,196219
256907,for,ECR,196219
197820,for,ECR,196219
257104,for,ECR,196219
197773,for,ECR,196219
197545,for,ECR,196219
257113,for,ECR,196219
257021,for,ECR,196219
257109,for,ECR,196219
257025,for,ECR,196219
257119,for,ECR,196219
197553,for,ECR,196219
257114,for,ECR,196219
257116,for,ECR,196219
197655,for,ECR,196219
257090,for,ECR,196219
96697,for,ECR,196219
257163,for,ECR,196219
256925,for,ECR,196219
256806,for,ECR,196219
257258,for,ECR,196219
257099,for,ECR,196219
257143,for,ECR,196219
197537,for,ECR,196219
197552,for,ECR,196219
257052,for,ECR,196219
123562,for,ECR,196219
124877,for,ECR,196219
197842,for,ECR,196219
197572,for,ECR,196219
28615,for,ECR,196219
124884,for,ECR,196219
197475,for,ESN,196219
256951,for,ESN,196219
256929,for,ESN,196219
256948,for,ESN,196219
257457,for,ESN,196219
256945,for,ESN,196219
128483,for,ESN,196219
256928,for,ESN,196219
197556,for,ESN,196219
256949,for,ESN,196219
190574,for,ESN,196219
256808,for,ESN,196219
256942,for,ESN,196219
256941,for,ESN,196219
256957,for,ESN,196219
256924,for,ESN,196219
257262,for,ESN,196219
249982,for,ESN,196219
