mepid,result,eugroup,identifier
249982,for,ESN,188638
267485,for,ESN,188638
197763,for,ESN,188638
257005,for,NI,188638
257067,for,NI,188638
23699,for,NI,188638
197734,for,NI,188638
257018,for,NI,188638
256989,for,NI,188638
125093,for,NI,188638
256971,for,NI,188638
256955,for,NI,188638
257298,for,Renew,188638
197403,for,S&D,188638
256934,for,S&D,188638
256880,for,S&D,188638
257169,for,S&D,188638
257059,for,S&D,188638
124722,for,S&D,188638
257101,for,S&D,188638
257106,for,S&D,188638
256805,for,The Left,188638
197701,for,The Left,188638
197533,for,The Left,188638
187917,for,The Left,188638
124984,for,The Left,188638
197529,for,The Left,188638
257023,for,The Left,188638
197468,for,The Left,188638
256961,for,The Left,188638
124985,for,The Left,188638
256913,for,The Left,188638
257299,for,The Left,188638
197795,for,The Left,188638
257012,for,The Left,188638
257092,for,The Left,188638
197416,for,The Left,188638
270719,for,The Left,188638
256912,for,The Left,188638
125023,for,The Left,188638
256890,for,The Left,188638
124736,for,The Left,188638
257063,for,The Left,188638
236053,for,The Left,188638
245770,for,The Left,188638
257140,for,The Left,188638
257083,for,The Left,188638
30482,for,The Left,188638
257135,for,The Left,188638
256952,for,The Left,188638
257126,for,The Left,188638
256911,for,The Left,188638
257127,for,The Left,188638
127766,for,The Left,188638
257009,for,The Left,188638
2268,for,The Left,188638
256910,for,The Left,188638
124813,for,The Left,188638
257133,for,The Left,188638
257015,for,Verts/ALE,188638
197470,for,Verts/ALE,188638
197503,for,Verts/ALE,188638
257130,for,Verts/ALE,188638
257016,for,Verts/ALE,188638
2152,for,Verts/ALE,188638
257139,for,Verts/ALE,188638
58766,for,Verts/ALE,188638
97236,for,Verts/ALE,188638
256956,against,ECR,188638
257117,against,ECR,188638
124760,against,ECR,188638
4746,against,ECR,188638
23788,against,ECR,188638
197501,against,ECR,188638
257096,against,ECR,188638
257093,against,ECR,188638
257147,against,ECR,188638
257094,against,ECR,188638
257076,against,ECR,188638
257091,against,ECR,188638
96810,against,ECR,188638
197607,against,ECR,188638
198490,against,ECR,188638
257097,against,ECR,188638
256986,against,ECR,188638
197794,against,ECR,188638
257055,against,ECR,188638
197516,against,ECR,188638
257022,against,ECR,188638
257056,against,ECR,188638
220871,against,ECR,188638
256845,against,ECR,188638
197493,against,ECR,188638
257149,against,ECR,188638
257077,against,ECR,188638
4395,against,ECR,188638
256922,against,ECR,188638
