mepid,result,eugroup,identifier
257117,for,ECR,175044
4746,for,ECR,175044
23788,for,ECR,175044
257073,for,ECR,175044
197501,for,ECR,175044
99878,for,ECR,175044
257147,for,ECR,175044
257094,for,ECR,175044
257095,for,ECR,175044
257076,for,ECR,175044
96810,for,ECR,175044
257097,for,ECR,175044
256986,for,ECR,175044
197794,for,ECR,175044
257055,for,ECR,175044
257144,for,ECR,175044
197516,for,ECR,175044
257022,for,ECR,175044
257056,for,ECR,175044
256900,for,ECR,175044
220871,for,ECR,175044
256845,for,ECR,175044
257149,for,ECR,175044
257077,for,ECR,175044
197824,for,ECR,175044
257060,for,ECR,175044
257080,for,ECR,175044
239260,for,ECR,175044
257058,for,ECR,175044
257086,for,ECR,175044
257150,for,ECR,175044
257115,for,ECR,175044
257145,for,ECR,175044
256907,for,ECR,175044
197820,for,ECR,175044
257104,for,ECR,175044
197773,for,ECR,175044
197545,for,ECR,175044
257113,for,ECR,175044
257021,for,ECR,175044
257109,for,ECR,175044
257119,for,ECR,175044
197553,for,ECR,175044
204346,for,ECR,175044
257114,for,ECR,175044
257116,for,ECR,175044
197655,for,ECR,175044
96697,for,ECR,175044
257163,for,ECR,175044
256884,for,ECR,175044
125106,for,ECR,175044
257143,for,ECR,175044
197537,for,ECR,175044
197552,for,ECR,175044
257052,for,ECR,175044
124877,for,ECR,175044
197572,for,ECR,175044
124884,for,ECR,175044
197475,for,ESN,175044
256951,for,ESN,175044
256929,for,ESN,175044
256948,for,ESN,175044
257457,for,ESN,175044
256945,for,ESN,175044
128483,for,ESN,175044
256928,for,ESN,175044
197556,for,ESN,175044
256949,for,ESN,175044
190574,for,ESN,175044
256808,for,ESN,175044
256942,for,ESN,175044
256941,for,ESN,175044
256957,for,ESN,175044
256924,for,ESN,175044
256944,for,ESN,175044
256959,for,ESN,175044
257260,for,ESN,175044
23868,for,NI,175044
257005,for,NI,175044
256851,for,NI,175044
257256,for,NI,175044
257007,for,NI,175044
23699,for,NI,175044
198373,for,NI,175044
257018,for,NI,175044
256989,for,NI,175044
256969,for,NI,175044
96653,for,NI,175044
267485,for,NI,175044
256971,for,NI,175044
256871,for,NI,175044
197842,for,NI,175044
256810,for,PPE,175044
197490,for,PPE,175044
256820,for,PPE,175044
113523,for,PPE,175044
96808,for,PPE,175044
197492,for,PPE,175044
256947,for,PPE,175044
197534,for,PPE,175044
197679,for,PPE,175044
197778,for,PPE,175044
197410,for,PPE,175044
197648,for,PPE,175044
197636,for,PPE,175044
204129,for,PPE,175044
125012,for,PPE,175044
257047,for,PPE,175044
257081,for,PPE,175044
257051,for,PPE,175044
257296,for,PPE,175044
28122,for,PPE,175044
28219,for,PPE,175044
256921,for,PPE,175044
28390,for,PPE,175044
124861,for,PPE,175044
257034,for,PPE,175044
257028,for,PPE,175044
256862,for,PPE,175044
257030,for,PPE,175044
204333,for,PPE,175044
257237,for,PPE,175044
197473,for,PPE,175044
96787,for,PPE,175044
28226,for,PPE,175044
96811,for,PPE,175044
197649,for,PPE,175044
257137,for,PPE,175044
256840,for,PPE,175044
1917,for,PPE,175044
197414,for,PPE,175044
2341,for,PPE,175044
257032,for,PPE,175044
256866,for,PPE,175044
251874,for,PPE,175044
124807,for,PPE,175044
125204,for,PPE,175044
202036,for,PPE,175044
125027,for,PPE,175044
97399,for,PPE,175044
220908,for,PPE,175044
262021,for,PPE,175044
256985,for,PPE,175044
197514,for,PPE,175044
257033,for,PPE,175044
197646,for,PPE,175044
197412,for,PPE,175044
22418,for,PPE,175044
124895,for,PPE,175044
96780,for,PPE,175044
256918,for,PPE,175044
197517,for,PPE,175044
257031,for,PPE,175044
197840,for,PPE,175044
96934,for,PPE,175044
125068,for,PPE,175044
96668,for,PPE,175044
256831,for,PPE,175044
256973,for,PPE,175044
197523,for,PPE,175044
197406,for,PPE,175044
256846,for,PPE,175044
256861,for,PPE,175044
197525,for,PPE,175044
97968,for,PPE,175044
256864,for,PPE,175044
256865,for,PPE,175044
257261,for,PPE,175044
256920,for,PPE,175044
95074,for,PPE,175044
23781,for,PPE,175044
204336,for,PPE,175044
1927,for,PPE,175044
124808,for,PPE,175044
220896,for,PPE,175044
28399,for,PPE,175044
124806,for,PPE,175044
256868,for,PPE,175044
190713,for,PPE,175044
257082,for,PPE,175044
124828,for,PPE,175044
96936,for,PPE,175044
98341,for,PPE,175044
197841,for,PPE,175044
256980,for,PPE,175044
197662,for,PPE,175044
256943,for,PPE,175044
256974,for,PPE,175044
28400,for,PPE,175044
197711,for,PPE,175044
72779,for,PPE,175044
257151,for,PPE,175044
197647,for,PPE,175044
124802,for,PPE,175044
257027,for,PPE,175044
256847,for,PPE,175044
257039,for,PPE,175044
4289,for,PPE,175044
124701,for,PPE,175044
107212,for,PPE,175044
257049,for,PPE,175044
257040,for,PPE,175044
40599,for,PPE,175044
197404,for,PPE,175044
257107,for,PPE,175044
257128,for,PPE,175044
257041,for,PPE,175044
124850,for,PPE,175044
188945,for,PPE,175044
188096,for,PPE,175044
197413,for,PPE,175044
125670,for,PPE,175044
98219,for,PPE,175044
256809,for,PPE,175044
256979,for,PPE,175044
197422,for,PPE,175044
28223,for,PPE,175044
197425,for,PPE,175044
86057,for,PPE,175044
197426,for,PPE,175044
125325,for,PPE,175044
197417,for,PPE,175044
197784,for,PPE,175044
119435,for,PPE,175044
257026,for,PPE,175044
256863,for,PPE,175044
257089,for,PPE,175044
256968,for,PPE,175044
204449,for,PPE,175044
197402,for,PPE,175044
256814,for,PPE,175044
125104,for,PPE,175044
219652,for,PPE,175044
124795,for,PPE,175044
256950,for,PPE,175044
28617,for,PPE,175044
256983,for,PPE,175044
96761,for,PPE,175044
125065,for,PPE,175044
197863,for,PPE,175044
197429,for,PPE,175044
197405,for,PPE,175044
257045,for,PPE,175044
257046,for,PPE,175044
28229,for,PPE,175044
256977,for,PPE,175044
39725,for,PPE,175044
197652,for,PPE,175044
197606,for,PPE,175044
124713,for,PPE,175044
124893,for,PPE,175044
197621,for,PPE,175044
185341,for,PPE,175044
96933,for,PPE,175044
197691,for,PfE,175044
131580,for,PfE,175044
256852,for,PfE,175044
261797,for,PfE,175044
256998,for,PfE,175044
101039,for,PfE,175044
257024,for,PfE,175044
256878,for,PfE,175044
257064,for,PfE,175044
257072,for,PfE,175044
197829,for,PfE,175044
220840,for,PfE,175044
257131,for,PfE,175044
236050,for,PfE,175044
256886,for,PfE,175044
256981,for,PfE,175044
260724,for,PfE,175044
256853,for,PfE,175044
192254,for,PfE,175044
256857,for,PfE,175044
256876,for,PfE,175044
256896,for,PfE,175044
28150,for,PfE,175044
197628,for,PfE,175044
125052,for,PfE,175044
94649,for,PfE,175044
96830,for,PfE,175044
23816,for,PfE,175044
124715,for,PfE,175044
189065,for,PfE,175044
197528,for,PfE,175044
118949,for,PfE,175044
256909,for,PfE,175044
256996,for,PfE,175044
261038,for,PfE,175044
256860,for,PfE,175044
256954,for,PfE,175044
256872,for,PfE,175044
256895,for,PfE,175044
197623,for,PfE,175044
257054,for,PfE,175044
256843,for,PfE,175044
256883,for,PfE,175044
197687,for,PfE,175044
126699,for,PfE,175044
256877,for,PfE,175044
256893,for,PfE,175044
204414,for,PfE,175044
256844,for,PfE,175044
256882,for,PfE,175044
197690,for,PfE,175044
88552,for,PfE,175044
197578,for,PfE,175044
213330,for,PfE,175044
197825,for,PfE,175044
256991,for,PfE,175044
256855,for,PfE,175044
257050,for,PfE,175044
197831,for,PfE,175044
200345,for,PfE,175044
256888,for,PfE,175044
197580,for,PfE,175044
256850,for,PfE,175044
256875,for,PfE,175044
257125,for,PfE,175044
5736,for,PfE,175044
256859,for,PfE,175044
124875,for,PfE,175044
261796,for,PfE,175044
103246,for,PfE,175044
197430,for,Renew,175044
256946,for,Renew,175044
256962,for,Renew,175044
197658,for,S&D,175044
257100,for,S&D,175044
256937,for,S&D,175044
257098,for,S&D,175044
101585,for,S&D,175044
124785,for,S&D,175044
197653,for,S&D,175044
37312,for,S&D,175044
199941,for,S&D,175044
257023,for,The Left,175044
256961,for,The Left,175044
257092,for,The Left,175044
2268,for,The Left,175044
256806,against,ECR,175044
257262,against,ESN,175044
249982,against,ESN,175044
197763,against,ESN,175044
124858,against,NI,175044
25758,against,NI,175044
256939,against,NI,175044
197734,against,NI,175044
125093,against,NI,175044
124834,against,NI,175044
256966,against,NI,175044
256967,against,NI,175044
256955,against,NI,175044
197403,against,S&D,175044
119652,against,S&D,175044
202073,against,S&D,175044
257123,against,S&D,175044
256829,against,S&D,175044
28307,against,S&D,175044
256934,against,S&D,175044
256936,against,S&D,175044
247735,against,S&D,175044
124867,against,S&D,175044
197498,against,S&D,175044
197435,against,S&D,175044
96681,against,S&D,175044
257108,against,S&D,175044
112748,against,S&D,175044
4267,against,S&D,175044
197440,against,S&D,175044
