mepid,result,eugroup,identifier
840,attended,Renew,182250
1909,attended,S&D,182250
1917,attended,EPP,182250
1927,attended,EPP,182250
2152,attended,Greens/EFA,182250
2268,attended,GUE/NGL,182250
2341,attended,EPP,182250
4267,attended,S&D,182250
4289,attended,EPP,182250
4395,attended,ECR,182250
4746,attended,ECR,182250
5392,attended,S&D,182250
5729,attended,S&D,182250
5736,attended,Patriots,182250
22858,attended,Renew,182250
23699,attended,NA,182250
23781,attended,EPP,182250
23788,attended,ECR,182250
23816,attended,Patriots,182250
23868,attended,NA,182250
24922,attended,EPP,182250
25758,attended,NA,182250
28122,attended,EPP,182250
28150,attended,Patriots,182250
28219,attended,EPP,182250
28223,attended,EPP,182250
28347,attended,S&D,182250
28399,attended,EPP,182250
28400,attended,EPP,182250
28615,attended,ECR,182250
28617,attended,EPP,182250
30123,attended,ECR,182250
33998,attended,S&D,182250
34232,attended,S&D,182250
36392,excused,Patriots,182250
37312,attended,S&D,182250
37324,attended,EPP,182250
38511,attended,Patriots,182250
38542,attended,S&D,182250
39725,attended,EPP,182250
40224,attended,S&D,182250
40599,attended,EPP,182250
58766,attended,Greens/EFA,182250
72779,attended,EPP,182250
86057,attended,EPP,182250
86793,attended,Greens/EFA,182250
88552,attended,Patriots,182250
88882,attended,S&D,182250
91636,attended,S&D,182250
94649,attended,Patriots,182250
95074,attended,EPP,182250
96653,attended,NA,182250
96668,attended,EPP,182250
96675,attended,Greens/EFA,182250
96681,attended,S&D,182250
96709,attended,Renew,182250
96711,attended,Renew,182250
96752,attended,Greens/EFA,182250
96756,attended,EPP,182250
96761,attended,EPP,182250
96780,attended,EPP,182250
96787,attended,EPP,182250
96791,attended,EPP,182250
96808,attended,EPP,182250
96810,attended,ECR,182250
96811,attended,EPP,182250
96812,attended,S&D,182250
96826,attended,Patriots,182250
96830,attended,Patriots,182250
96932,attended,S&D,182250
96933,attended,EPP,182250
96936,attended,EPP,182250
96940,attended,Renew,182250
96998,attended,S&D,182250
97236,attended,Greens/EFA,182250
97399,attended,EPP,182250
97968,attended,EPP,182250
98341,excused,EPP,182250
98582,attended,EPP,182250
99878,attended,ECR,182250
99945,attended,EPP,182250
101039,attended,Patriots,182250
103246,attended,Patriots,182250
106936,attended,Greens/EFA,182250
107212,attended,EPP,182250
110673,attended,EPP,182250
111412,attended,Greens/EFA,182250
112744,attended,S&D,182250
112747,attended,S&D,182250
112748,attended,S&D,182250
113523,attended,EPP,182250
118859,attended,EPP,182250
119435,attended,EPP,182250
119652,attended,S&D,182250
122978,attended,S&D,182250
123562,attended,ECR,182250
124691,attended,S&D,182250
124700,attended,Renew,182250
124701,attended,EPP,182250
124722,attended,S&D,182250
124736,attended,GUE/NGL,182250
124760,attended,ECR,182250
124766,attended,Renew,182250
