party,dxid,acronym,country,q,picture,twitter,meps,eugroup
Partido Socialista,91c,PS,pt,Q847263,https://pic.proca.app/twimg/1591120307577815048/jDp7Ybnf_normal.jpg,psocialista,8,S&D
Alianța pentru Unirea Românilor,31sj,AUR,ro,Q97193048,https://pic.proca.app/twimg/1632051333191675906/GZrasXFv_normal.jpg,AurAdjud,5,ECR
Partidului Național Conservator Român (PNCR),76t,PNCR,ro,,,,1,ECR
Partidul Naţional Liberal,61w,PNL,ro,Q686228,https://pic.proca.app/twimg/719824880422797312/PZHAqKdG_normal.jpg,pnlromania,8,EPP
Uniunea Democrată Maghiară din România,e2s,UDMR,ro,Q266582,,,2,EPP
Independent,,,ro,,,,1,Greens/EFA
S.O.S. România,z1sm,SOS,ro,,,,2,NA
Partidul Mișcarea Populară,94t,PMP,ro,Q15732550,https://pic.proca.app/twimg/1566797876218535937/dZJkb19H_400x400_normal.jpg,PPopulara,1,Renew
Uniunea Salvați România,,,ro,,,,2,Renew
Partidul Social Democrat,mq,PSD,ro,Q752435,https://pic.proca.app/twimg/1219974290994614272/qSUlKvxf_normal.jpg,PSD_RO_OFICIAL,22,S&D
Sverigedemokraterna,23x,SD,se,Q504069,https://pic.proca.app/twimg/1666791533708734464/VYuOw8sK_normal.jpg,sdriks,3,ECR
Kristdemokraterna,46c,KD,se,Q213654,https://pic.proca.app/twimg/1450750883747307520/eJZ0rCpu_normal.jpg,kdriks,1,EPP
Moderaterna,b68,M,se,Q110843,https://pic.proca.app/twimg/1496411073737592837/OsIKAnPW_normal.jpg,moderaterna,4,EPP
Vänsterpartiet,q3m,V,se,Q110837,https://pic.proca.app/twimg/1688534655052439552/CS0SBeB4_normal.jpg,vansterpartiet,2,GUE/NGL
Miljöpartiet de gröna,g18,MP,se,Q213451,https://pic.proca.app/twimg/635735489786593280/_pTDDR2a.png,miljopartiet,3,Greens/EFA
Centerpartiet,j4p,C,se,Q110832,https://pic.proca.app/twimg/1556954841481728002/pkXefIKp_normal.jpg,centerpartiet,2,Renew
Liberalerna,h65,L,se,Q110857,https://pic.proca.app/twimg/1557022608159293441/BMuL8cX0_normal.jpg,liberalerna,1,Renew
Arbetarepartiet- Socialdemokraterna,54v,SAP,se,Q105112,https://pic.proca.app/twimg/1429772993530630144/FCs2iHGX_normal.jpg,socialdemokrat,5,S&D
Nova Slovenija – Krščanski demokrati,cu,NSi,si,Q1258564,https://pic.proca.app/twimg/1451091384597942275/RHbtlTvb_normal.jpg,novaslovenija,1,EPP
Slovenska demokratska stranka,y1h,SDS,si,Q526294,https://pic.proca.app/twimg/920213989526769664/LuRfcfwH_normal.jpg,strankasds,4,EPP
Vesna – zelena stranka,q1tr,VESNA,si,Q110877543,,,1,Greens/EFA
Gibanje Svoboda,d5r,GS,si,Q106704283,,,2,Renew
Socialni demokrati,m54,SD,si,Q917211,,,1,S&D
Kresťanskodemokratické hnutie,g37,KDH,sk,Q904070,,,1,EPP
Hnutie Republika,56u,Republika,sk,Q1519778,,,2,ESN
Hlas – sociálna demokracia,r1sr,HLAS-SD,sk,Q96754424,,,1,NA
SMER-Sociálna demokracia,pp,SMER-SD,sk,Q821929,https://pic.proca.app/twimg/785409562/logo_normal.jpg,smersd,5,NA
Progresívne Slovensko,25w,PS,sk,Q48844389,https://pic.proca.app/twimg/1372496669149892608/a_ruzPtg_normal.jpg,progresivne_sk,6,Renew
