party,dxid,acronym,country,q,picture,twitter,meps,eugroup
Familien-Partei Deutschlands,31qk,Familie,de,Q453366,https://pic.proca.app/twimg/218002805/banner_rahmen1.JPG,Familienpartei,1,EPP
Ökologisch-Demokratische Partei,g75,ÖDP,de,Q294989,https://pic.proca.app/twimg/1373915096930521093/l4RVLiRl_normal.jpg,oedp_de,1,EPP
Alternative für Deutschland,e4r,AfD,de,Q6721203,https://pic.proca.app/twimg/1747924058082033664/y34XdQJO_normal.jpg,AfD,14,ESN
DIE LINKE.,ny7,Linke,de,Q49764,https://pic.proca.app/twimg/1725480808155058176/hdpqYocJ_normal.jpg,dieLinke,2,GUE/NGL
Independent,,,de,,,,1,GUE/NGL
Partei Mensch Umwelt Tierschutz,m1je,Tierschutzpartei,de,Q492561,https://pic.proca.app/twimg/1762187776403931136/u7YJ-P4F_normal.jpg,tierschutzparte,1,GUE/NGL
Bündnis 90/Die Grünen,62d,Grüne,de,Q49766,https://pic.proca.app/twimg/1702236610950033408/rr3Hgp9B_normal.jpg,die_gruenen,12,Greens/EFA
Volt,x4z,Volt,de,Q106205950,https://pic.proca.app/twimg/1471097962440937478/t1OSv3EV_normal.jpg,VoltDeutschland,3,Greens/EFA
Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,51qj,BSW,de,Q123121346,https://pic.proca.app/twimg/1757321807974088704/CgLHbMHh_normal.jpg,buendnis_sahraw,5,NA
Die PARTEI,f3r,PARTEI,de,Q22748,https://pic.proca.app/twimg/1200197181300527104/lyPFZVJN_normal.jpg,DiePARTEI,2,NA
Independent,,,de,,,,1,NA
Partei des Fortschritts,wb08,PdF,de,,https://pic.proca.app/twimg/1788114514082197504/oV5EY26o_normal.jpg,pdf_bund,1,NA
Freie Demokratische Partei,k5n,FDP,de,Q13124,https://pic.proca.app/twimg/1742117045225852928/IYR-JBU0_normal.jpg,fdp,5,Renew
Freie Wähler,x30,FW,de,Q327389,https://pic.proca.app/twimg/1214868910274744320/dmwwMY99_normal.jpg,FREIEWAEHLER_BV,3,Renew
Sozialdemokratische Partei Deutschlands,x11,SPD,de,Q49768,https://pic.proca.app/twimg/1679755682822619136/OJUQwJ1O_normal.jpg,spdde,14,S&D
Danmarksdemokraterne,n1jw,DD,dk,Q112677506,https://pic.proca.app/twimg/1592165833354223618/8x2bfz66_normal.jpg,partietDD,1,ECR
Det Konservative Folkeparti,z6x,DKF,dk,Q902619,https://pic.proca.app/twimg/1763965374775623680/-u37PFtd_normal.jpg,konservativedk,1,EPP
Liberal Alliance,myr,LA,dk,Q478180,https://pic.proca.app/twimg/1391623101549621249/Ogh3Hanm_normal.jpg,liberalalliance,1,EPP
Enhedslisten,16w,EL,dk,Q25785,https://pic.proca.app/twimg/818395287857299456/C8NwJC_c_normal.jpg,enhedslisten,1,GUE/NGL
Socialistisk Folkeparti,53d,SF,dk,Q615603,https://pic.proca.app/twimg/1297797766610116608/nYUmsAoB_normal.jpg,sfpolitik,3,Greens/EFA
Dansk Folkeparti,81v,DF,dk,Q507170,https://pic.proca.app/twimg/1708009280027140097/FtIHUNM4_normal.jpg,danskdf1995,1,Patriots
Det Radikale Venstre,51e,RV,dk,Q916161,https://pic.proca.app/twimg/1652927910565625857/lXfLnFfw_normal.jpg,radikale,1,Renew
Moderaterne,7-79,M,dk,Q107110050,https://pic.proca.app/twimg/1536372197417226240/fJyThzqJ_normal.jpg,moderaterne_dk,1,Renew
"Venstre, Danmarks Liberale Parti",m16,V,dk,Q217321,https://pic.proca.app/twimg/1725772845475610624/C8F8Ij2m_normal.jpg,venstredk,2,Renew
Socialdemokratiet,72v,SD,dk,Q212101,https://pic.proca.app/twimg/1726613260290408448/29YtQDrA_normal.jpg,Spolitik,3,S&D
Eesti Keskerakond,t2k,EK,ee,Q928652,https://pic.proca.app/twimg/1141269627/logo-fb_400x400.png,keskerakondlane,1,ECR
