mepid,name,result,eugroup,identifier,vote_id
6727,Pimenta Lopes,abstention,GUE/NGL,137325,6727
7138,Pereira Sandra,abstention,GUE/NGL,137325,7138
6838,Burkhardt,abstention,S&D,137325,6838
6892,Zacharopoulou,abstention,Renew,137325,6892
6971,Yon-Courtin,abstention,Renew,137325,6971
6896,Vedrenne,abstention,Renew,137325,6896
6985,Trillet-Lenoir,abstention,Renew,137325,6985
6940,Tolleret,abstention,Renew,137325,6940
7152,Šimečka,abstention,Renew,137325,7152
6902,Séjourné,abstention,Renew,137325,6902
6056,Riquet,abstention,Renew,137325,6056
6887,Loiseau,abstention,Renew,137325,6887
5021,Keller Fabienne,abstention,Renew,137325,5021
6975,Karleskind,abstention,Renew,137325,6975
6844,Joveva,abstention,Renew,137325,6844
6332,Niedermayer,abstention,EPP,137325,6332
7155,Bilčík,abstention,EPP,137325,7155
7242,Sinčić,abstention,NA,137325,7242
7257,Puigdemont i Casamajó,abstention,NA,137325,7257
7276,Ponsatí Obiols,abstention,NA,137325,7276
6676,Papadakis Kostas,abstention,NA,137325,6676
7116,Nikolaou-Alavanos,abstention,NA,137325,7116
6836,Kolakušić,abstention,NA,137325,6836
7258,Comín i Oliveres,abstention,NA,137325,7258
7234,Vandendriessche,abstention,ID,137325,7234
6960,Kofod,abstention,ID,137325,6960
6869,De Man,abstention,ID,137325,6869
6593,Annemans,abstention,ID,137325,6593
6373,Zorrinho,against,S&D,137325,6373
7225,Yoncheva,against,S&D,137325,7225
7249,Wolters,against,S&D,137325,7249
6735,Wölken,against,S&D,137325,6735
7066,Vollath,against,S&D,137325,7066
7227,Vitanov,against,S&D,137325,7227
4990,Van Brempt,against,S&D,137325,4990
7195,Ušakovs,against,S&D,137325,7195
6336,Ujhelyi,against,S&D,137325,6336
7247,Tudose,against,S&D,137325,7247
5459,Toia,against,S&D,137325,5459
6983,Tinagli,against,S&D,137325,6983
7140,Tax,against,S&D,137325,7140
6623,Tang,against,S&D,137325,6623
6490,Stanishev,against,S&D,137325,6490
7176,Smeriglio,against,S&D,137325,7176
6093,Sippel,against,S&D,137325,6093
6381,Silva Pereira,against,S&D,137325,6381
7065,Sidl,against,S&D,137325,7065
6475,Schuster,against,S&D,137325,6475
7059,Schieder,against,S&D,137325,7059
6415,Sant,against,S&D,137325,6415
7110,Sánchez Amor,against,S&D,137325,7110
7128,Ruiz Devesa,against,S&D,137325,7128
7269,Ros Sempere,against,S&D,137325,7269
6649,Rodríguez-Piñero,against,S&D,137325,6649
7186,Roberti,against,S&D,137325,7186
7288,Reuten,against,S&D,137325,7288
6136,Regner,against,S&D,137325,6136
5731,Plumb,against,S&D,137325,5731
7114,Pizarro,against,S&D,137325,7114
6982,Pisapia,against,S&D,137325,6982
6261,Picula,against,S&D,137325,6261
6484,Picierno,against,S&D,137325,6484
7228,Penkova,against,S&D,137325,7228
6323,Papadakis Demetris,against,S&D,137325,6323
7221,Olekas,against,S&D,137325,7221
6418,Nica,against,S&D,137325,6418
6016,Neuser,against,S&D,137325,6016
6691,Negrescu,against,S&D,137325,6691
6433,Moretti,against,S&D,137325,6433
5466,Moreno Sánchez,against,S&D,137325,5466
6933,Miller,against,S&D,137325,6933
6890,Mikser,against,S&D,137325,6890
6915,Maxová,against,S&D,137325,6915
6322,Mavrides,against,S&D,137325,6322
6839,Matić,against,S&D,137325,6839
7023,Marques Pedro,against,S&D,137325,7023
7027,Marques Margarida,against,S&D,137325,7027
7042,Manda,against,S&D,137325,7042
7117,Maldonado López,against,S&D,137325,7117
6984,Majorino,against,S&D,137325,6984
7107,Maestre Martín De Almagro,against,S&D,137325,7107
7109,Luena,against,S&D,137325,7109
5984,López Aguilar,against,S&D,137325,5984
5094,Liberadzki,against,S&D,137325,5094
3823,Lange,against,S&D,137325,3823
6367,Kumpula-Natri,against,S&D,137325,6367
3761,Krehl,against,S&D,137325,3761
6916,Kohut,against,S&D,137325,6916
6009,Kammerevert,against,S&D,137325,6009
6884,Kaljurand,against,S&D,137325,6884
6686,Kaili,against,S&D,137325,6686
6624,Jongerius,against,S&D,137325,6624
6263,Jerković,against,S&D,137325,6263
6792,Incir,against,S&D,137325,6792
7229,Hristov,against,S&D,137325,7229
7122,Homs Ginel,against,S&D,137325,7122
7185,Heinäluoma,against,S&D,137325,7185
7070,Heide,against,S&D,137325,7070
7146,Hajšel,against,S&D,137325,7146
6603,Guteland,against,S&D,137325,6603
7009,Gualmini,against,S&D,137325,7009
6419,Grapini,against,S&D,137325,6419
7106,González Casares,against,S&D,137325,7106
7111,González,against,S&D,137325,7111
6005,Geier,against,S&D,137325,6005
3827,Gebhardt,against,S&D,137325,3827
6130,Gardiazabal Rubial,against,S&D,137325,6130
5417,García Pérez,against,S&D,137325,5417
7125,García Muñoz,against,S&D,137325,7125
7090,Gálvez Muñoz,against,S&D,137325,7090
6791,Fritzon,against,S&D,137325,6791
6770,Ferrandino,against,S&D,137325,6770
6652,Fernández,against,S&D,137325,6652
6014,Ertug,against,S&D,137325,6014
7282,Engerer,against,S&D,137325,7282
7248,Durá Ferrandis,against,S&D,137325,7248
6062,De Castro,against,S&D,137325,6062
6806,Danielsson,against,S&D,137325,6806
6794,Cutajar,against,S&D,137325,6794
5661,Crețu,against,S&D,137325,5661
6051,Cozzolino,against,S&D,137325,6051
7145,Číž,against,S&D,137325,7145
7046,Ciuhodaru,against,S&D,137325,7046
6901,Cimoszewicz,against,S&D,137325,6901
6499,Chinnici,against,S&D,137325,6499
7166,Chahim,against,S&D,137325,7166
7030,Cerdas,against,S&D,137325,7030
7252,Carvalhais,against,S&D,137325,7252
6264,Borzan,against,S&D,137325,6264
6449,Bonafè,against,S&D,137325,6449
5867,Blinkevičiūtė,against,S&D,137325,5867
6833,Bischoff,against,S&D,137325,6833
6891,Biedroń,against,S&D,137325,6891
6796,Bergkvist,against,S&D,137325,6796
5173,Beňová,against,S&D,137325,5173
6505,Benifei,against,S&D,137325,6505
7047,Benea,against,S&D,137325,7047
6889,Belka,against,S&D,137325,6889
7193,Bartolo,against,S&D,137325,7193
6831,Barley,against,S&D,137325,6831
7040,Avram,against,S&D,137325,7040
7167,Ameriks,against,S&D,137325,7167
6651,Aguilera,against,S&D,137325,6651
6802,Agius Saliba,against,S&D,137325,6802
6695,Zullo,against,Renew,137325,6695
7268,Vázquez Lázara,against,Renew,137325,7268
6159,Verhofstadt,against,Renew,137325,6159
6710,Vautmans,against,Renew,137325,6710
7054,Tudorache,against,Renew,137325,7054
6281,Torvalds,against,Renew,137325,6281
6331,Toom,against,Renew,137325,6331
7259,Søgaard-Lidell,against,Renew,137325,7259
7058,Strugariu,against,Renew,137325,7058
7055,Ştefănuță,against,Renew,137325,7055
7168,Solís Pérez,against,Renew,137325,7168
6817,Semedo,against,Renew,137325,6817
7236,Schreinemacher,against,Renew,137325,7236
4676,Ries,against,Renew,137325,4676
7235,Rafaela,against,Renew,137325,7235
7052,Pîslaru,against,Renew,137325,7052
6953,Pekkarinen,against,Renew,137325,6953
6644,Pagazaurtundúa,against,Renew,137325,6644
6705,Paet,against,Renew,137325,6705
6830,Oetjen,against,Renew,137325,6830
6614,Nart,against,Renew,137325,6614
6760,Nagtegaal,against,Renew,137325,6760
6500,Müller,against,Renew,137325,6500
7285,Mituța,against,Renew,137325,7285
6690,Mihaylova,against,Renew,137325,6690
5889,Løkkegaard,against,Renew,137325,5889
6504,Kyuchyuk,against,Renew,137325,6504
6917,Kovařík,against,Renew,137325,6917
6842,Körner,against,Renew,137325,6842
6921,Knotek,against,Renew,137325,6921
7203,Kelleher,against,Renew,137325,7203
6766,Katainen,against,Renew,137325,6766
5385,in 't Veld,against,Renew,137325,5385
7014,Ijabs,against,Renew,137325,7014
6622,Huitema,against,Renew,137325,6622
6919,Hlaváček,against,Renew,137325,6919
6841,Hahn Svenja,against,Renew,137325,6841
6849,Grošelj,against,Renew,137325,6849
7164,Groothuis,against,Renew,137325,7164
6840,Glück,against,Renew,137325,6840
7283,Gheorghe,against,Renew,137325,7283
6947,Garicano,against,Renew,137325,6947
6948,Gade,against,Renew,137325,6948
6818,Flego,against,Renew,137325,6818
7150,Ďuriš Nicholsonová,against,Renew,137325,7150
6987,Donáth,against,Renew,137325,6987
6340,Dlabajová,against,Renew,137325,6340
6458,Danti,against,Renew,137325,6458
6978,Cseh,against,Renew,137325,6978
7021,Cioloş,against,Renew,137325,7021
6951,Christensen,against,Renew,137325,6951
6339,Charanzová,against,Renew,137325,6339
7008,Calenda,against,S&D,137325,7008
7057,Botoş,against,Renew,137325,7057
6835,Beer,against,Renew,137325,6835
7163,Bauzá Díaz,against,Renew,137325,7163
7165,Azmani,against,Renew,137325,7165
6400,Auštrevičius,against,Renew,137325,6400
6327,Ansip,against,Renew,137325,6327
7260,Andrews,against,Renew,137325,7260
7230,Alieva-Veli,against,Renew,137325,7230
6094,Zver,against,EPP,137325,6094
6734,Zovko,against,EPP,137325,6734
7012,Zoido Álvarez,against,EPP,137325,7012
6344,Zdechovský,against,EPP,137325,6344
6997,Zarzalejos,against,EPP,137325,6997
6665,Zagorakis,against,EPP,137325,6665
6820,Wiseler-Lima,against,EPP,137325,6820
7041,Winzig,against,EPP,137325,7041
5782,Winkler,against,EPP,137325,5782
4643,Wieland,against,EPP,137325,4643
6908,Weiss,against,EPP,137325,6908
5351,Weber,against,EPP,137325,5351
6804,Warborn,against,EPP,137325,6804
6827,Walsmann,against,EPP,137325,6827
7233,Walsh,against,EPP,137325,7233
7183,Vuolo,against,EPP,137325,7183
6664,Vozemberg-Vrionidi,against,EPP,137325,6664
5934,Voss,against,EPP,137325,5934
6356,Virkkunen,against,EPP,137325,6356
7062,Vincze,against,EPP,137325,7062
5930,Verheyen,against,EPP,137325,5930
6706,Vandenkendelaere,against,EPP,137325,6706
5600,Vaidere,against,EPP,137325,5600
6681,Tomc,against,EPP,137325,6681
7061,Tomac,against,EPP,137325,7061
6801,Tobé,against,EPP,137325,6801
6761,Mandl,against,EPP,137325,6761
4964,Manders,against,EPP,137325,4964
7218,Maldeikienė,against,EPP,137325,7218
6440,McAllister,against,EPP,137325,6440
6855,Lutgen,against,EPP,137325,6855
5964,Łukacijewska,against,EPP,137325,5964
5517,López-Istúriz White,against,EPP,137325,5517
7161,López Gil,against,EPP,137325,7161
6442,Lins,against,EPP,137325,6442
3855,Liese,against,EPP,137325,3855
7264,Lexmann,against,EPP,137325,7264
5105,Lewandowski,against,EPP,137325,5105
6592,Lenaers,against,EPP,137325,6592
6793,Lega,against,EPP,137325,6793
5727,de Lange,against,EPP,137325,5727
6662,Kyrtsos,against,EPP,137325,6662
7080,Kympouropoulos,against,EPP,137325,7080
7226,Kubilius,against,EPP,137325,7226
6196,Kovatchev,against,EPP,137325,6196
6918,Kopacz,against,EPP,137325,6918
6805,Kokalari,against,EPP,137325,6805
5855,Kelly,against,EPP,137325,5855
6666,Kefalogiannis,against,EPP,137325,6666
4669,Karas,against,EPP,137325,4669
7222,Kanev,against,EPP,137325,7222
6095,Kalniete,against,EPP,137325,6095
5944,Kalinowski,against,EPP,137325,5944
7223,Juknevičienė,against,EPP,137325,7223
6910,Jarubas,against,EPP,137325,6910
5945,Jahr,against,EPP,137325,5945
5952,Hübner,against,EPP,137325,5952
4987,Hortefeux,against,EPP,137325,4987
6346,Hölvényi,against,EPP,137325,6346
5953,Hohlmeier,against,EPP,137325,5953
6534,Hetman,against,EPP,137325,6534
6811,Herbst,against,EPP,137325,6811
7035,Hava,against,EPP,137325,7035
6777,Hansen,against,EPP,137325,6777
6907,Halicki,against,EPP,137325,6907
6632,González Pons,against,EPP,137325,6632
7253,Glavak,against,EPP,137325,7253
6441,Gieseke,against,EPP,137325,6441
