mepid,name,result,eugroup,identifier,vote_id
6864,Bourgeois,for,ECR,114847,6864
6866,Kanko,for,ECR,114847,6866
7173,Melbārde,for,EPP,114847,7173
6683,Van Overtveldt,for,ECR,114847,6683
7258,Comín i Oliveres,for,NA,114847,7258
7243,Gyöngyösi,for,NA,114847,7243
7276,Ponsatí Obiols,for,NA,114847,7276
7257,Puigdemont i Casamajó,for,NA,114847,7257
7278,Rookmaker,for,ECR,114847,7278
6471,Sonneborn,for,NA,114847,6471
6883,Adamowicz,for,EPP,114847,6883
6755,Ademov,for,EPP,114847,6755
7219,Alexandrov Yordanov,for,EPP,114847,7219
7129,Amaro,for,EPP,114847,7129
5980,Arias Echeverría,for,EPP,114847,5980
6594,Arimont,for,EPP,114847,6594
6885,Arłukowicz,for,EPP,114847,6885
7083,Asimakopoulou,for,EPP,114847,7083
7060,Băsescu,for,EPP,114847,7060
6927,Bellamy,for,EPP,114847,6927
6807,Bentele,for,EPP,114847,6807
7162,Berendsen,for,EPP,114847,7162
6809,Berger,for,EPP,114847,6809
4806,Berlusconi,for,EPP,114847,4806
7037,Bernhuber,for,EPP,114847,7037
7155,Bilčík,for,EPP,114847,7155
7026,Blaga,for,EPP,114847,7026
6343,Bocskor,for,NA,114847,6343
7025,Bogdan,for,EPP,114847,7025
6613,Bogovič,for,EPP,114847,6613
6617,Buda,for,EPP,114847,6617
5729,Buşoi,for,EPP,114847,5729
6039,Carvalho,for,EPP,114847,6039
5252,Casa,for,EPP,114847,5252
5341,Caspary,for,EPP,114847,5341
5508,del Castillo Vera,for,EPP,114847,5508
5236,Christoforou,for,EPP,114847,5236
6600,Clune,for,EPP,114847,6600
6929,Colin-Oesterlé,for,EPP,114847,6929
5921,Danjean,for,EPP,114847,5921
7261,De Meo,for,EPP,114847,7261
6345,Deli,for,NA,114847,6345
5998,Deutsch,for,NA,114847,5998
6762,Didier,for,EPP,114847,6762
6870,Doleschal,for,EPP,114847,6870
5960,Dorfmann,for,EPP,114847,5960
6903,Duda,for,EPP,114847,6903
6810,Düpont,for,EPP,114847,6810
5348,Ehler,for,EPP,114847,5348
5983,Estaràs Ferragut,for,EPP,114847,5983
6928,Evren,for,EPP,114847,6928
7038,Falcă,for,EPP,114847,7038
3833,Ferber,for,EPP,114847,3833
6068,Fernandes,for,EPP,114847,6068
7108,Fitzgerald,for,EPP,114847,7108
6813,Fourlas,for,EPP,114847,6813
6906,Frankowski,for,EPP,114847,6906
6852,Franssen,for,EPP,114847,6852
4659,Gahler,for,EPP,114847,4659
5280,Gál,for,NA,114847,5280
3980,García-Margallo y Marfil,for,EPP,114847,3980
6441,Gieseke,for,EPP,114847,6441
7253,Glavak,for,EPP,114847,7253
6632,González Pons,for,EPP,114847,6632
6002,Győri,for,NA,114847,6002
5138,Gyürk,for,NA,114847,5138
6907,Halicki,for,EPP,114847,6907
6777,Hansen,for,EPP,114847,6777
7035,Hava,for,EPP,114847,7035
6811,Herbst,for,EPP,114847,6811
6534,Hetman,for,EPP,114847,6534
5953,Hohlmeier,for,EPP,114847,5953
6346,Hölvényi,for,EPP,114847,6346
4987,Hortefeux,for,EPP,114847,4987
5952,Hübner,for,EPP,114847,5952
5945,Jahr,for,EPP,114847,5945
5271,Járóka,for,NA,114847,5271
6910,Jarubas,for,EPP,114847,6910
7223,Juknevičienė,for,EPP,114847,7223
5944,Kalinowski,for,EPP,114847,5944
6095,Kalniete,for,EPP,114847,6095
7222,Kanev,for,EPP,114847,7222
4669,Karas,for,EPP,114847,4669
6666,Kefalogiannis,for,EPP,114847,6666
5855,Kelly,for,EPP,114847,5855
6805,Kokalari,for,EPP,114847,6805
6918,Kopacz,for,EPP,114847,6918
6001,Kósa,for,NA,114847,6001
6196,Kovatchev,for,EPP,114847,6196
7080,Kympouropoulos,for,EPP,114847,7080
6662,Kyrtsos,for,Renew,114847,6662
5727,de Lange,for,EPP,114847,5727
6793,Lega,for,EPP,114847,6793
6592,Lenaers,for,EPP,114847,6592
5105,Lewandowski,for,EPP,114847,5105
7264,Lexmann,for,EPP,114847,7264
3855,Liese,for,EPP,114847,3855
6442,Lins,for,EPP,114847,6442
7161,López Gil,for,EPP,114847,7161
5517,López-Istúriz White,for,EPP,114847,5517
5964,Łukacijewska,for,EPP,114847,5964
6855,Lutgen,for,EPP,114847,6855
6440,McAllister,for,EPP,114847,6440
5245,McGuinness,for,EPP,114847,5245
7218,Maldeikienė,for,EPP,114847,7218
4964,Manders,for,EPP,114847,4964
6761,Mandl,for,EPP,114847,6761
5646,Marinescu,for,EPP,114847,5646
6465,Martusciello,for,EPP,114847,6465
6096,Mato,for,EPP,114847,6096
6483,Maydell,for,EPP,114847,6483
7224,Mažylis,for,EPP,114847,7224
7051,Meimarakis,for,EPP,114847,7051
6121,Melo,for,EPP,114847,6121
6297,Metsola,for,EPP,114847,6297
7209,Milazzo,for,ECR,114847,7209
5518,Millán Mon,for,EPP,114847,5518
6366,Monteiro de Aguiar,for,EPP,114847,6366
7099,Montserrat,for,EPP,114847,7099
6368,Morano,for,EPP,114847,6368
6825,Mortler,for,EPP,114847,6825
7036,Motreanu,for,EPP,114847,7036
6436,Mureşan,for,EPP,114847,6436
4712,Niebler,for,EPP,114847,4712
6332,Niedermayer,for,EPP,114847,6332
7255,Nistor,for,EPP,114847,7255
5413,Novak,for,EPP,114847,5413
6709,Novakov,for,EPP,114847,6709
6935,Ochojska,for,EPP,114847,6935
5407,Olbrycht,for,EPP,114847,5407
5702,Patriciello,for,EPP,114847,5702
6819,Peeters,for,EPP,114847,6819
7120,Pereira Lídia,for,EPP,114847,7120
5346,Pieper,for,EPP,114847,5346
5788,Pietikäinen,for,EPP,114847,5788
6335,Polčák,for,EPP,114847,6335
6803,Polfjärd,for,EPP,114847,6803
7149,Pollák,for,EPP,114847,7149
6700,Pospíšil,for,EPP,114847,6700
6488,Radev,for,EPP,114847,6488
6750,Radtke,for,EPP,114847,6750
6072,Rangel,for,EPP,114847,6072
6812,Ressler,for,EPP,114847,6812
7266,Sagartz,for,EPP,114847,7266
6698,Salini,for,EPP,114847,6698
6370,Sander,for,EPP,114847,6370
6259,Sarvamaa,for,EPP,114847,6259
7045,Schmiedtbauer,for,EPP,114847,7045
6821,Schneider,for,EPP,114847,6821
6636,Schreijer-Pierik,for,EPP,114847,6636
6443,Schulze,for,EPP,114847,6443
5345,Schwab,for,EPP,114847,5345
6823,Seekatz,for,EPP,114847,6823
6941,Sikorski,for,EPP,114847,6941
6824,Simon,for,EPP,114847,6824
6790,Skyttedal,for,EPP,114847,6790
6341,Šojdrová,for,EPP,114847,6341
6816,Sokol,for,EPP,114847,6816
6663,Spyraki,for,EPP,114847,6663
6547,Štefanec,for,EPP,114847,6547
5143,Szájer,for,EPP,114847,5143
4482,Tajani,for,EPP,114847,4482
7277,Terras,for,EPP,114847,7277
7056,Thaler,for,EPP,114847,7056
6801,Tobé,for,EPP,114847,6801
7061,Tomac,for,EPP,114847,7061
6681,Tomc,for,EPP,114847,6681
6965,Tóth,for,NA,114847,6965
7241,Trócsányi,for,NA,114847,7241
5600,Vaidere,for,EPP,114847,5600
5930,Verheyen,for,EPP,114847,5930
7062,Vincze,for,EPP,114847,7062
6356,Virkkunen,for,EPP,114847,6356
5934,Voss,for,EPP,114847,5934
6664,Vozemberg-Vrionidi,for,EPP,114847,6664
7233,Walsh,for,EPP,114847,7233
6827,Walsmann,for,EPP,114847,6827
6804,Warborn,for,EPP,114847,6804
5351,Weber,for,EPP,114847,5351
6908,Weiss,for,EPP,114847,6908
4643,Wieland,for,EPP,114847,4643
7153,Wiezik,for,Renew,114847,7153
5782,Winkler,for,EPP,114847,5782
7041,Winzig,for,EPP,114847,7041
6820,Wiseler-Lima,for,EPP,114847,6820
6665,Zagorakis,for,EPP,114847,6665
6997,Zarzalejos,for,EPP,114847,6997
6344,Zdechovský,for,EPP,114847,6344
7012,Zoido Álvarez,for,EPP,114847,7012
6734,Zovko,for,EPP,114847,6734
6094,Zver,for,EPP,114847,6094
7230,Alieva-Veli,for,Renew,114847,7230
7260,Andrews,for,Renew,114847,7260
6327,Ansip,for,Renew,114847,6327
7053,Armand,for,Renew,114847,7053
6400,Auštrevičius,for,Renew,114847,6400
7165,Azmani,for,Renew,114847,7165
7163,Bauzá Díaz,for,Renew,114847,7163
