mepid,name,result,eugroup,identifier,vote_id
7173,Melbārde,for,ECR,112855,7173
7089,Arvanitis,for,GUE/NGL,112855,7089
7204,Georgoulis,for,GUE/NGL,112855,7204
7126,Kokkalis,for,GUE/NGL,112855,7126
6713,Kouloglou,for,GUE/NGL,112855,6713
7087,Kountoura,for,GUE/NGL,112855,7087
5596,Papadimoulis,for,GUE/NGL,112855,5596
7079,Androuët,for,ID,112855,7079
6988,Bardella,for,ID,112855,6988
6394,Bay,for,ID,112855,6394
7068,Beigneux,for,ID,112855,7068
6405,Bilde,for,ID,112855,6405
7076,Bruna,for,ID,112855,7076
7071,Collard,for,ID,112855,7071
7018,Garraud,for,ID,112855,7018
7019,Griset,for,ID,112855,7019
6404,Jalkh,for,ID,112855,6404
6751,Jamet,for,ID,112855,6751
7017,Joron,for,ID,112855,7017
7016,Juvin,for,ID,112855,7016
7275,Lacapelle,for,ID,112855,7275
6990,Laporte,for,ID,112855,6990
6372,Lebreton,for,ID,112855,6372
7074,Lechanteux,for,ID,112855,7074
7013,Mariani,for,ID,112855,7013
6399,Mélin,for,ID,112855,6399
7075,Olivier,for,ID,112855,7075
7020,Pirbakas,for,ID,112855,7020
7006,Rivière,for,ID,112855,7006
7078,Rougé,for,ID,112855,7078
6468,Adinolfi Isabella,for,NI,112855,6468
6411,Beghin,for,NI,112855,6411
6446,Castaldo,for,NI,112855,6446
7258,Comín i Oliveres,for,NI,112855,7258
6494,Corrao,for,Verts/ALE,112855,6494
6472,D'Amato,for,Verts/ALE,112855,6472
6413,Evi,for,Verts/ALE,112855,6413
6470,Ferrara,for,NI,112855,6470
7180,Furore,for,NI,112855,7180
7179,Gemma,for,NI,112855,7179
7189,Giarrusso,for,NI,112855,7189
7243,Gyöngyösi,for,NI,112855,7243
6482,Pedicini,for,Verts/ALE,112855,6482
7010,Pignedoli,for,NI,112855,7010
7276,Ponsatí Obiols,for,NI,112855,7276
7257,Puigdemont i Casamajó,for,NI,112855,7257
7148,Radačovský,for,NI,112855,7148
7177,Rondinelli,for,NI,112855,7177
7278,Rookmaker,for,NI,112855,7278
6471,Sonneborn,for,NI,112855,6471
7147,Uhrík,for,NI,112855,7147
6695,Zullo,for,NI,112855,6695
6883,Adamowicz,for,PPE,112855,6883
6755,Ademov,for,PPE,112855,6755
7219,Alexandrov Yordanov,for,PPE,112855,7219
7129,Amaro,for,PPE,112855,7129
5980,Arias Echeverría,for,PPE,112855,5980
6594,Arimont,for,PPE,112855,6594
6885,Arłukowicz,for,PPE,112855,6885
7083,Asimakopoulou,for,PPE,112855,7083
7060,Băsescu,for,PPE,112855,7060
6927,Bellamy,for,PPE,112855,6927
6807,Bentele,for,PPE,112855,6807
7162,Berendsen,for,PPE,112855,7162
6809,Berger,for,PPE,112855,6809
4806,Berlusconi,for,PPE,112855,4806
7037,Bernhuber,for,PPE,112855,7037
7155,Bilčík,for,PPE,112855,7155
7026,Blaga,for,PPE,112855,7026
6343,Bocskor,for,PPE,112855,6343
7025,Bogdan,for,PPE,112855,7025
6613,Bogovič,for,PPE,112855,6613
6617,Buda,for,PPE,112855,6617
5729,Buşoi,for,PPE,112855,5729
6039,Carvalho,for,PPE,112855,6039
5252,Casa,for,PPE,112855,5252
5341,Caspary,for,PPE,112855,5341
5508,del Castillo Vera,for,PPE,112855,5508
5236,Christoforou,for,PPE,112855,5236
6600,Clune,for,PPE,112855,6600
6929,Colin-Oesterlé,for,PPE,112855,6929
5981,van Dalen,for,PPE,112855,5981
5921,Danjean,for,PPE,112855,5921
7261,De Meo,for,PPE,112855,7261
6345,Deli,for,PPE,112855,6345
5998,Deutsch,for,PPE,112855,5998
6762,Didier,for,PPE,112855,6762
6870,Doleschal,for,PPE,112855,6870
5960,Dorfmann,for,PPE,112855,5960
6903,Duda,for,PPE,112855,6903
6810,Düpont,for,PPE,112855,6810
5348,Ehler,for,PPE,112855,5348
5983,Estaràs Ferragut,for,PPE,112855,5983
6928,Evren,for,PPE,112855,6928
7038,Falcă,for,PPE,112855,7038
3833,Ferber,for,PPE,112855,3833
6068,Fernandes,for,PPE,112855,6068
7108,Fitzgerald,for,PPE,112855,7108
6813,Fourlas,for,PPE,112855,6813
6906,Frankowski,for,PPE,112855,6906
6852,Franssen,for,PPE,112855,6852
4659,Gahler,for,PPE,112855,4659
5280,Gál,for,PPE,112855,5280
3980,García-Margallo y Marfil,for,PPE,112855,3980
6441,Gieseke,for,PPE,112855,6441
7253,Glavak,for,PPE,112855,7253
6632,González Pons,for,PPE,112855,6632
6002,Győri,for,PPE,112855,6002
5138,Gyürk,for,PPE,112855,5138
6907,Halicki,for,PPE,112855,6907
6777,Hansen,for,PPE,112855,6777
7035,Hava,for,PPE,112855,7035
6811,Herbst,for,PPE,112855,6811
6534,Hetman,for,PPE,112855,6534
5953,Hohlmeier,for,PPE,112855,5953
6346,Hölvényi,for,PPE,112855,6346
4987,Hortefeux,for,PPE,112855,4987
5952,Hübner,for,PPE,112855,5952
5945,Jahr,for,PPE,112855,5945
5271,Járóka,for,PPE,112855,5271
6910,Jarubas,for,PPE,112855,6910
7223,Juknevičienė,for,PPE,112855,7223
5944,Kalinowski,for,PPE,112855,5944
6095,Kalniete,for,PPE,112855,6095
7222,Kanev,for,PPE,112855,7222
4669,Karas,for,PPE,112855,4669
6666,Kefalogiannis,for,PPE,112855,6666
5855,Kelly,for,PPE,112855,5855
6805,Kokalari,for,PPE,112855,6805
6918,Kopacz,for,PPE,112855,6918
6001,Kósa,for,PPE,112855,6001
6196,Kovatchev,for,PPE,112855,6196
7080,Kympouropoulos,for,PPE,112855,7080
6662,Kyrtsos,for,PPE,112855,6662
5727,de Lange,for,PPE,112855,5727
6793,Lega,for,PPE,112855,6793
6592,Lenaers,for,PPE,112855,6592
5105,Lewandowski,for,PPE,112855,5105
7264,Lexmann,for,PPE,112855,7264
3855,Liese,for,PPE,112855,3855
6442,Lins,for,PPE,112855,6442
7161,López Gil,for,PPE,112855,7161
5517,López-Istúriz White,for,PPE,112855,5517
5964,Łukacijewska,for,PPE,112855,5964
6855,Lutgen,for,PPE,112855,6855
6440,McAllister,for,PPE,112855,6440
5245,McGuinness,for,PPE,112855,5245
7218,Maldeikienė,for,PPE,112855,7218
4964,Manders,for,PPE,112855,4964
6761,Mandl,for,PPE,112855,6761
5646,Marinescu,for,PPE,112855,5646
6465,Martusciello,for,PPE,112855,6465
6096,Mato,for,PPE,112855,6096
6483,Maydell,for,PPE,112855,6483
7224,Mažylis,for,PPE,112855,7224
7051,Meimarakis,for,PPE,112855,7051
6121,Melo,for,PPE,112855,6121
6297,Metsola,for,PPE,112855,6297
7209,Milazzo,for,PPE,112855,7209
5518,Millán Mon,for,PPE,112855,5518
6366,Monteiro de Aguiar,for,PPE,112855,6366
7099,Montserrat,for,PPE,112855,7099
6368,Morano,for,PPE,112855,6368
6825,Mortler,for,PPE,112855,6825
7036,Motreanu,for,PPE,112855,7036
6436,Mureşan,for,PPE,112855,6436
4712,Niebler,for,PPE,112855,4712
6332,Niedermayer,for,PPE,112855,6332
7255,Nistor,for,PPE,112855,7255
5413,Novak,for,PPE,112855,5413
6709,Novakov,for,PPE,112855,6709
6935,Ochojska,for,PPE,112855,6935
5407,Olbrycht,for,PPE,112855,5407
5702,Patriciello,for,PPE,112855,5702
6819,Peeters,for,PPE,112855,6819
7120,Pereira Lídia,for,PPE,112855,7120
5346,Pieper,for,PPE,112855,5346
5788,Pietikäinen,for,PPE,112855,5788
6335,Polčák,for,PPE,112855,6335
6803,Polfjärd,for,PPE,112855,6803
7149,Pollák,for,PPE,112855,7149
6700,Pospíšil,for,PPE,112855,6700
6488,Radev,for,PPE,112855,6488
6750,Radtke,for,PPE,112855,6750
6072,Rangel,for,PPE,112855,6072
6812,Ressler,for,PPE,112855,6812
7266,Sagartz,for,PPE,112855,7266
6698,Salini,for,PPE,112855,6698
6370,Sander,for,PPE,112855,6370
6259,Sarvamaa,for,PPE,112855,6259
7045,Schmiedtbauer,for,PPE,112855,7045
6821,Schneider,for,PPE,112855,6821
6636,Schreijer-Pierik,for,PPE,112855,6636
6443,Schulze,for,PPE,112855,6443
5345,Schwab,for,PPE,112855,5345
6823,Seekatz,for,PPE,112855,6823
6941,Sikorski,for,PPE,112855,6941
6824,Simon,for,PPE,112855,6824
6790,Skyttedal,for,PPE,112855,6790
6341,Šojdrová,for,PPE,112855,6341
6816,Sokol,for,PPE,112855,6816
6663,Spyraki,for,PPE,112855,6663
6547,Štefanec,for,PPE,112855,6547
5143,Szájer,for,PPE,112855,5143
4482,Tajani,for,PPE,112855,4482
7277,Terras,for,PPE,112855,7277
7056,Thaler,for,PPE,112855,7056
6801,Tobé,for,PPE,112855,6801
7061,Tomac,for,PPE,112855,7061
6681,Tomc,for,PPE,112855,6681
6965,Tóth,for,PPE,112855,6965
7241,Trócsányi,for,PPE,112855,7241
5600,Vaidere,for,PPE,112855,5600
5930,Verheyen,for,PPE,112855,5930
7062,Vincze,for,PPE,112855,7062
6356,Virkkunen,for,PPE,112855,6356
5934,Voss,for,PPE,112855,5934
6664,Vozemberg-Vrionidi,for,PPE,112855,6664
7233,Walsh,for,PPE,112855,7233
6827,Walsmann,for,PPE,112855,6827
6804,Warborn,for,PPE,112855,6804
5351,Weber,for,PPE,112855,5351
6908,Weiss,for,PPE,112855,6908
4643,Wieland,for,PPE,112855,4643
7153,Wiezik,for,PPE,112855,7153
5782,Winkler,for,PPE,112855,5782
7041,Winzig,for,PPE,112855,7041
6820,Wiseler-Lima,for,PPE,112855,6820
6665,Zagorakis,for,PPE,112855,6665
6997,Zarzalejos,for,PPE,112855,6997
6344,Zdechovský,for,PPE,112855,6344
7012,Zoido Álvarez,for,PPE,112855,7012
6734,Zovko,for,PPE,112855,6734
6094,Zver,for,PPE,112855,6094
7230,Alieva-Veli,for,Renew,112855,7230
6799,Al-Sahlani,for,Renew,112855,6799
7260,Andrews,for,Renew,112855,7260
6327,Ansip,for,Renew,112855,6327
7053,Armand,for,Renew,112855,7053
6400,Auštrevičius,for,Renew,112855,6400
7165,Azmani,for,Renew,112855,7165
7163,Bauzá Díaz,for,Renew,112855,7163
6835,Beer,for,Renew,112855,6835
6944,Bijoux,for,Renew,112855,6944
6089,Bilbao Barandica,for,Renew,112855,6089
7057,Botoş,for,Renew,112855,7057
6967,Boyer,for,Renew,112855,6967
6966,Brunet,for,Renew,112855,6966
6973,Cañas,for,Renew,112855,6973
5891,Canfin,for,Renew,112855,5891
6899,Chabaud,for,Renew,112855,6899
6339,Charanzová,for,Renew,112855,6339
6860,Chastel,for,Renew,112855,6860
6951,Christensen,for,Renew,112855,6951
7271,Cicurel,for,Renew,112855,7271
7021,Cioloş,for,Renew,112855,7021
6978,Cseh,for,Renew,112855,6978
6458,Danti,for,Renew,112855,6458
6898,Decerle,for,Renew,112855,6898
6340,Dlabajová,for,Renew,112855,6340
6987,Donáth,for,Renew,112855,6987
6324,Durand,for,Renew,112855,6324
6980,Farreng,for,Renew,112855,6980
6601,Federley,for,Renew,112855,6601
6818,Flego,for,Renew,112855,6818
6948,Gade,for,Renew,112855,6948
7022,Gamon,for,Renew,112855,7022
6947,Garicano,for,Renew,112855,6947
7050,Ghinea,for,Renew,112855,7050
6840,Glück,for,Renew,112855,6840
1793,Goerens,for,Renew,112855,1793
7273,Gozi,for,Renew,112855,7273
7164,Groothuis,for,Renew,112855,7164
6849,Grošelj,for,Renew,112855,6849
6950,Grudler,for,Renew,112855,6950
6936,Guetta,for,Renew,112855,6936
6841,Hahn Svenja,for,Renew,112855,6841
6959,Hayer,for,Renew,112855,6959
6919,Hlaváček,for,Renew,112855,6919
7154,Hojsík,for,Renew,112855,7154
6622,Huitema,for,Renew,112855,6622
7014,Ijabs,for,Renew,112855,7014
5385,in  't Veld,for,Renew,112855,5385
6844,Joveva,for,Renew,112855,6844
6975,Karleskind,for,Renew,112855,6975
6800,Karlsbro,for,Renew,112855,6800
6766,Katainen,for,Renew,112855,6766
7203,Kelleher,for,Renew,112855,7203
5021,Keller Fabienne,for,Renew,112855,5021
6921,Knotek,for,Renew,112855,6921
6842,Körner,for,Renew,112855,6842
6917,Kovařík,for,Renew,112855,6917
6504,Kyuchyuk,for,Renew,112855,6504
6887,Loiseau,for,Renew,112855,6887
5889,Løkkegaard,for,Renew,112855,5889
6915,Maxová,for,Renew,112855,6915
6957,Melchior,for,Renew,112855,6957
6690,Mihaylova,for,Renew,112855,6690
6760,Nagtegaal,for,Renew,112855,6760
6614,Nart,for,Renew,112855,6614
6830,Oetjen,for,Renew,112855,6830
6705,Paet,for,Renew,112855,6705
6644,Pagazaurtundúa,for,Renew,112855,6644
6953,Pekkarinen,for,Renew,112855,6953
6510,Petersen,for,Renew,112855,6510
7235,Rafaela,for,Renew,112855,7235
6056,Riquet,for,Renew,112855,6056
4767,Rodríguez Ramos,for,Renew,112855,4767
7236,Schreinemacher,for,Renew,112855,7236
6902,Séjourné,for,Renew,112855,6902
6817,Semedo,for,Renew,112855,6817
7152,Šimečka,for,Renew,112855,7152
7168,Solís Pérez,for,Renew,112855,7168
7055,Ştefănuță,for,Renew,112855,7055
7058,Strugariu,for,Renew,112855,7058
7259,Søgaard-Lidell,for,Renew,112855,7259
6940,Tolleret,for,Renew,112855,6940
6331,Toom,for,Renew,112855,6331
6281,Torvalds,for,Renew,112855,6281
6985,Trillet-Lenoir,for,Renew,112855,6985
7054,Tudorache,for,Renew,112855,7054
5879,Uspaskich,for,Renew,112855,5879
6710,Vautmans,for,Renew,112855,6710
6896,Vedrenne,for,Renew,112855,6896
6159,Verhofstadt,for,Renew,112855,6159
7268,Vázquez Lázara,for,Renew,112855,7268
6971,Yon-Courtin,for,Renew,112855,6971
6892,Zacharopoulou,for,Renew,112855,6892
6802,Agius Saliba,for,S&D,112855,6802
6651,Aguilera,for,S&D,112855,6651
7167,Ameriks,for,S&D,112855,7167
6279,Andrieu,for,S&D,112855,6279
6687,Androulakis,for,S&D,112855,6687
7254,Angel,for,S&D,112855,7254
6977,Ara-Kovács,for,S&D,112855,6977
6553,Arena,for,S&D,112855,6553
7040,Avram,for,S&D,112855,7040
6888,Balt,for,S&D,112855,6888
6831,Barley,for,S&D,112855,6831
7193,Bartolo,for,S&D,112855,7193
6889,Belka,for,S&D,112855,6889
7047,Benea,for,S&D,112855,7047
6505,Benifei,for,S&D,112855,6505
5173,Beňová,for,S&D,112855,5173
6796,Bergkvist,for,S&D,112855,6796
6891,Biedroń,for,S&D,112855,6891
6833,Bischoff,for,S&D,112855,6833
5867,Blinkevičiūtė,for,S&D,112855,5867
6449,Bonafè,for,S&D,112855,6449
6843,Brglez,for,S&D,112855,6843
4690,Bullmann,for,S&D,112855,4690
6838,Burkhardt,for,S&D,112855,6838
7008,Calenda,for,S&D,112855,7008
7252,Carvalhais,for,S&D,112855,7252
7030,Cerdas,for,S&D,112855,7030
7166,Chahim,for,S&D,112855,7166
6499,Chinnici,for,S&D,112855,6499
6901,Cimoszewicz,for,S&D,112855,6901
7046,Ciuhodaru,for,S&D,112855,7046
7145,Číž,for,S&D,112855,7145
6051,Cozzolino,for,S&D,112855,6051
6794,Cutajar,for,S&D,112855,6794
6589,Dalli,for,S&D,112855,6589
6806,Danielsson,for,S&D,112855,6806
6062,De Castro,for,S&D,112855,6062
6969,Dobrev,for,S&D,112855,6969
7248,Durá Ferrandis,for,S&D,112855,7248
6014,Ertug,for,S&D,112855,6014
6080,Fajon,for,S&D,112855,6080
6652,Fernández,for,S&D,112855,6652
6770,Ferrandino,for,S&D,112855,6770
6791,Fritzon,for,S&D,112855,6791
6955,Fuglsang,for,S&D,112855,6955
7090,Gálvez Muñoz,for,S&D,112855,7090
