mepid,name,result,eugroup,identifier,vote_id
7234,Vandendriessche,abstention,ID,159921,7234
6881,Reil,abstention,ID,159921,6881
6886,Madison,abstention,ID,159921,6886
6880,Limmer,abstention,ID,159921,6880
6879,Kuhs,abstention,ID,159921,6879
6877,Fest,abstention,ID,159921,6877
6869,De Man,abstention,ID,159921,6869
6876,Buchheit,abstention,ID,159921,6876
6874,Beck,abstention,ID,159921,6874
6593,Annemans,abstention,ID,159921,6593
6872,Anderson,abstention,ID,159921,6872
6683,Van Overtveldt,abstention,ECR,159921,6683
6866,Kanko,abstention,ECR,159921,6866
6864,Bourgeois,abstention,ECR,159921,6864
5039,Konečná,against,GUE/NGL,159921,5039
7247,Tudose,against,S&D,159921,7247
7128,Ruiz Devesa,against,S&D,159921,7128
7221,Olekas,against,S&D,159921,7221
6691,Negrescu,against,S&D,159921,6691
6419,Grapini,against,S&D,159921,6419
7046,Ciuhodaru,against,S&D,159921,7046
7047,Benea,against,S&D,159921,7047
6917,Kovařík,against,Renew,159921,6917
6921,Knotek,against,Renew,159921,6921
6919,Hlaváček,against,Renew,159921,6919
6340,Dlabajová,against,Renew,159921,6340
6339,Charanzová,against,Renew,159921,6339
7161,López Gil,against,EPP,159921,7161
7147,Uhrík,against,NA,159921,7147
5842,Roth Neveďalová,against,NA,159921,5842
7148,Radačovský,against,NA,159921,7148
6630,de Graaff,against,NA,159921,6630
7207,Donato,against,NA,159921,7207
6513,Vistisen,against,ID,159921,6513
6610,Vilimsky,against,ID,159921,6610
6627,Mayer,against,ID,159921,6627
7246,Haider,against,ID,159921,7246
6949,David,against,ID,159921,6949
6989,Hakkarainen,against,ECR,159921,6989
7064,Wiener,for,Greens/EFA,159921,7064
6757,Waitz,for,Greens/EFA,159921,6757
7237,Van Sparrentak,for,Greens/EFA,159921,7237
6551,Vana,for,Greens/EFA,159921,6551
6591,Urtasun,for,Greens/EFA,159921,6591
6894,Toussaint,for,Greens/EFA,159921,6894
7156,Strik,for,Greens/EFA,159921,7156
6943,Spurek,for,Greens/EFA,159921,6943
6738,Solé,for,Greens/EFA,159921,6738
6822,Semsrott,for,Greens/EFA,159921,6822
6893,Satouri,for,Greens/EFA,159921,6893
6694,Ropė,for,Greens/EFA,159921,6694
6900,Roose,for,Greens/EFA,159921,6900
5917,Rivasi,for,Greens/EFA,159921,5917
7280,Ripa,for,Greens/EFA,159921,7280
7217,Riba i Giner,for,Greens/EFA,159921,7217
6529,Reintke,for,Greens/EFA,159921,6529
6963,Peter-Hansen,for,Greens/EFA,159921,6963
6932,Peksa,for,Greens/EFA,159921,6932
6482,Pedicini,for,Greens/EFA,159921,6482
6863,Paulus,for,Greens/EFA,159921,6863
7187,Niinistö,for,Greens/EFA,159921,7187
6862,Nienaß,for,Greens/EFA,159921,6862
6861,Neumann,for,Greens/EFA,159921,6861
6251,Miranda,for,Greens/EFA,159921,6251
7281,Matthieu,for,Greens/EFA,159921,7281
7332,Massard,for,Greens/EFA,159921,7332
6859,Marquardt,for,Greens/EFA,159921,6859
6858,Langensiepen,for,Greens/EFA,159921,6858
5838,Lamberts,for,Greens/EFA,159921,5838
6857,Lagodinsky,for,Greens/EFA,159921,6857
6795,Kuhnke,for,Greens/EFA,159921,6795
6939,Kolaja,for,Greens/EFA,159921,6939
5908,Keller Ska,for,Greens/EFA,159921,5908
7220,Jakeliūnas,for,Greens/EFA,159921,7220
6797,Holmgren,for,Greens/EFA,159921,6797
6856,Herzberger-Fofana,for,Greens/EFA,159921,6856
4535,Hautala,for,Greens/EFA,159921,4535
5926,Häusling,for,Greens/EFA,159921,5926
6854,Hahn Henrike,for,Greens/EFA,159921,6854
7034,Guerreiro,for,Greens/EFA,159921,7034
7274,Gruffat,for,Greens/EFA,159921,7274
6942,Gregorová,for,Greens/EFA,159921,6942
6853,Geese,for,Greens/EFA,159921,6853
7294,Gallée,for,Greens/EFA,159921,7294
6851,Freund,for,Greens/EFA,159921,6851
5899,Eickhout,for,Greens/EFA,159921,5899
6850,Deparnay-Grunenberg,for,Greens/EFA,159921,6850
6040,Delli,for,Greens/EFA,159921,6040
6924,Delbos-Corfield,for,Greens/EFA,159921,6924
6472,D'Amato,for,Greens/EFA,159921,6472
6730,Dalunde,for,Greens/EFA,159921,6730
7043,Cuffe,for,Greens/EFA,159921,7043
6494,Corrao,for,Greens/EFA,159921,6494
6897,Cormand,for,Greens/EFA,159921,6897
6847,Cavazzini,for,Greens/EFA,159921,6847
6964,Carême,for,Greens/EFA,159921,6964
6867,Bricmont,for,Greens/EFA,159921,6867
6829,Breyer,for,Greens/EFA,159921,6829
6837,Boeselager,for,Greens/EFA,159921,6837
6905,Biteau,for,Greens/EFA,159921,6905
5291,Auken,for,Greens/EFA,159921,5291
6845,Andresen,for,Greens/EFA,159921,6845
5924,Alfonsi,for,Greens/EFA,159921,5924
7263,Alametsä,for,Greens/EFA,159921,7263
7202,Wallace,for,GUE/NGL,159921,7202
6961,Villumsen,for,GUE/NGL,159921,6961
7212,Villanueva Ruiz,for,GUE/NGL,159921,7212
6715,Urbán Crespo,for,GUE/NGL,159921,6715
5837,Scholz,for,GUE/NGL,159921,5837
6758,Schirdewan,for,GUE/NGL,159921,6758
7169,Rodríguez Palop,for,GUE/NGL,159921,7169
7069,Rego,for,GUE/NGL,159921,7069
7213,Pineda,for,GUE/NGL,159921,7213
6727,Pimenta Lopes,for,GUE/NGL,159921,6727
7138,Pereira Sandra,for,GUE/NGL,159921,7138
6920,Pelletier,for,GUE/NGL,159921,6920
5596,Papadimoulis,for,GUE/NGL,159921,5596
6250,Omarjee,for,GUE/NGL,159921,6250
7303,Mesure,for,GUE/NGL,159921,7303
6354,Maurel,for,GUE/NGL,159921,6354
7279,MacManus,for,GUE/NGL,159921,7279
7087,Kountoura,for,GUE/NGL,159921,7087
6713,Kouloglou,for,GUE/NGL,159921,6713
7126,Kokkalis,for,GUE/NGL,159921,7126
6814,Kizilyürek,for,GUE/NGL,159921,6814
6628,Hazekamp,for,GUE/NGL,159921,6628
7133,Gusmão,for,GUE/NGL,159921,7133
6815,Georgiou,for,GUE/NGL,159921,6815
6597,Flanagan,for,GUE/NGL,159921,6597
6865,Demirel,for,GUE/NGL,159921,6865
7113,Daly,for,GUE/NGL,159921,7113
6922,Chaibi,for,GUE/NGL,159921,6922
6873,Botenga,for,GUE/NGL,159921,6873
6604,Björk,for,GUE/NGL,159921,6604
6926,Aubry,for,GUE/NGL,159921,6926
7089,Arvanitis,for,GUE/NGL,159921,7089
6373,Zorrinho,for,S&D,159921,6373
7225,Yoncheva,for,S&D,159921,7225
6735,Wölken,for,S&D,159921,6735
7227,Vitanov,for,S&D,159921,7227
7251,Vind,for,S&D,159921,7251
7313,Variati,for,S&D,159921,7313
4990,Van Brempt,for,S&D,159921,4990
7195,Ušakovs,for,S&D,159921,7195
6336,Ujhelyi,for,S&D,159921,6336
5459,Toia,for,S&D,159921,5459
6983,Tinagli,for,S&D,159921,6983
6623,Tang,for,S&D,159921,6623
7176,Smeriglio,for,S&D,159921,7176
6381,Silva Pereira,for,S&D,159921,6381
7065,Sidl,for,S&D,159921,7065
7059,Schieder,for,S&D,159921,7059
5713,Schaldemose,for,S&D,159921,5713
7039,Santos,for,S&D,159921,7039
6415,Sant,for,S&D,159921,6415
7110,Sánchez Amor,for,S&D,159921,7110
7326,Rudner,for,S&D,159921,7326
7269,Ros Sempere,for,S&D,159921,7269
7177,Rondinelli,for,S&D,159921,7177
6974,Rónai,for,S&D,159921,6974
6649,Rodríguez-Piñero,for,S&D,159921,6649
7288,Reuten,for,S&D,159921,7288
7296,Repasi,for,S&D,159921,7296
6136,Regner,for,S&D,159921,6136
6261,Picula,for,S&D,159921,6261
6484,Picierno,for,S&D,159921,6484
7324,Papandreou,for,S&D,159921,7324
6323,Papadakis Demetris,for,S&D,159921,6323
7308,OHLSSON,for,S&D,159921,7308
7298,Nemec,for,S&D,159921,7298
7310,Muigg,for,S&D,159921,7310
6433,Moretti,for,S&D,159921,6433
5466,Moreno Sánchez,for,S&D,159921,5466
6351,Molnár,for,S&D,159921,6351
6933,Miller,for,S&D,159921,6933
6890,Mikser,for,S&D,159921,6890
7272,Mebarek,for,S&D,159921,7272
6915,Maxová,for,S&D,159921,6915
6839,Matić,for,S&D,159921,6839
7027,Marques Margarida,for,S&D,159921,7027
7107,Maestre Martín De Almagro,for,S&D,159921,7107
7109,Luena,for,S&D,159921,7109
7292,Lucke,for,S&D,159921,7292
6648,López,for,S&D,159921,6648
5094,Liberadzki,for,S&D,159921,5094
7024,Leitão-Marques,for,S&D,159921,7024
7086,Larrouturou,for,S&D,159921,7086
3823,Lange,for,S&D,159921,3823
7085,Lalucq,for,S&D,159921,7085
6367,Kumpula-Natri,for,S&D,159921,6367
6459,Köster,for,S&D,159921,6459
6916,Kohut,for,S&D,159921,6916
6009,Kammerevert,for,S&D,159921,6009
6884,Kaljurand,for,S&D,159921,6884
6624,Jongerius,for,S&D,159921,6624
6263,Jerković,for,S&D,159921,6263
6792,Incir,for,S&D,159921,6792
7229,Hristov,for,S&D,159921,7229
7122,Homs Ginel,for,S&D,159921,7122
7185,Heinäluoma,for,S&D,159921,7185
7070,Heide,for,S&D,159921,7070
7146,Hajšel,for,S&D,159921,7146
6107,Guillaume,for,S&D,159921,6107
7009,Gualmini,for,S&D,159921,7009
7106,González Casares,for,S&D,159921,7106
7111,González,for,S&D,159921,7111
7082,Glucksmann,for,S&D,159921,7082
6005,Geier,for,S&D,159921,6005
6130,Gardiazabal Rubial,for,S&D,159921,6130
5417,García Pérez,for,S&D,159921,5417
7125,García Muñoz,for,S&D,159921,7125
7105,García Del Blanco,for,S&D,159921,7105
6955,Fuglsang,for,S&D,159921,6955
6791,Fritzon,for,S&D,159921,6791
