mepid,name,result,eugroup,identifier,vote_id
6964,Carême,abstention,Greens/EFA,165396,6964
6715,Urbán Crespo,abstention,GUE/NGL,165396,6715
6323,Papadakis Demetris,abstention,S&D,165396,6323
7308,OHLSSON,abstention,S&D,165396,7308
6792,Incir,abstention,S&D,165396,6792
7146,Hajšel,abstention,S&D,165396,7146
7346,Glanzelius,abstention,S&D,165396,7346
6791,Fritzon,abstention,S&D,165396,6791
7293,De Basso,abstention,S&D,165396,7293
7056,Thaler,abstention,EPP,165396,7056
7149,Pollák,abstention,EPP,165396,7149
7333,Pirchner,abstention,EPP,165396,7333
6332,Niedermayer,abstention,EPP,165396,6332
3800,Coelho,abstention,EPP,165396,3800
7242,Sinčić,abstention,NA,165396,7242
6836,Kolakušić,abstention,NA,165396,6836
6686,Kaili,abstention,NA,165396,6686
7204,Georgoulis,abstention,NA,165396,7204
6866,Kanko,abstention,ECR,165396,6866
6864,Bourgeois,abstention,ECR,165396,6864
7240,O'Sullivan,against,Greens/EFA,165396,7240
7043,Cuffe,against,Greens/EFA,165396,7043
7202,Wallace,against,GUE/NGL,165396,7202
6961,Villumsen,against,GUE/NGL,165396,6961
6758,Schirdewan,against,GUE/NGL,165396,6758
7341,Sanz Selva,against,GUE/NGL,165396,7341
7169,Rodríguez Palop,against,GUE/NGL,165396,7169
7213,Pineda,against,GUE/NGL,165396,7213
6727,Pimenta Lopes,against,GUE/NGL,165396,6727
7138,Pereira Sandra,against,GUE/NGL,165396,7138
6920,Pelletier,against,GUE/NGL,165396,6920
6250,Omarjee,against,GUE/NGL,165396,6250
7190,Modig,against,GUE/NGL,165396,7190
6310,Michels,against,GUE/NGL,165396,6310
7303,Mesure,against,GUE/NGL,165396,7303
6354,Maurel,against,GUE/NGL,165396,6354
7279,MacManus,against,GUE/NGL,165396,7279
6814,Kizilyürek,against,GUE/NGL,165396,6814
6628,Hazekamp,against,GUE/NGL,165396,6628
6815,Georgiou,against,GUE/NGL,165396,6815
6024,Ernst,against,GUE/NGL,165396,6024
6865,Demirel,against,GUE/NGL,165396,6865
7113,Daly,against,GUE/NGL,165396,7113
6922,Chaibi,against,GUE/NGL,165396,6922
6873,Botenga,against,GUE/NGL,165396,6873
6604,Björk,against,GUE/NGL,165396,6604
6926,Aubry,against,GUE/NGL,165396,6926
7251,Vind,against,S&D,165396,7251
6475,Schuster,against,S&D,165396,6475
5713,Schaldemose,against,S&D,165396,5713
6415,Sant,against,S&D,165396,6415
6322,Mavrides,against,S&D,165396,6322
6419,Grapini,against,S&D,165396,6419
6955,Fuglsang,against,S&D,165396,6955
6802,Agius Saliba,against,S&D,165396,6802
6953,Pekkarinen,against,Renew,165396,6953
6917,Kovařík,against,Renew,165396,6917
6921,Knotek,against,Renew,165396,6921
7203,Kelleher,against,Renew,165396,7203
6919,Hlaváček,against,Renew,165396,6919
7260,Andrews,against,Renew,165396,7260
6734,Zovko,against,EPP,165396,6734
6344,Zdechovský,against,EPP,165396,6344
6664,Vozemberg-Vrionidi,against,EPP,165396,6664
7062,Vincze,against,EPP,165396,7062
6816,Sokol,against,EPP,165396,6816
6341,Šojdrová,against,EPP,165396,6341
6370,Sander,against,EPP,165396,6370
7331,Sailliet,against,EPP,165396,7331
6812,Ressler,against,EPP,165396,6812
6072,Rangel,against,EPP,165396,6072
7120,Pereira Lídia,against,EPP,165396,7120
6366,Monteiro de Aguiar,against,EPP,165396,6366
7051,Meimarakis,against,EPP,165396,7051
7264,Lexmann,against,EPP,165396,7264
6196,Kovatchev,against,EPP,165396,6196
6666,Kefalogiannis,against,EPP,165396,6666
4987,Hortefeux,against,EPP,165396,4987
7253,Glavak,against,EPP,165396,7253
6813,Fourlas,against,EPP,165396,6813
6068,Fernandes,against,EPP,165396,6068
6039,Carvalho,against,EPP,165396,6039
6613,Bogovič,against,EPP,165396,6613
6927,Bellamy,against,EPP,165396,6927
7083,Asimakopoulou,against,EPP,165396,7083
5602,Ždanoka,against,NA,165396,5602
7147,Uhrík,against,NA,165396,7147
6965,Tóth,against,NA,165396,6965
6471,Sonneborn,against,NA,165396,6471
7286,Schaller-Baross,against,NA,165396,7286
5842,Roth Neveďalová,against,NA,165396,5842
7006,Rivière,against,NA,165396,7006
6676,Papadakis Kostas,against,NA,165396,6676
7116,Nikolaou-Alavanos,against,NA,165396,7116
6759,Meuthen,against,NA,165396,6759
6318,Hidvéghi,against,NA,165396,6318
5138,Gyürk,against,NA,165396,5138
6002,Győri,against,NA,165396,6002
6345,Deli,against,NA,165396,6345
7046,Ciuhodaru,against,S&D,165396,7046
6954,Blaško,against,NA,165396,6954
6882,Zimniok,against,ID,165396,6882
6513,Vistisen,against,ID,165396,6513
6610,Vilimsky,against,ID,165396,6610
7234,Vandendriessche,against,ID,165396,7234
