mepid,name,result,eugroup,identifier,vote_id
7250,Fragkos,for,ECR,126630,7250
6468,Adinolfi Isabella,for,NI,126630,6468
6411,Beghin,for,NI,126630,6411
6446,Castaldo,for,NI,126630,6446
7258,Comín i Oliveres,for,NI,126630,7258
6470,Ferrara,for,NI,126630,6470
7180,Furore,for,NI,126630,7180
7179,Gemma,for,NI,126630,7179
7189,Giarrusso,for,NI,126630,7189
7243,Gyöngyösi,for,NI,126630,7243
7123,Konstantinou,for,NI,126630,7123
7010,Pignedoli,for,NI,126630,7010
7276,Ponsatí Obiols,for,NI,126630,7276
7257,Puigdemont i Casamajó,for,NI,126630,7257
7177,Rondinelli,for,NI,126630,7177
6471,Sonneborn,for,NI,126630,6471
6695,Zullo,for,NI,126630,6695
6883,Adamowicz,for,PPE,126630,6883
6755,Ademov,for,PPE,126630,6755
7219,Alexandrov Yordanov,for,PPE,126630,7219
5980,Arias Echeverría,for,PPE,126630,5980
6594,Arimont,for,PPE,126630,6594
6885,Arłukowicz,for,PPE,126630,6885
7060,Băsescu,for,PPE,126630,7060
6927,Bellamy,for,PPE,126630,6927
7067,Benjumea Benjumea,for,PPE,126630,7067
6807,Bentele,for,PPE,126630,6807
7162,Berendsen,for,PPE,126630,7162
6809,Berger,for,PPE,126630,6809
4806,Berlusconi,for,PPE,126630,4806
7037,Bernhuber,for,PPE,126630,7037
7155,Bilčík,for,PPE,126630,7155
7026,Blaga,for,PPE,126630,7026
6343,Bocskor,for,PPE,126630,6343
7025,Bogdan,for,PPE,126630,7025
6617,Buda,for,PPE,126630,6617
5729,Buşoi,for,PPE,126630,5729
5388,Buzek,for,PPE,126630,5388
6039,Carvalho,for,PPE,126630,6039
5252,Casa,for,PPE,126630,5252
5341,Caspary,for,PPE,126630,5341
5508,del Castillo Vera,for,PPE,126630,5508
5236,Christoforou,for,PPE,126630,5236
6600,Clune,for,PPE,126630,6600
6929,Colin-Oesterlé,for,PPE,126630,6929
5981,van Dalen,for,PPE,126630,5981
5921,Danjean,for,PPE,126630,5921
7261,De Meo,for,PPE,126630,7261
