mepid,name,result,eugroup,identifier,vote_id
6864,Bourgeois,for,ECR,134294,6864
6866,Kanko,for,ECR,134294,6866
7173,Melbārde,for,ECR,134294,7173
5892,Tošenovský,for,ECR,134294,5892
6683,Van Overtveldt,for,ECR,134294,6683
6945,Vrecionová,for,ECR,134294,6945
5052,Zahradil,for,ECR,134294,5052
5598,Zīle,for,ECR,134294,5598
6949,David,for,ID,134294,6949
6960,Kofod,for,ID,134294,6960
6411,Beghin,for,NA,134294,6411
6832,Buschmann,for,NA,134294,6832
6446,Castaldo,for,NA,134294,6446
7258,Comín i Oliveres,for,NA,134294,7258
6470,Ferrara,for,NA,134294,6470
7180,Furore,for,NA,134294,7180
7179,Gemma,for,NA,134294,7179
7189,Giarrusso,for,NA,134294,7189
7116,Nikolaou-Alavanos,for,NA,134294,7116
6676,Papadakis Kostas,for,NA,134294,6676
7010,Pignedoli,for,NA,134294,7010
7276,Ponsatí Obiols,for,NA,134294,7276
7257,Puigdemont i Casamajó,for,NA,134294,7257
7175,Regimenti,for,EPP,134294,7175
7177,Rondinelli,for,NA,134294,7177
7278,Rookmaker,for,NA,134294,7278
6471,Sonneborn,for,NA,134294,6471
6883,Adamowicz,for,EPP,134294,6883
6468,Adinolfi Isabella,for,EPP,134294,6468
6594,Arimont,for,EPP,134294,6594
6885,Arłukowicz,for,EPP,134294,6885
7083,Asimakopoulou,for,EPP,134294,7083
7162,Berendsen,for,EPP,134294,7162
7155,Bilčík,for,EPP,134294,7155
5729,Buşoi,for,EPP,134294,5729
6039,Carvalho,for,EPP,134294,6039
5236,Christoforou,for,EPP,134294,5236
6600,Clune,for,EPP,134294,6600
6929,Colin-Oesterlé,for,EPP,134294,6929
5921,Danjean,for,EPP,134294,5921
6762,Didier,for,EPP,134294,6762
6928,Evren,for,EPP,134294,6928
7108,Fitzgerald,for,EPP,134294,7108
6813,Fourlas,for,EPP,134294,6813
6852,Franssen,for,EPP,134294,6852
6907,Halicki,for,EPP,134294,6907
6777,Hansen,for,EPP,134294,6777
4987,Hortefeux,for,EPP,134294,4987
5952,Hübner,for,EPP,134294,5952
5945,Jahr,for,EPP,134294,5945
6095,Kalniete,for,EPP,134294,6095
6666,Kefalogiannis,for,EPP,134294,6666
5855,Kelly,for,EPP,134294,5855
6918,Kopacz,for,EPP,134294,6918
7080,Kympouropoulos,for,EPP,134294,7080
6662,Kyrtsos,for,EPP,134294,6662
5727,de Lange,for,EPP,134294,5727
6793,Lega,for,EPP,134294,6793
6592,Lenaers,for,EPP,134294,6592
5964,Łukacijewska,for,EPP,134294,5964
7218,Maldeikienė,for,EPP,134294,7218
4964,Manders,for,EPP,134294,4964
5646,Marinescu,for,EPP,134294,5646
7284,Markey,for,EPP,134294,7284
6483,Maydell,for,EPP,134294,6483
7051,Meimarakis,for,EPP,134294,7051
6368,Morano,for,EPP,134294,6368
7036,Motreanu,for,EPP,134294,7036
6436,Mureşan,for,EPP,134294,6436
6332,Niedermayer,for,EPP,134294,6332
7255,Nistor,for,EPP,134294,7255
6709,Novakov,for,EPP,134294,6709
6935,Ochojska,for,EPP,134294,6935
5788,Pietikäinen,for,EPP,134294,5788
6335,Polčák,for,EPP,134294,6335
6803,Polfjärd,for,EPP,134294,6803
6700,Pospíšil,for,EPP,134294,6700
6370,Sander,for,EPP,134294,6370
6259,Sarvamaa,for,EPP,134294,6259
6636,Schreijer-Pierik,for,EPP,134294,6636
6941,Sikorski,for,EPP,134294,6941
6663,Spyraki,for,EPP,134294,6663
5949,Thun und Hohenstein,for,EPP,134294,5949
6801,Tobé,for,EPP,134294,6801
5600,Vaidere,for,EPP,134294,5600
6706,Vandenkendelaere,for,EPP,134294,6706
6356,Virkkunen,for,EPP,134294,6356
