mepid,name,result,eugroup,identifier,vote_id
7133,Gusmão,for,GUE/NGL,159117,7133
6815,Georgiou,for,GUE/NGL,159117,6815
6024,Ernst,for,GUE/NGL,159117,6024
6865,Demirel,for,GUE/NGL,159117,6865
6873,Botenga,for,GUE/NGL,159117,6873
6604,Björk,for,GUE/NGL,159117,6604
6926,Aubry,for,GUE/NGL,159117,6926
7089,Arvanitis,for,GUE/NGL,159117,7089
6373,Zorrinho,for,S&D,159117,6373
6735,Wölken,for,S&D,159117,6735
7227,Vitanov,for,S&D,159117,7227
7251,Vind,for,S&D,159117,7251
7313,Variati,for,S&D,159117,7313
4990,Van Brempt,for,S&D,159117,4990
7195,Ušakovs,for,S&D,159117,7195
7247,Tudose,for,S&D,159117,7247
5459,Toia,for,S&D,159117,5459
6983,Tinagli,for,S&D,159117,6983
7140,Tax,for,S&D,159117,7140
6490,Stanishev,for,S&D,159117,6490
7176,Smeriglio,for,S&D,159117,7176
6093,Sippel,for,S&D,159117,6093
6381,Silva Pereira,for,S&D,159117,6381
7065,Sidl,for,S&D,159117,7065
6475,Schuster,for,S&D,159117,6475
7059,Schieder,for,S&D,159117,7059
5713,Schaldemose,for,S&D,159117,5713
7039,Santos,for,S&D,159117,7039
7110,Sánchez Amor,for,S&D,159117,7110
7128,Ruiz Devesa,for,S&D,159117,7128
5842,Roth Neveďalová,for,NA,159117,5842
7177,Rondinelli,for,S&D,159117,7177
6974,Rónai,for,S&D,159117,6974
6649,Rodríguez-Piñero,for,S&D,159117,6649
7288,Reuten,for,S&D,159117,7288
7296,Repasi,for,S&D,159117,7296
6136,Regner,for,S&D,159117,6136
5731,Plumb,for,S&D,159117,5731
6261,Picula,for,S&D,159117,6261
6484,Picierno,for,S&D,159117,6484
7228,Penkova,for,S&D,159117,7228
7324,Papandreou,for,S&D,159117,7324
6323,Papadakis Demetris,for,S&D,159117,6323
7221,Olekas,for,S&D,159117,7221
7308,OHLSSON,for,S&D,159117,7308
6473,Noichl,for,S&D,159117,6473
6418,Nica,for,S&D,159117,6418
7298,Nemec,for,S&D,159117,7298
6691,Negrescu,for,S&D,159117,6691
6433,Moretti,for,S&D,159117,6433
5466,Moreno Sánchez,for,S&D,159117,5466
6351,Molnár,for,S&D,159117,6351
6933,Miller,for,S&D,159117,6933
6890,Mikser,for,S&D,159117,6890
7272,Mebarek,for,S&D,159117,7272
6915,Maxová,for,S&D,159117,6915
6322,Mavrides,for,S&D,159117,6322
6839,Matić,for,S&D,159117,6839
7023,Marques Pedro,for,S&D,159117,7023
7027,Marques Margarida,for,S&D,159117,7027
7042,Manda,for,S&D,159117,7042
7107,Maestre Martín De Almagro,for,S&D,159117,7107
7109,Luena,for,S&D,159117,7109
7292,Lucke,for,S&D,159117,7292
5984,López Aguilar,for,S&D,159117,5984
6648,López,for,S&D,159117,6648
5094,Liberadzki,for,S&D,159117,5094
7024,Leitão-Marques,for,S&D,159117,7024
7297,Laureti,for,S&D,159117,7297
7086,Larrouturou,for,S&D,159117,7086
3823,Lange,for,S&D,159117,3823
7085,Lalucq,for,S&D,159117,7085
6916,Kohut,for,S&D,159117,6916
6009,Kammerevert,for,S&D,159117,6009
6884,Kaljurand,for,S&D,159117,6884
6624,Jongerius,for,S&D,159117,6624
6263,Jerković,for,S&D,159117,6263
7229,Hristov,for,S&D,159117,7229
7122,Homs Ginel,for,S&D,159117,7122
7185,Heinäluoma,for,S&D,159117,7185
7070,Heide,for,S&D,159117,7070
7146,Hajšel,for,S&D,159117,7146
6107,Guillaume,for,S&D,159117,6107
7106,González Casares,for,S&D,159117,7106
7111,González,for,S&D,159117,7111
7082,Glucksmann,for,S&D,159117,7082
6005,Geier,for,S&D,159117,6005
6130,Gardiazabal Rubial,for,S&D,159117,6130
5417,García Pérez,for,S&D,159117,5417
7125,García Muñoz,for,S&D,159117,7125
7105,García Del Blanco,for,S&D,159117,7105
7090,Gálvez Muñoz,for,S&D,159117,7090
6955,Fuglsang,for,S&D,159117,6955
6791,Fritzon,for,S&D,159117,6791
6652,Fernández,for,S&D,159117,6652
7282,Engerer,for,S&D,159117,7282
7307,Ecke,for,S&D,159117,7307
6324,Durand,for,S&D,159117,6324
7248,Durá Ferrandis,for,S&D,159117,7248
6969,Dobrev,for,S&D,159117,6969
6062,De Castro,for,S&D,159117,6062
7293,De Basso,for,S&D,159117,7293
6794,Cutajar,for,S&D,159117,6794
5661,Crețu,for,S&D,159117,5661
7321,Covassi,for,S&D,159117,7321
7325,Clergeau,for,S&D,159117,7325
6901,Cimoszewicz,for,S&D,159117,6901
7166,Chahim,for,S&D,159117,7166
7030,Cerdas,for,S&D,159117,7030
7252,Carvalhais,for,S&D,159117,7252
6838,Burkhardt,for,S&D,159117,6838
4690,Bullmann,for,S&D,159117,4690
6843,Brglez,for,S&D,159117,6843
5465,Bresso,for,S&D,159117,5465
6264,Borzan,for,S&D,159117,6264
5867,Blinkevičiūtė,for,S&D,159117,5867
6833,Bischoff,for,S&D,159117,6833
6891,Biedroń,for,S&D,159117,6891
5173,Beňová,for,NA,159117,5173
6505,Benifei,for,S&D,159117,6505
7047,Benea,for,S&D,159117,7047
6889,Belka,for,S&D,159117,6889
7193,Bartolo,for,S&D,159117,7193
6831,Barley,for,S&D,159117,6831
6888,Balt,for,S&D,159117,6888
7329,Ballarín Cereza,for,S&D,159117,7329
6553,Arena,for,S&D,159117,6553
6977,Ara-Kovács,for,S&D,159117,6977
7254,Angel,for,S&D,159117,7254
7305,Albuquerque,for,S&D,159117,7305
6651,Aguilera,for,S&D,159117,6651
6802,Agius Saliba,for,S&D,159117,6802
6695,Zullo,for,Renew,159117,6695
6971,Yon-Courtin,for,Renew,159117,6971
6904,Yenbou,for,Renew,159117,6904
7153,Wiezik,for,Renew,159117,7153
7287,Wiesner,for,Renew,159117,7287
7268,Vázquez Lázara,for,Renew,159117,7268
6159,Verhofstadt,for,Renew,159117,6159
6896,Vedrenne,for,Renew,159117,6896
6710,Vautmans,for,Renew,159117,6710
7054,Tudorache,for,Renew,159117,7054
6281,Torvalds,for,Renew,159117,6281
6940,Tolleret,for,Renew,159117,6940
5949,Thun und Hohenstein,for,Renew,159117,5949
7058,Strugariu,for,Renew,159117,7058
7168,Solís Pérez,for,Renew,159117,7168
6817,Semedo,for,Renew,159117,6817
6902,Séjourné,for,Renew,159117,6902
4767,Rodríguez Ramos,for,Renew,159117,4767
6056,Riquet,for,Renew,159117,6056
4676,Ries,for,Renew,159117,4676
7235,Rafaela,for,Renew,159117,7235
7318,Poulsen,for,Renew,159117,7318
7306,Poptcheva,for,Renew,159117,7306
7052,Pîslaru,for,Renew,159117,7052
6510,Petersen,for,Renew,159117,6510
6953,Pekkarinen,for,Renew,159117,6953
6644,Pagazaurtundúa,for,Renew,159117,6644
6705,Paet,for,Renew,159117,6705
7299,Orville,for,Renew,159117,7299
6614,Nart,for,Renew,159117,6614
6760,Nagtegaal,for,Renew,159117,6760
7285,Mituța,for,Renew,159117,7285
6690,Mihaylova,for,Renew,159117,6690
6957,Melchior,for,Renew,159117,6957
5889,Løkkegaard,for,Renew,159117,5889
6887,Loiseau,for,Renew,159117,6887
6504,Kyuchyuk,for,Renew,159117,6504
6662,Kyrtsos,for,Renew,159117,6662
6917,Kovařík,for,Renew,159117,6917
6921,Knotek,for,Renew,159117,6921
5021,Keller Fabienne,for,Renew,159117,5021
7203,Kelleher,for,Renew,159117,7203
6766,Katainen,for,Renew,159117,6766
6975,Karleskind,for,Renew,159117,6975
6844,Joveva,for,Renew,159117,6844
5385,in 't Veld,for,Renew,159117,5385
7014,Ijabs,for,Renew,159117,7014
6622,Huitema,for,Renew,159117,6622
7154,Hojsík,for,Renew,159117,7154
6919,Hlaváček,for,Renew,159117,6919
6959,Hayer,for,Renew,159117,6959
6936,Guetta,for,Renew,159117,6936
6950,Grudler,for,Renew,159117,6950
6849,Grošelj,for,Renew,159117,6849
7164,Groothuis,for,Renew,159117,7164
7273,Gozi,for,Renew,159117,7273
1793,Goerens,for,Renew,159117,1793
7283,Gheorghe,for,Renew,159117,7283
6818,Flego,for,Renew,159117,6818
6770,Ferrandino,for,Renew,159117,6770
7150,Ďuriš Nicholsonová,for,Renew,159117,7150
6987,Donáth,for,Renew,159117,6987
6340,Dlabajová,for,Renew,159117,6340
6898,Decerle,for,Renew,159117,6898
6458,Danti,for,Renew,159117,6458
7021,Cioloş,for,Renew,159117,7021
7271,Cicurel,for,Renew,159117,7271
6951,Christensen,for,Renew,159117,6951
6860,Chastel,for,Renew,159117,6860
6339,Charanzová,for,Renew,159117,6339
6899,Chabaud,for,Renew,159117,6899
5891,Canfin,for,Renew,159117,5891
6973,Cañas,for,Renew,159117,6973
6966,Brunet,for,Renew,159117,6966
6967,Boyer,for,Renew,159117,6967
7057,Botoş,for,Renew,159117,7057
6089,Bilbao Barandica,for,Renew,159117,6089
6944,Bijoux,for,Renew,159117,6944
7163,Bauzá Díaz,for,Renew,159117,7163
7165,Azmani,for,Renew,159117,7165
