mepid,name,result,eugroup,identifier,vote_id
6336,Ujhelyi,abstention,S&D,156032,6336
6915,Maxová,abstention,S&D,156032,6915
7146,Hajšel,abstention,S&D,156032,7146
7046,Ciuhodaru,abstention,S&D,156032,7046
7318,Poulsen,abstention,Renew,156032,7318
5889,Løkkegaard,abstention,Renew,156032,5889
1793,Goerens,abstention,Renew,156032,1793
6951,Christensen,abstention,Renew,156032,6951
6339,Charanzová,abstention,Renew,156032,6339
6356,Virkkunen,abstention,EPP,156032,6356
6332,Niedermayer,abstention,EPP,156032,6332
6836,Kolakušić,abstention,NA,156032,6836
7064,Wiener,against,Greens/EFA,156032,7064
6757,Waitz,against,Greens/EFA,156032,6757
6848,Von Cramon-Taubadel,against,Greens/EFA,156032,6848
7237,Van Sparrentak,against,Greens/EFA,156032,7237
6551,Vana,against,Greens/EFA,156032,6551
6894,Toussaint,against,Greens/EFA,156032,6894
7156,Strik,against,Greens/EFA,156032,7156
7055,Ştefănuță,against,Greens/EFA,156032,7055
6943,Spurek,against,Greens/EFA,156032,6943
6738,Solé,against,Greens/EFA,156032,6738
6822,Semsrott,against,Greens/EFA,156032,6822
6893,Satouri,against,Greens/EFA,156032,6893
6694,Ropė,against,Greens/EFA,156032,6694
6900,Roose,against,Greens/EFA,156032,6900
5917,Rivasi,against,Greens/EFA,156032,5917
7280,Ripa,against,Greens/EFA,156032,7280
7217,Riba i Giner,against,Greens/EFA,156032,7217
6529,Reintke,against,Greens/EFA,156032,6529
6932,Peksa,against,Greens/EFA,156032,6932
6482,Pedicini,against,Greens/EFA,156032,6482
6863,Paulus,against,Greens/EFA,156032,6863
7240,O'Sullivan,against,Greens/EFA,156032,7240
7187,Niinistö,against,Greens/EFA,156032,7187
6862,Nienaß,against,Greens/EFA,156032,6862
6861,Neumann,against,Greens/EFA,156032,6861
6251,Miranda,against,Greens/EFA,156032,6251
6776,Metz,against,Greens/EFA,156032,6776
7281,Matthieu,against,Greens/EFA,156032,7281
6859,Marquardt,against,Greens/EFA,156032,6859
5838,Lamberts,against,Greens/EFA,156032,5838
6857,Lagodinsky,against,Greens/EFA,156032,6857
6795,Kuhnke,against,Greens/EFA,156032,6795
6939,Kolaja,against,Greens/EFA,156032,6939
