mepid,mep,result,group,identifier
6452,Gericke,for,ECR,2017-10-26_19.
6514,Karlsson,for,ECR,2017-10-26_19.
6468,Adinolfi,for,EFDD,2017-10-26_19.
6066,Agnew,for,EFDD,2017-10-26_19.
6480,Aiuto,for,EFDD,2017-10-26_19.
6559,Aker,for,EFDD,2017-10-26_19.
6577,Arnott,for,EFDD,2017-10-26_19.
5567,Batten,for,EFDD,2017-10-26_19.
6374,Bergeron,for,EFDD,2017-10-26_19.
6430,Borrelli,for,EFDD,2017-10-26_19.
6748,Bullock,for,EFDD,2017-10-26_19.
6590,Carver,for,EFDD,2017-10-26_19.
6446,Castaldo,for,EFDD,2017-10-26_19.
6586,Coburn,for,EFDD,2017-10-26_19.
6573,Collins,for,EFDD,2017-10-26_19.
6494,Corrao,for,EFDD,2017-10-26_19.
6384,D'Ornano,for,EFDD,2017-10-26_19.
6569,Etheridge,for,EFDD,2017-10-26_19.
6413,Evi,for,EFDD,2017-10-26_19.
6470,Ferrara,for,EFDD,2017-10-26_19.
6558,Finch,for,EFDD,2017-10-26_19.
6584,Gill Nathan,for,EFDD,2017-10-26_19.
6575,Hookem,for,EFDD,2017-10-26_19.
6608,Lundgren,for,EFDD,2017-10-26_19.
6497,Moi,for,EFDD,2017-10-26_19.
6403,Montel,for,EFDD,2017-10-26_19.
6557,O'Flynn,for,EFDD,2017-10-26_19.
5875,Paksas,for,EFDD,2017-10-26_19.
6563,Parker,for,EFDD,2017-10-26_19.
6754,Payne,for,EFDD,2017-10-26_19.
6482,Pedicini,for,EFDD,2017-10-26_19.
6474,Philippot,for,EFDD,2017-10-26_19.
6564,Reid,for,EFDD,2017-10-26_19.
6412,Valli,for,EFDD,2017-10-26_19.
6607,Winberg,for,EFDD,2017-10-26_19.
6593,Annemans,for,ENF,2017-10-26_19.
6382,Arnautu,for,ENF,2017-10-26_19.
6394,Bay,for,ENF,2017-10-26_19.
6405,Bilde,for,ENF,2017-10-26_19.
6179,Bizzotto,for,ENF,2017-10-26_19.
5010,Borghezio,for,ENF,2017-10-26_19.
6401,Ferrand,for,ENF,2017-10-26_19.
6132,Fontana,for,ENF,2017-10-26_19.
6450,Goddyn,for,ENF,2017-10-26_19.
6751,Jamet,for,ENF,2017-10-26_19.
6629,Kappel,for,ENF,2017-10-26_19.
6372,Lebreton,for,ENF,2017-10-26_19.
6746,Lechevalier,for,ENF,2017-10-26_19.
6699,Loiseau,for,ENF,2017-10-26_19.
6385,Martin Dominique,for,ENF,2017-10-26_19.
6627,Mayer Georg,for,ENF,2017-10-26_19.
6399,Mélin,for,ENF,2017-10-26_19.
6395,Monot,for,ENF,2017-10-26_19.
6123,Obermayr,for,ENF,2017-10-26_19.
6426,Rebega,for,ENF,2017-10-26_19.
5522,Salvini,for,ENF,2017-10-26_19.
6389,Schaffhauser,for,ENF,2017-10-26_19.
6392,Troszczynski,for,ENF,2017-10-26_19.
6610,Vilimsky,for,ENF,2017-10-26_19.
6414,Zanni,for,ENF,2017-10-26_19.
6654,Albiol Guzmán,for,GUE/NGL,2017-10-26_19.
6595,Boylan,for,GUE/NGL,2017-10-26_19.
6598,Carthy,for,GUE/NGL,2017-10-26_19.
6701,Couso Permuy,for,GUE/NGL,2017-10-26_19.
6597,Flanagan,for,GUE/NGL,2017-10-26_19.
6628,Hazekamp,for,GUE/NGL,2017-10-26_19.
5922,de Jong,for,GUE/NGL,2017-10-26_19.
6313,Kari,for,GUE/NGL,2017-10-26_19.
5039,Konečná,for,GUE/NGL,2017-10-26_19.
