mepid,name,result,eugroup,identifier
5878,Tomaševski,for,ECR,113068
7089,Arvanitis,for,GUE/NGL,113068
6926,Aubry,for,GUE/NGL,113068
7072,Barrena Arza,for,GUE/NGL,113068
6914,Bompard,for,GUE/NGL,113068
6873,Botenga,for,GUE/NGL,113068
6922,Chaibi,for,GUE/NGL,113068
7113,Daly,for,GUE/NGL,113068
6865,Demirel,for,GUE/NGL,113068
6024,Ernst,for,GUE/NGL,113068
6597,Flanagan,for,GUE/NGL,113068
6815,Georgiou,for,GUE/NGL,113068
7204,Georgoulis,for,GUE/NGL,113068
7133,Gusmão,for,GUE/NGL,113068
6628,Hazekamp,for,GUE/NGL,113068
6814,Kizilyürek,for,GUE/NGL,113068
7126,Kokkalis,for,GUE/NGL,113068
5039,Konečná,for,GUE/NGL,113068
6713,Kouloglou,for,GUE/NGL,113068
7087,Kountoura,for,GUE/NGL,113068
7279,MacManus,for,GUE/NGL,113068
5992,Matias,for,GUE/NGL,113068
6354,Maurel,for,GUE/NGL,113068
6310,Michels,for,GUE/NGL,113068
7190,Modig,for,GUE/NGL,113068
6250,Omarjee,for,GUE/NGL,113068
5596,Papadimoulis,for,GUE/NGL,113068
6920,Pelletier,for,GUE/NGL,113068
7138,Pereira Sandra,for,GUE/NGL,113068
7213,Pineda,for,GUE/NGL,113068
7069,Rego,for,GUE/NGL,113068
7169,Rodríguez Palop,for,GUE/NGL,113068
6758,Schirdewan,for,GUE/NGL,113068
5837,Scholz,for,GUE/NGL,113068
6715,Urbán Crespo,for,GUE/NGL,113068
7212,Villanueva Ruiz,for,GUE/NGL,113068
6961,Villumsen,for,GUE/NGL,113068
7202,Wallace,for,GUE/NGL,113068
7079,Androuët,for,ID,113068
6988,Bardella,for,ID,113068
6394,Bay,for,ID,113068
7068,Beigneux,for,ID,113068
6405,Bilde,for,ID,113068
7076,Bruna,for,ID,113068
7071,Collard,for,ID,113068
6949,David,for,ID,113068
7018,Garraud,for,ID,113068
7019,Griset,for,ID,113068
6404,Jalkh,for,ID,113068
6751,Jamet,for,ID,113068
7017,Joron,for,ID,113068
7016,Juvin,for,ID,113068
7275,Lacapelle,for,ID,113068
6990,Laporte,for,ID,113068
6372,Lebreton,for,ID,113068
7074,Lechanteux,for,ID,113068
7013,Mariani,for,ID,113068
6399,Mélin,for,ID,113068
7075,Olivier,for,ID,113068
7020,Pirbakas,for,ID,113068
7006,Rivière,for,ID,113068
7078,Rougé,for,ID,113068
6468,Adinolfi Isabella,for,NI,113068
6411,Beghin,for,NI,113068
6832,Buschmann,for,NI,113068
6446,Castaldo,for,NI,113068
7258,Comín i Oliveres,for,NI,113068
6494,Corrao,for,Verts/ALE,113068
6472,D'Amato,for,Verts/ALE,113068
6413,Evi,for,Verts/ALE,113068
6470,Ferrara,for,NI,113068
7180,Furore,for,NI,113068
7179,Gemma,for,NI,113068
7189,Giarrusso,for,NI,113068
7243,Gyöngyösi,for,NI,113068
7116,Nikolaou-Alavanos,for,NI,113068
6676,Papadakis Kostas,for,NI,113068
6482,Pedicini,for,Verts/ALE,113068
7010,Pignedoli,for,NI,113068
7276,Ponsatí Obiols,for,NI,113068
7257,Puigdemont i Casamajó,for,NI,113068
7148,Radačovský,for,NI,113068
7177,Rondinelli,for,NI,113068
7147,Uhrík,for,NI,113068
6695,Zullo,for,NI,113068
6331,Toom,for,Renew,113068
6553,Arena,for,S&D,113068
6888,Balt,for,S&D,113068
7229,Hristov,for,S&D,113068
6459,Köster,for,S&D,113068
6484,Picierno,for,S&D,113068
5459,Toia,for,S&D,113068
6964,Carême,for,Verts/ALE,113068
6894,Toussaint,for,Verts/ALE,113068
6591,Urtasun,for,Verts/ALE,113068
7244,Aguilar,against,ECR,113068
4978,Berlato,against,ECR,113068
6864,Bourgeois,against,ECR,113068
6895,Brudziński,against,ECR,113068
7214,Buxadé Villalba,against,ECR,113068
5490,Czarnecki,against,ECR,113068
7270,de la Pisa Carrión,against,ECR,113068
7150,Ďuriš Nicholsonová,against,ECR,113068
6511,Dzhambazki,against,ECR,113068
6167,Eppink,against,ECR,113068
5982,Fidanza,against,ECR,113068
6998,Fiocchi,against,ECR,113068
4880,Fitto,against,ECR,113068
5472,Fotyga,against,ECR,113068
7250,Fragkos,against,ECR,113068
6834,Geuking,against,ECR,113068
6909,Jaki,against,ECR,113068
6911,Jurgiel,against,ECR,113068
7151,Jurzyca,against,ECR,113068
6866,Kanko,against,ECR,113068
6525,Karski,against,ECR,113068
6912,Kempa,against,ECR,113068
6913,Kloc,against,ECR,113068
6923,Kopcińska,against,ECR,113068
6530,Krasnodębski,against,ECR,113068
6925,Kruk,against,ECR,113068
5507,Kuźmiuk,against,ECR,113068
5969,Legutko,against,ECR,113068
6608,Lundgren,against,ECR,113068
6931,Mazurek,against,ECR,113068
7173,Melbārde,against,ECR,113068
6934,Możdżanowska,against,ECR,113068
5974,Poręba,against,ECR,113068
7205,Procaccini,against,ECR,113068
6937,Rafalska,against,ECR,113068
7160,Rooken,against,ECR,113068
7097,Roos,against,ECR,113068
7157,Ruissen,against,ECR,113068
6938,Rzońca,against,ECR,113068
5416,Saryusz-Wolski,against,ECR,113068
7231,Slabakov,against,ECR,113068
7210,Stancanelli,against,ECR,113068
6798,Stegrud,against,ECR,113068
6946,Szydło,against,ECR,113068
7265,Tarczyński,against,ECR,113068
7216,Tertsch,against,ECR,113068
6952,Tobiszowski,against,ECR,113068
6300,Tomašić,against,ECR,113068
5892,Tošenovský,against,ECR,113068
6683,Van Overtveldt,against,ECR,113068
6930,Vondra,against,ECR,113068
6945,Vrecionová,against,ECR,113068
6956,Waszczykowski,against,ECR,113068
6808,Weimers,against,ECR,113068
6515,Wiśniewska,against,ECR,113068
5052,Zahradil,against,ECR,113068
6962,Zalewska,against,ECR,113068
5598,Zīle,against,ECR,113068
6522,Złotowski,against,ECR,113068
6593,Annemans,against,ID,113068
6869,De Man,against,ID,113068
6630,de Graaff,against,ID,113068
7246,Haider,against,ID,113068
6989,Hakkarainen,against,ID,113068
6986,Huhtasaari,against,ID,113068
6960,Kofod,against,ID,113068
6886,Madison,against,ID,113068
6627,Mayer,against,ID,113068
7234,Vandendriessche,against,ID,113068
6610,Vilimsky,against,ID,113068
6836,Kolakušić,against,NI,113068
7119,Lagos,against,NI,113068
6471,Sonneborn,against,NI,113068
6755,Ademov,against,PPE,113068
7219,Alexandrov Yordanov,against,PPE,113068
7129,Amaro,against,PPE,113068
5980,Arias Echeverría,against,PPE,113068
6594,Arimont,against,PPE,113068
6885,Arłukowicz,against,PPE,113068
7083,Asimakopoulou,against,PPE,113068
7060,Băsescu,against,PPE,113068
6927,Bellamy,against,PPE,113068
7067,Benjumea Benjumea,against,PPE,113068
6807,Bentele,against,PPE,113068
7162,Berendsen,against,PPE,113068
6809,Berger,against,PPE,113068
4806,Berlusconi,against,PPE,113068
7037,Bernhuber,against,PPE,113068
7155,Bilčík,against,PPE,113068
7026,Blaga,against,PPE,113068
6343,Bocskor,against,PPE,113068
7025,Bogdan,against,PPE,113068
6613,Bogovič,against,PPE,113068
6617,Buda,against,PPE,113068
5729,Buşoi,against,PPE,113068
5388,Buzek,against,PPE,113068
6039,Carvalho,against,PPE,113068
5252,Casa,against,PPE,113068
5341,Caspary,against,PPE,113068
5508,del Castillo Vera,against,PPE,113068
5236,Christoforou,against,PPE,113068
6600,Clune,against,PPE,113068
6929,Colin-Oesterlé,against,PPE,113068
5981,van Dalen,against,PPE,113068
5921,Danjean,against,PPE,113068
7261,De Meo,against,PPE,113068
6345,Deli,against,PPE,113068
5998,Deutsch,against,PPE,113068
6762,Didier,against,PPE,113068
6870,Doleschal,against,PPE,113068
5960,Dorfmann,against,PPE,113068
6903,Duda,against,PPE,113068
6810,Düpont,against,PPE,113068
5348,Ehler,against,PPE,113068
5983,Estaràs Ferragut,against,PPE,113068
6928,Evren,against,PPE,113068
7038,Falcă,against,PPE,113068
3833,Ferber,against,PPE,113068
6068,Fernandes,against,PPE,113068
7108,Fitzgerald,against,PPE,113068
6813,Fourlas,against,PPE,113068
6906,Frankowski,against,PPE,113068
6852,Franssen,against,PPE,113068
5280,Gál,against,PPE,113068
3980,García-Margallo y Marfil,against,PPE,113068
6441,Gieseke,against,PPE,113068
7253,Glavak,against,PPE,113068
6632,González Pons,against,PPE,113068
6002,Győri,against,PPE,113068
5138,Gyürk,against,PPE,113068
6907,Halicki,against,PPE,113068
6777,Hansen,against,PPE,113068
7035,Hava,against,PPE,113068
6811,Herbst,against,PPE,113068
6534,Hetman,against,PPE,113068
6318,Hidvéghi,against,PPE,113068
5953,Hohlmeier,against,PPE,113068
6346,Hölvényi,against,PPE,113068
4987,Hortefeux,against,PPE,113068
5952,Hübner,against,PPE,113068
5945,Jahr,against,PPE,113068
5271,Járóka,against,PPE,113068
7223,Juknevičienė,against,PPE,113068
5944,Kalinowski,against,PPE,113068
6095,Kalniete,against,PPE,113068
7222,Kanev,against,PPE,113068
4669,Karas,against,PPE,113068
6666,Kefalogiannis,against,PPE,113068
5855,Kelly,against,PPE,113068
6805,Kokalari,against,PPE,113068
6918,Kopacz,against,PPE,113068
6001,Kósa,against,PPE,113068
6196,Kovatchev,against,PPE,113068
7226,Kubilius,against,PPE,113068
7080,Kympouropoulos,against,PPE,113068
6662,Kyrtsos,against,PPE,113068
5727,de Lange,against,PPE,113068
6793,Lega,against,PPE,113068
6592,Lenaers,against,PPE,113068
5105,Lewandowski,against,PPE,113068
7264,Lexmann,against,PPE,113068
3855,Liese,against,PPE,113068
6442,Lins,against,PPE,113068
7161,López Gil,against,PPE,113068
5517,López-Istúriz White,against,PPE,113068
5964,Łukacijewska,against,PPE,113068
6855,Lutgen,against,PPE,113068
6440,McAllister,against,PPE,113068
5245,McGuinness,against,PPE,113068
7218,Maldeikienė,against,PPE,113068
4964,Manders,against,PPE,113068
6761,Mandl,against,PPE,113068
5646,Marinescu,against,PPE,113068
6465,Martusciello,against,PPE,113068
6096,Mato,against,PPE,113068
6483,Maydell,against,PPE,113068
7224,Mažylis,against,PPE,113068
7051,Meimarakis,against,PPE,113068
6121,Melo,against,PPE,113068
6297,Metsola,against,PPE,113068
7209,Milazzo,against,PPE,113068
5518,Millán Mon,against,PPE,113068
6366,Monteiro de Aguiar,against,PPE,113068
7099,Montserrat,against,PPE,113068
6368,Morano,against,PPE,113068
6825,Mortler,against,PPE,113068
7036,Motreanu,against,PPE,113068
6436,Mureşan,against,PPE,113068
