mepid,name,result,eugroup,identifier
7244,Aguilar,for,ECR,124934
4978,Berlato,for,ECR,124934
5112,Bielan,for,ECR,124934
6895,Brudziński,for,ECR,124934
7214,Buxadé Villalba,for,ECR,124934
5490,Czarnecki,for,ECR,124934
7270,de la Pisa Carrión,for,ECR,124934
6511,Dzhambazki,for,ECR,124934
6167,Eppink,for,ECR,124934
5982,Fidanza,for,ECR,124934
6998,Fiocchi,for,ECR,124934
4880,Fitto,for,ECR,124934
5472,Fotyga,for,ECR,124934
7250,Fragkos,for,ECR,124934
6909,Jaki,for,ECR,124934
6911,Jurgiel,for,ECR,124934
6525,Karski,for,ECR,124934
6912,Kempa,for,ECR,124934
6913,Kloc,for,ECR,124934
6923,Kopcińska,for,ECR,124934
6530,Krasnodębski,for,ECR,124934
6925,Kruk,for,ECR,124934
5507,Kuźmiuk,for,ECR,124934
5969,Legutko,for,ECR,124934
6608,Lundgren,for,ECR,124934
6931,Mazurek,for,ECR,124934
7173,Melbārde,for,ECR,124934
6934,Możdżanowska,for,ECR,124934
5974,Poręba,for,ECR,124934
7205,Procaccini,for,ECR,124934
6937,Rafalska,for,ECR,124934
7160,Rooken,for,ECR,124934
7097,Roos,for,ECR,124934
7157,Ruissen,for,ECR,124934
6938,Rzońca,for,ECR,124934
5416,Saryusz-Wolski,for,ECR,124934
7231,Slabakov,for,ECR,124934
7210,Stancanelli,for,ECR,124934
6798,Stegrud,for,ECR,124934
6946,Szydło,for,ECR,124934
7265,Tarczyński,for,ECR,124934
7044,Terheş,for,ECR,124934
7216,Tertsch,for,ECR,124934
6952,Tobiszowski,for,ECR,124934
5878,Tomaševski,for,ECR,124934
6300,Tomašić,for,ECR,124934
5892,Tošenovský,for,ECR,124934
6930,Vondra,for,ECR,124934
6945,Vrecionová,for,ECR,124934
6956,Waszczykowski,for,ECR,124934
6808,Weimers,for,ECR,124934
6515,Wiśniewska,for,ECR,124934
5052,Zahradil,for,ECR,124934
6962,Zalewska,for,ECR,124934
5598,Zīle,for,ECR,124934
6522,Złotowski,for,ECR,124934
7211,Adinolfi Matteo,for,ID,124934
6872,Anderson,for,ID,124934
7079,Androuët,for,ID,124934
6593,Annemans,for,ID,124934
7174,Baldassarre,for,ID,124934
6988,Bardella,for,ID,124934
7001,Basso,for,ID,124934
6394,Bay,for,ID,124934
6874,Beck,for,ID,124934
7068,Beigneux,for,ID,124934
6875,Berg,for,ID,124934
6405,Bilde,for,ID,124934
6179,Bizzotto,for,ID,124934
6954,Blaško,for,ID,124934
7172,Bonfrisco,for,ID,124934
7000,Borchia,for,ID,124934
7076,Bruna,for,ID,124934
6876,Buchheit,for,ID,124934
6981,Campomenosi,for,ID,124934
7181,Casanova,for,ID,124934
7170,Ceccardi,for,ID,124934
6731,Ciocca,for,ID,124934
7071,Collard,for,ID,124934
7007,Conte,for,ID,124934
6999,Da Re,for,ID,124934
6949,David,for,ID,124934
6869,De Man,for,ID,124934
7207,Donato,for,ID,124934
7005,Dreosto,for,ID,124934
6877,Fest,for,ID,124934
6972,Gancia,for,ID,124934
7018,Garraud,for,ID,124934
7184,Grant,for,ID,124934
7019,Griset,for,ID,124934
7246,Haider,for,ID,124934
6989,Hakkarainen,for,ID,124934
6986,Huhtasaari,for,ID,124934
6404,Jalkh,for,ID,124934
6751,Jamet,for,ID,124934
7017,Joron,for,ID,124934
7016,Juvin,for,ID,124934
6960,Kofod,for,ID,124934
6878,Krah,for,ID,124934
6879,Kuhs,for,ID,124934
7275,Lacapelle,for,ID,124934
6771,Lancini,for,ID,124934
6990,Laporte,for,ID,124934
6372,Lebreton,for,ID,124934
7074,Lechanteux,for,ID,124934
6880,Limmer,for,ID,124934
7002,Lizzi,for,ID,124934
7013,Mariani,for,ID,124934
6627,Mayer,for,ID,124934
6399,Mélin,for,ID,124934
6759,Meuthen,for,ID,124934
7075,Olivier,for,ID,124934
6979,Panza,for,ID,124934
7020,Pirbakas,for,ID,124934
7175,Regimenti,for,ID,124934
6881,Reil,for,ID,124934
7171,Rinaldi,for,ID,124934
7006,Rivière,for,ID,124934
7078,Rougé,for,ID,124934
6968,Sardone,for,ID,124934
7262,Sofo,for,ID,124934
7191,Tardino,for,ID,124934
6970,Tovaglieri,for,ID,124934
7234,Vandendriessche,for,ID,124934
6610,Vilimsky,for,ID,124934
7183,Vuolo,for,ID,124934
6976,Zambelli,for,ID,124934
6414,Zanni,for,ID,124934
6882,Zimniok,for,ID,124934
7182,Caroppo,for,NI,124934
7119,Lagos,for,NI,124934
7148,Radačovský,for,NI,124934
7147,Uhrík,for,NI,124934
6864,Bourgeois,against,ECR,124934
7150,Ďuriš Nicholsonová,against,ECR,124934
6834,Geuking,against,ECR,124934
6866,Kanko,against,ECR,124934
6683,Van Overtveldt,against,ECR,124934
7089,Arvanitis,against,GUE/NGL,124934
6926,Aubry,against,GUE/NGL,124934
7072,Barrena Arza,against,GUE/NGL,124934
6604,Björk,against,GUE/NGL,124934
6914,Bompard,against,GUE/NGL,124934
6873,Botenga,against,GUE/NGL,124934
6922,Chaibi,against,GUE/NGL,124934
7113,Daly,against,GUE/NGL,124934
6865,Demirel,against,GUE/NGL,124934
6024,Ernst,against,GUE/NGL,124934
5886,Ferreira,against,GUE/NGL,124934
6597,Flanagan,against,GUE/NGL,124934
6815,Georgiou,against,GUE/NGL,124934
7204,Georgoulis,against,GUE/NGL,124934
7133,Gusmão,against,GUE/NGL,124934
6628,Hazekamp,against,GUE/NGL,124934
6814,Kizilyürek,against,GUE/NGL,124934
7126,Kokkalis,against,GUE/NGL,124934
5039,Konečná,against,GUE/NGL,124934
6713,Kouloglou,against,GUE/NGL,124934
7087,Kountoura,against,GUE/NGL,124934
7279,MacManus,against,GUE/NGL,124934
5992,Matias,against,GUE/NGL,124934
6354,Maurel,against,GUE/NGL,124934
6310,Michels,against,GUE/NGL,124934
7190,Modig,against,GUE/NGL,124934
6250,Omarjee,against,GUE/NGL,124934
5596,Papadimoulis,against,GUE/NGL,124934
