mepid,name,result,eugroup,identifier
6866,Kanko,for,ECR,109106
5892,Tošenovský,for,ECR,109106
6683,Van Overtveldt,for,ECR,109106
6930,Vondra,for,ECR,109106
6945,Vrecionová,for,ECR,109106
5052,Zahradil,for,ECR,109106
6280,Anderson Martina,for,GUE/NGL,109106
7089,Arvanitis,for,GUE/NGL,109106
7072,Barrena Arza,for,GUE/NGL,109106
6604,Björk,for,GUE/NGL,109106
6914,Bompard,for,GUE/NGL,109106
6873,Botenga,for,GUE/NGL,109106
6832,Buschmann,for,NI,109106
6598,Carthy,for,GUE/NGL,109106
6922,Chaibi,for,GUE/NGL,109106
7113,Daly,for,GUE/NGL,109106
6865,Demirel,for,GUE/NGL,109106
6024,Ernst,for,GUE/NGL,109106
5886,Ferreira,for,GUE/NGL,109106
6597,Flanagan,for,GUE/NGL,109106
6815,Georgiou,for,GUE/NGL,109106
7204,Georgoulis,for,GUE/NGL,109106
6628,Hazekamp,for,GUE/NGL,109106
6814,Kizilyürek,for,GUE/NGL,109106
7126,Kokkalis,for,GUE/NGL,109106
5039,Konečná,for,GUE/NGL,109106
6713,Kouloglou,for,GUE/NGL,109106
7087,Kountoura,for,GUE/NGL,109106
5992,Matias,for,GUE/NGL,109106
6354,Maurel,for,GUE/NGL,109106
6310,Michels,for,GUE/NGL,109106
6250,Omarjee,for,GUE/NGL,109106
5596,Papadimoulis,for,GUE/NGL,109106
6920,Pelletier,for,GUE/NGL,109106
7138,Pereira Sandra,for,GUE/NGL,109106
7069,Rego,for,GUE/NGL,109106
7169,Rodríguez Palop,for,GUE/NGL,109106
5837,Scholz,for,GUE/NGL,109106
6715,Urbán Crespo,for,GUE/NGL,109106
7212,Villanueva Ruiz,for,GUE/NGL,109106
6961,Villumsen,for,GUE/NGL,109106
7202,Wallace,for,GUE/NGL,109106
6468,Adinolfi Isabella,for,NI,109106
6411,Beghin,for,NI,109106
6446,Castaldo,for,NI,109106
6494,Corrao,for,Verts/ALE,109106
6472,D'Amato,for,Verts/ALE,109106
6413,Evi,for,Verts/ALE,109106
6470,Ferrara,for,NI,109106
7180,Furore,for,NI,109106
7179,Gemma,for,NI,109106
7189,Giarrusso,for,NI,109106
7243,Gyöngyösi,for,NI,109106
6482,Pedicini,for,Verts/ALE,109106
7010,Pignedoli,for,NI,109106
7177,Rondinelli,for,NI,109106
6471,Sonneborn,for,NI,109106
6695,Zullo,for,NI,109106
5236,Christoforou,for,PPE,109106
6813,Fourlas,for,PPE,109106
6335,Polčák,for,PPE,109106
6700,Pospíšil,for,PPE,109106
6341,Šojdrová,for,PPE,109106
6802,Agius Saliba,for,S&D,109106
6553,Arena,for,S&D,109106
5624,Tarabella,for,S&D,109106
7084,Ainslie,for,Verts/ALE,109106
5924,Alfonsi,for,Verts/ALE,109106
7033,Allard,for,Verts/ALE,109106
6845,Andresen,for,Verts/ALE,109106
5291,Auken,for,Verts/ALE,109106
6905,Biteau,for,Verts/ALE,109106
6846,Bloss,for,Verts/ALE,109106
6837,Boeselager,for,Verts/ALE,109106
6829,Breyer,for,Verts/ALE,109106
6867,Bricmont,for,Verts/ALE,109106
6455,Buchner,for,Verts/ALE,109106
5913,Bütikofer,for,Verts/ALE,109106
6964,Carême,for,Verts/ALE,109106
7102,Chowns,for,Verts/ALE,109106
6897,Cormand,for,Verts/ALE,109106
7043,Cuffe,for,Verts/ALE,109106
6924,Delbos-Corfield,for,Verts/ALE,109106
6040,Delli,for,Verts/ALE,109106
6850,Deparnay-Grunenberg,for,Verts/ALE,109106
6868,De Sutter,for,Verts/ALE,109106
7004,Dowding,for,Verts/ALE,109106
5899,Eickhout,for,Verts/ALE,109106
4954,Evans,for,Verts/ALE,109106
6775,Franz,for,Verts/ALE,109106
6851,Freund,for,Verts/ALE,109106
6853,Geese,for,Verts/ALE,109106
5904,Giegold,for,Verts/ALE,109106
6942,Gregorová,for,Verts/ALE,109106
7034,Guerreiro,for,Verts/ALE,109106
5926,Häusling,for,Verts/ALE,109106
4535,Hautala,for,Verts/ALE,109106
6856,Herzberger-Fofana,for,Verts/ALE,109106
6797,Holmgren,for,Verts/ALE,109106
5914,Jadot,for,Verts/ALE,109106
7220,Jakeliūnas,for,Verts/ALE,109106
6939,Kolaja,for,Verts/ALE,109106
6795,Kuhnke,for,Verts/ALE,109106
6857,Lagodinsky,for,Verts/ALE,109106
5838,Lamberts,for,Verts/ALE,109106
6858,Langensiepen,for,Verts/ALE,109106
7028,McLeod,for,Verts/ALE,109106
6859,Marquardt,for,Verts/ALE,109106
6776,Metz,for,Verts/ALE,109106
6861,Neumann,for,Verts/ALE,109106
6862,Nienaß,for,Verts/ALE,109106
7187,Niinistö,for,Verts/ALE,109106
7240,O'Sullivan,for,Verts/ALE,109106
6863,Paulus,for,Verts/ALE,109106
6932,Peksa,for,Verts/ALE,109106
6963,Peter-Hansen,for,Verts/ALE,109106
7098,Phillips Alexandra Louise Rosenfield,for,Verts/ALE,109106
6529,Reintke,for,Verts/ALE,109106
5917,Rivasi,for,Verts/ALE,109106
6900,Roose,for,Verts/ALE,109106
6694,Ropė,for,Verts/ALE,109106
6994,Rowett,for,Verts/ALE,109106
6893,Satouri,for,Verts/ALE,109106
6560,Scott Cato,for,Verts/ALE,109106
6822,Semsrott,for,Verts/ALE,109106
5571,Smith,for,Verts/ALE,109106
7156,Strik,for,Verts/ALE,109106
6591,Urtasun,for,Verts/ALE,109106
6551,Vana,for,Verts/ALE,109106
7237,Van Sparrentak,for,Verts/ALE,109106
6848,Von Cramon-Taubadel,for,Verts/ALE,109106
7064,Wiener,for,Verts/ALE,109106
6904,Yenbou,for,Verts/ALE,109106
5602,Ždanoka,for,Verts/ALE,109106
7244,Aguilar,against,ECR,109106
5112,Bielan,against,ECR,109106
6895,Brudziński,against,ECR,109106
7214,Buxadé Villalba,against,ECR,109106
5490,Czarnecki,against,ECR,109106
7150,Ďuriš Nicholsonová,against,ECR,109106
6167,Eppink,against,ECR,109106
5982,Fidanza,against,ECR,109106
6998,Fiocchi,against,ECR,109106
4880,Fitto,against,ECR,109106
5472,Fotyga,against,ECR,109106
6909,Jaki,against,ECR,109106
6911,Jurgiel,against,ECR,109106
7151,Jurzyca,against,ECR,109106
6525,Karski,against,ECR,109106
6912,Kempa,against,ECR,109106
6913,Kloc,against,ECR,109106
6923,Kopcińska,against,ECR,109106
6530,Krasnodębski,against,ECR,109106
6925,Kruk,against,ECR,109106
5507,Kuźmiuk,against,ECR,109106
5969,Legutko,against,ECR,109106
6608,Lundgren,against,ECR,109106
6931,Mazurek,against,ECR,109106
7173,Melbārde,against,ECR,109106
6934,Możdżanowska,against,ECR,109106
5974,Poręba,against,ECR,109106
7205,Procaccini,against,ECR,109106
6937,Rafalska,against,ECR,109106
7097,Roos,against,ECR,109106
7157,Ruissen,against,ECR,109106
6938,Rzońca,against,ECR,109106
7231,Slabakov,against,ECR,109106
7210,Stancanelli,against,ECR,109106
6798,Stegrud,against,ECR,109106
6946,Szydło,against,ECR,109106
7216,Tertsch,against,ECR,109106
6952,Tobiszowski,against,ECR,109106
5878,Tomaševski,against,ECR,109106
6300,Tomašić,against,ECR,109106
6956,Waszczykowski,against,ECR,109106
6808,Weimers,against,ECR,109106
6515,Wiśniewska,against,ECR,109106
6962,Zalewska,against,ECR,109106
5598,Zīle,against,ECR,109106
6522,Złotowski,against,ECR,109106
7211,Adinolfi Matteo,against,ID,109106
6872,Anderson,against,ID,109106
7079,Androuët,against,ID,109106
7174,Baldassarre,against,ID,109106
6988,Bardella,against,ID,109106
7001,Basso,against,ID,109106
6394,Bay,against,ID,109106
6874,Beck,against,ID,109106
7068,Beigneux,against,ID,109106
6875,Berg,against,ID,109106
6405,Bilde,against,ID,109106
6179,Bizzotto,against,ID,109106
