mepid,mep,result,group,identifier
5682,Ali,for,ALDE,72369
6407,Arthuis,for,ALDE,72369
6400,Auštrevičius,for,ALDE,72369
6097,van Baalen,for,ALDE,72369
6110,Bearder,for,ALDE,72369
6646,Becerra Basterrechea,for,ALDE,72369
6089,Bilbao Barandica,for,ALDE,72369
6708,Calvet Chambon,for,ALDE,72369
5328,Cavada,for,ALDE,72369
6339,Charanzová,for,ALDE,72369
1060,Deprez,for,ALDE,72369
4758,de Sarnez,for,ALDE,72369
6439,Diaconu,for,ALDE,72369
6340,Dlabajová,for,ALDE,72369
6679,Faria,for,ALDE,72369
6601,Federley,for,ALDE,72369
6098,Gerbrandy,for,ALDE,72369
6724,Giménez Barbat,for,ALDE,72369
1793,Goerens,for,ALDE,72369
6169,Goulard,for,ALDE,72369
5330,Griesbeck,for,ALDE,72369
5246,Harkin,for,ALDE,72369
6622,Huitema,for,ALDE,72369
5681,Hyusmenova,for,ALDE,72369
5385,in 't Veld,for,ALDE,72369
5433,Jäätteenmäki,for,ALDE,72369
6388,Jakovčić,for,ALDE,72369
6338,Ježek,for,ALDE,72369
6328,Kallas,for,ALDE,72369
6504,Kyuchyuk,for,ALDE,72369
5362,Lambsdorff,for,ALDE,72369
5889,Løkkegaard,for,ALDE,72369
6376,Marinho e Pinto,for,ALDE,72369
6041,Meissner,for,ALDE,72369
5857,Michel,for,ALDE,72369
6690,Mihaylova,for,ALDE,72369
6626,van Miltenburg,for,ALDE,72369
6631,Mlinar,for,ALDE,72369
6500,Müller,for,ALDE,72369
6614,Nart,for,ALDE,72369
5997,Nicolai,for,ALDE,72369
6621,van Nieuwenhuizen,for,ALDE,72369
6705,Paet,for,ALDE,72369
6644,Pagazaurtundúa Ruiz,for,ALDE,72369
6728,Punset,for,ALDE,72369
4676,Ries,for,ALDE,72369
6056,Riquet,for,ALDE,72369
5890,Rohde,for,ALDE,72369
6100,Schaake,for,ALDE,72369
6722,Selimovic,for,ALDE,72369
5435,Takkula,for,ALDE,72369
6337,Telička,for,ALDE,72369
6331,Toom,for,ALDE,72369
6281,Torvalds,for,ALDE,72369
6181,Tremosa i Balcells,for,ALDE,72369
5879,Uspaskich,for,ALDE,72369
6151,Vajgl,for,ALDE,72369
6710,Vautmans,for,ALDE,72369
4550,Väyrynen,for,ALDE,72369
6159,Verhofstadt,for,ALDE,72369
5770,Weber Renate,for,ALDE,72369
6729,Wierinck,for,ALDE,72369
5864,Wikström,for,ALDE,72369
6514,Karlsson,for,ECR,72369
6457,Lucke,for,ECR,72369
5996,Macovei,for,ECR,72369
6468,Adinolfi,for,EFDD,72369
6431,Affronte,for,EFDD,72369
6445,Agea,for,EFDD,72369
6480,Aiuto,for,EFDD,72369
6411,Beghin,for,EFDD,72369
6430,Borrelli,for,EFDD,72369
6446,Castaldo,for,EFDD,72369
6494,Corrao,for,EFDD,72369
6472,D'Amato,for,EFDD,72369
6413,Evi,for,EFDD,72369
6470,Ferrara,for,EFDD,72369
6497,Moi,for,EFDD,72369
6482,Pedicini,for,EFDD,72369
6447,Tamburrano,for,EFDD,72369
6412,Valli,for,EFDD,72369
6414,Zanni,for,EFDD,72369
6695,Zullo,for,EFDD,72369
6280,Anderson Martina,for,GUE/NGL,72369
6723,Benito Ziluaga,for,GUE/NGL,72369
6595,Boylan,for,GUE/NGL,72369
6598,Carthy,for,GUE/NGL,72369
5237,Chountis,for,GUE/NGL,72369
6660,Chrysogonos,for,GUE/NGL,72369
6496,De Masi,for,GUE/NGL,72369
6501,Eck,for,GUE/NGL,72369
6024,Ernst,for,GUE/NGL,72369
6597,Flanagan,for,GUE/NGL,72369
6693,Forenza,for,GUE/NGL,72369
6702,González Peñas,for,GUE/NGL,72369
6023,Händel,for,GUE/NGL,72369
6628,Hazekamp,for,GUE/NGL,72369
5922,de Jong,for,GUE/NGL,72369
6657,Juaristi Abaunz,for,GUE/NGL,72369
6313,Kari,for,GUE/NGL,72369
5450,Kohlíček,for,GUE/NGL,72369
5039,Konečná,for,GUE/NGL,72369
6713,Kouloglou,for,GUE/NGL,72369
6675,Kuneva,for,GUE/NGL,72369
6369,Kyllönen,for,GUE/NGL,72369
6026,Lösing,for,GUE/NGL,72369
6692,Maltese,for,GUE/NGL,72369
5044,Maštálka,for,GUE/NGL,72369
5992,Matias,for,GUE/NGL,72369
6310,Michels,for,GUE/NGL,72369
6643,Mineur,for,GUE/NGL,72369
6599,Ní Riada,for,GUE/NGL,72369
6250,Omarjee,for,GUE/NGL,72369
5596,Papadimoulis,for,GUE/NGL,72369
6674,Sakorafa,for,GUE/NGL,72369
6641,Sánchez Caldentey,for,GUE/NGL,72369
5837,Scholz,for,GUE/NGL,72369
6444,Spinelli,for,GUE/NGL,72369
6716,Torres Martínez,for,GUE/NGL,72369
6715,Urbán Crespo,for,GUE/NGL,72369
6030,Vergiat,for,GUE/NGL,72369
5368,Zimmer,for,GUE/NGL,72369
6471,Sonneborn,for,NI,72369
6602,Adaktusson,for,PPE,72369
1340,Alliot-Marie,for,PPE,72369
5395,Andrikienė,for,PPE,72369
6594,Arimont,for,PPE,72369
4742,Ayuso,for,PPE,72369
6191,Bach,for,PPE,72369
6135,Balz,for,PPE,72369
5377,Belet,for,PPE,72369
5885,Bendtsen,for,PPE,72369
1507,Böge,for,PPE,72369
6613,Bogovič,for,PPE,72369
6535,Boni,for,PPE,72369
1278,Brok,for,PPE,72369
6617,Buda,for,PPE,72369
5729,Buşoi,for,PPE,72369
5388,Buzek,for,PPE,72369
6021,Cadec,for,PPE,72369
5928,van de Camp,for,PPE,72369
5252,Casa,for,PPE,72369
5341,Caspary,for,PPE,72369
5508,del Castillo Vera,for,PPE,72369
5554,Cesa,for,PPE,72369
5236,Christoforou,for,PPE,72369
6492,Cicu,for,PPE,72369
6406,Cirio,for,PPE,72369
6600,Clune,for,PPE,72369
3800,Coelho,for,PPE,72369
6273,Collin-Langen,for,PPE,72369
5948,Comi,for,PPE,72369
6587,Comodini Cachia,for,PPE,72369
5861,Corazza Bildt,for,PPE,72369
5921,Danjean,for,PPE,72369
6194,Dantin,for,PPE,72369
6172,Dati,for,PPE,72369
6364,Delahaye,for,PPE,72369
5350,Deß,for,PPE,72369
5515,Díaz de Mera García Consuegra,for,PPE,72369
5960,Dorfmann,for,PPE,72369
5348,Ehler,for,PPE,72369
6047,Engel,for,PPE,72369
5983,Estaràs Ferragut,for,PPE,72369
3833,Ferber,for,PPE,72369
6068,Fernandes,for,PPE,72369
5903,Fisas Ayxelà,for,PPE,72369
5256,Fjellner,for,PPE,72369
1508,Florenz,for,PPE,72369
6020,Gabriel,for,PPE,72369
4659,Gahler,for,PPE,72369
6615,Gambús,for,PPE,72369
5803,Gardini,for,PPE,72369
6441,Gieseke,for,PPE,72369
6632,González Pons,for,PPE,72369
5511,de Grandes Pascual,for,PPE,72369
5342,Gräßle,for,PPE,72369
4032,Grossetête,for,PPE,72369
5109,Grzyb,for,PPE,72369
6596,Hayes,for,PPE,72369
5018,Herranz García,for,PPE,72369
6534,Hetman,for,PPE,72369
5953,Hohlmeier,for,PPE,72369
5254,Hökmark,for,PPE,72369
4987,Hortefeux,for,PPE,72369
5952,Hübner,for,PPE,72369
5516,Iturgaiz,for,PPE,72369
5945,Jahr,for,PPE,72369
5954,Jazłowiecka,for,PPE,72369
5978,Jiménez-Becerril Barrio,for,PPE,72369
6360,Joulaud,for,PPE,72369
5944,Kalinowski,for,PPE,72369
6095,Kalniete,for,PPE,72369
4669,Karas,for,PPE,72369
6070,Kariņš,for,PPE,72369
6666,Kefalogiannis,for,PPE,72369
5542,Kelam,for,PPE,72369
5855,Kelly,for,PPE,72369
3759,Koch,for,PPE,72369
6053,Köstinger,for,PPE,72369
6196,Kovatchev,for,PPE,72369
5403,Kudrycka,for,PPE,72369
5940,Kuhn,for,PPE,72369
5840,Kukan,for,PPE,72369
6662,Kyrtsos,for,PPE,72369
1350,Lamassoure,for,PPE,72369
5727,de Lange,for,PPE,72369
3856,Langen,for,PPE,72369
5988,La Via,for,PPE,72369
6363,Lavrilleux,for,PPE,72369
6592,Lenaers,for,PPE,72369
5105,Lewandowski,for,PPE,72369
3855,Liese,for,PPE,72369
6442,Lins,for,PPE,72369
5517,López-Istúriz White,for,PPE,72369
5964,Łukacijewska,for,PPE,72369
6440,McAllister,for,PPE,72369
5245,McGuinness,for,PPE,72369
6303,Maletić,for,PPE,72369
6245,Malinov,for,PPE,72369
5774,Mănescu,for,PPE,72369
3845,Mann,for,PPE,72369
5646,Marinescu,for,PPE,72369
6465,Martusciello,for,PPE,72369
6096,Mato,for,PPE,72369
6721,Maullu,for,PPE,72369
6121,Melo,for,PPE,72369
6297,Metsola,for,PPE,72369
5518,Millán Mon,for,PPE,72369
6366,Monteiro de Aguiar,for,PPE,72369
6368,Morano,for,PPE,72369
5732,Morin-Chartier,for,PPE,72369
6436,Mureşan,for,PPE,72369
6361,Muselier,for,PPE,72369
5547,Mussolini,for,PPE,72369
6544,Nagy,for,PPE,72369
4712,Niebler,for,PPE,72369
6332,Niedermayer,for,PPE,72369
5295,van Nistelrooij,for,PPE,72369
6709,Novakov,for,PPE,72369
5407,Olbrycht,for,PPE,72369
6377,Pabriks,for,PPE,72369
5702,Patriciello,for,PPE,72369
6483,Paunova,for,PPE,72369
5033,Peterle,for,PPE,72369
6383,Petir,for,PPE,72369
5346,Pieper,for,PPE,72369
6537,Pitera,for,PPE,72369
6268,Plenković,for,PPE,72369
6519,Plura,for,PPE,72369
6491,Pogliese,for,PPE,72369
