mepid,mep,result,group,identifier
6522,Złotowski,for,ECR,2017-06-01_19.
6468,Adinolfi,for,EFDD,2017-06-01_19.
6445,Agea,for,EFDD,2017-06-01_19.
6480,Aiuto,for,EFDD,2017-06-01_19.
6411,Beghin,for,EFDD,2017-06-01_19.
6374,Bergeron,for,EFDD,2017-06-01_19.
6446,Castaldo,for,EFDD,2017-06-01_19.
6494,Corrao,for,EFDD,2017-06-01_19.
6472,D'Amato,for,EFDD,2017-06-01_19.
6413,Evi,for,EFDD,2017-06-01_19.
6470,Ferrara,for,EFDD,2017-06-01_19.
6608,Lundgren,for,EFDD,2017-06-01_19.
6497,Moi,for,EFDD,2017-06-01_19.
5875,Paksas,for,EFDD,2017-06-01_19.
6482,Pedicini,for,EFDD,2017-06-01_19.
6447,Tamburrano,for,EFDD,2017-06-01_19.
6412,Valli,for,EFDD,2017-06-01_19.
6607,Winberg,for,EFDD,2017-06-01_19.
6695,Zullo,for,EFDD,2017-06-01_19.
6593,Annemans,for,ENF,2017-06-01_19.
6382,Arnautu,for,ENF,2017-06-01_19.
6555,Atkinson,for,ENF,2017-06-01_19.
6394,Bay,for,ENF,2017-06-01_19.
6405,Bilde,for,ENF,2017-06-01_19.
6179,Bizzotto,for,ENF,2017-06-01_19.
5010,Borghezio,for,ENF,2017-06-01_19.
6387,Boutonnet,for,ENF,2017-06-01_19.
6391,Briois,for,ENF,2017-06-01_19.
6731,Ciocca,for,ENF,2017-06-01_19.
6384,D'Ornano,for,ENF,2017-06-01_19.
6401,Ferrand,for,ENF,2017-06-01_19.
6132,Fontana,for,ENF,2017-06-01_19.
6450,Goddyn,for,ENF,2017-06-01_19.
6630,de Graaff,for,ENF,2017-06-01_19.
6404,Jalkh,for,ENF,2017-06-01_19.
6629,Kappel,for,ENF,2017-06-01_19.
6372,Lebreton,for,ENF,2017-06-01_19.
6699,Loiseau,for,ENF,2017-06-01_19.
6385,Martin Dominique,for,ENF,2017-06-01_19.
6627,Mayer Georg,for,ENF,2017-06-01_19.
6395,Monot,for,ENF,2017-06-01_19.
6123,Obermayr,for,ENF,2017-06-01_19.
6426,Rebega,for,ENF,2017-06-01_19.
6389,Schaffhauser,for,ENF,2017-06-01_19.
6634,Stuger,for,ENF,2017-06-01_19.
6610,Vilimsky,for,ENF,2017-06-01_19.
6414,Zanni,for,ENF,2017-06-01_19.
6228,Zijlstra,for,ENF,2017-06-01_19.
6654,Albiol Guzmán,for,GUE/NGL,2017-06-01_19.
6280,Anderson Martina,for,GUE/NGL,2017-06-01_19.
6723,Benito Ziluaga,for,GUE/NGL,2017-06-01_19.
6604,Björk,for,GUE/NGL,2017-06-01_19.
6595,Boylan,for,GUE/NGL,2017-06-01_19.
6598,Carthy,for,GUE/NGL,2017-06-01_19.
5237,Chountis,for,GUE/NGL,2017-06-01_19.
6660,Chrysogonos,for,GUE/NGL,2017-06-01_19.
6701,Couso Permuy,for,GUE/NGL,2017-06-01_19.
6496,De Masi,for,GUE/NGL,2017-06-01_19.
6501,Eck,for,GUE/NGL,2017-06-01_19.
6024,Ernst,for,GUE/NGL,2017-06-01_19.
5886,Ferreira,for,GUE/NGL,2017-06-01_19.
6597,Flanagan,for,GUE/NGL,2017-06-01_19.
6693,Forenza,for,GUE/NGL,2017-06-01_19.
6702,González Peñas,for,GUE/NGL,2017-06-01_19.
6076,Hadjigeorgiou,for,GUE/NGL,2017-06-01_19.
6628,Hazekamp,for,GUE/NGL,2017-06-01_19.
6657,Juaristi Abaunz,for,GUE/NGL,2017-06-01_19.
6313,Kari,for,GUE/NGL,2017-06-01_19.
5450,Kohlíček,for,GUE/NGL,2017-06-01_19.
5039,Konečná,for,GUE/NGL,2017-06-01_19.
6713,Kouloglou,for,GUE/NGL,2017-06-01_19.
6369,Kyllönen,for,GUE/NGL,2017-06-01_19.
5909,Le Hyaric,for,GUE/NGL,2017-06-01_19.
6653,López Bermejo,for,GUE/NGL,2017-06-01_19.
6026,Lösing,for,GUE/NGL,2017-06-01_19.
6692,Maltese,for,GUE/NGL,2017-06-01_19.
5992,Matias,for,GUE/NGL,2017-06-01_19.
6310,Michels,for,GUE/NGL,2017-06-01_19.
6643,Mineur,for,GUE/NGL,2017-06-01_19.
6599,Ní Riada,for,GUE/NGL,2017-06-01_19.
6250,Omarjee,for,GUE/NGL,2017-06-01_19.
5596,Papadimoulis,for,GUE/NGL,2017-06-01_19.
6727,Pimenta Lopes,for,GUE/NGL,2017-06-01_19.
6674,Sakorafa,for,GUE/NGL,2017-06-01_19.
6641,Sánchez Caldentey,for,GUE/NGL,2017-06-01_19.
5837,Scholz,for,GUE/NGL,2017-06-01_19.
6655,Senra Rodríguez,for,GUE/NGL,2017-06-01_19.
6444,Spinelli,for,GUE/NGL,2017-06-01_19.
6321,Sylikiotis,for,GUE/NGL,2017-06-01_19.
6716,Torres Martínez,for,GUE/NGL,2017-06-01_19.
6715,Urbán Crespo,for,GUE/NGL,2017-06-01_19.
6656,Vallina,for,GUE/NGL,2017-06-01_19.
6678,Viegas,for,GUE/NGL,2017-06-01_19.
5368,Zimmer,for,GUE/NGL,2017-06-01_19.
6048,Balczó,for,NI,2017-06-01_19.
6669,Epitideios,for,NI,2017-06-01_19.
6668,Fountoulis,for,NI,2017-06-01_19.
1380,Gollnisch,for,NI,2017-06-01_19.
6676,Papadakis Konstantinos,for,NI,2017-06-01_19.
6670,Synadinos,for,NI,2017-06-01_19.
6469,Voigt,for,NI,2017-06-01_19.
6585,Woolfe,for,NI,2017-06-01_19.
6602,Adaktusson,for,PPE,2017-06-01_19.
1340,Alliot-Marie,for,PPE,2017-06-01_19.
5395,Andrikienė,for,PPE,2017-06-01_19.
4742,Ayuso,for,PPE,2017-06-01_19.
6191,Bach,for,PPE,2017-06-01_19.
6216,Becker,for,PPE,2017-06-01_19.
5377,Belet,for,PPE,2017-06-01_19.
5885,Bendtsen,for,PPE,2017-06-01_19.
6343,Bocskor,for,PPE,2017-06-01_19.
1507,Böge,for,PPE,2017-06-01_19.
6613,Bogovič,for,PPE,2017-06-01_19.
6535,Boni,for,PPE,2017-06-01_19.
6617,Buda,for,PPE,2017-06-01_19.
5388,Buzek,for,PPE,2017-06-01_19.
6021,Cadec,for,PPE,2017-06-01_19.
5928,van de Camp,for,PPE,2017-06-01_19.
5341,Caspary,for,PPE,2017-06-01_19.
5554,Cesa,for,PPE,2017-06-01_19.
5236,Christoforou,for,PPE,2017-06-01_19.
6492,Cicu,for,PPE,2017-06-01_19.
6600,Clune,for,PPE,2017-06-01_19.
3800,Coelho,for,PPE,2017-06-01_19.
6273,Collin-Langen,for,PPE,2017-06-01_19.
5948,Comi,for,PPE,2017-06-01_19.
5861,Corazza Bildt,for,PPE,2017-06-01_19.
6548,Csáky,for,PPE,2017-06-01_19.
5921,Danjean,for,PPE,2017-06-01_19.
6194,Dantin,for,PPE,2017-06-01_19.
6172,Dati,for,PPE,2017-06-01_19.
6364,Delahaye,for,PPE,2017-06-01_19.
6345,Deli,for,PPE,2017-06-01_19.
5350,Deß,for,PPE,2017-06-01_19.
5515,Díaz de Mera García Consuegra,for,PPE,2017-06-01_19.
5960,Dorfmann,for,PPE,2017-06-01_19.
6342,Erdős,for,PPE,2017-06-01_19.
5983,Estaràs Ferragut,for,PPE,2017-06-01_19.
6679,Faria,for,PPE,2017-06-01_19.
3833,Ferber,for,PPE,2017-06-01_19.
6068,Fernandes,for,PPE,2017-06-01_19.
5903,Fisas Ayxelà,for,PPE,2017-06-01_19.
6020,Gabriel,for,PPE,2017-06-01_19.
4659,Gahler,for,PPE,2017-06-01_19.
5280,Gál,for,PPE,2017-06-01_19.
6202,Gáll-Pelcz,for,PPE,2017-06-01_19.
6615,Gambús,for,PPE,2017-06-01_19.
5803,Gardini,for,PPE,2017-06-01_19.
6441,Gieseke,for,PPE,2017-06-01_19.
6632,González Pons,for,PPE,2017-06-01_19.
5511,de Grandes Pascual,for,PPE,2017-06-01_19.
5342,Gräßle,for,PPE,2017-06-01_19.
4032,Grossetête,for,PPE,2017-06-01_19.
5109,Grzyb,for,PPE,2017-06-01_19.
5138,Gyürk,for,PPE,2017-06-01_19.
6596,Hayes,for,PPE,2017-06-01_19.
5018,Herranz García,for,PPE,2017-06-01_19.
6534,Hetman,for,PPE,2017-06-01_19.
5953,Hohlmeier,for,PPE,2017-06-01_19.
5254,Hökmark,for,PPE,2017-06-01_19.
6346,Hölvényi,for,PPE,2017-06-01_19.
5952,Hübner,for,PPE,2017-06-01_19.
5945,Jahr,for,PPE,2017-06-01_19.
5954,Jazłowiecka,for,PPE,2017-06-01_19.
5978,Jiménez-Becerril Barrio,for,PPE,2017-06-01_19.
6360,Joulaud,for,PPE,2017-06-01_19.
5944,Kalinowski,for,PPE,2017-06-01_19.
6095,Kalniete,for,PPE,2017-06-01_19.
4669,Karas,for,PPE,2017-06-01_19.
6070,Kariņš,for,PPE,2017-06-01_19.
5542,Kelam,for,PPE,2017-06-01_19.
5855,Kelly,for,PPE,2017-06-01_19.
