mepid,mep,result,group,identifier
5682,Ali,for,ALDE,104063
6407,Arthuis,for,ALDE,104063
6097,van Baalen,for,ALDE,104063
6110,Bearder,for,ALDE,104063
6646,Becerra Basterrechea,for,ALDE,104063
6089,Bilbao Barandica,for,ALDE,104063
6708,Calvet Chambon,for,ALDE,104063
5328,Cavada,for,ALDE,104063
6339,Charanzová,for,ALDE,104063
4761,Cornillet,for,ALDE,104063
1060,Deprez,for,ALDE,104063
6340,Dlabajová,for,ALDE,104063
6601,Federley,for,ALDE,104063
6098,Gerbrandy,for,ALDE,104063
6724,Giménez Barbat,for,ALDE,104063
1793,Goerens,for,ALDE,104063
5330,Griesbeck,for,ALDE,104063
6379,Grigule-Pēterse,for,ALDE,104063
5246,Harkin,for,ALDE,104063
6043,Hirsch,for,ALDE,104063
6622,Huitema,for,ALDE,104063
5681,Hyusmenova,for,ALDE,104063
5385,in 't Veld,for,ALDE,104063
5433,Jäätteenmäki,for,ALDE,104063
6388,Jakovčić,for,ALDE,104063
6338,Ježek,for,ALDE,104063
6766,Katainen,for,ALDE,104063
5364,Klinz,for,ALDE,104063
6504,Kyuchyuk,for,ALDE,104063
6740,Lalonde,for,ALDE,104063
6376,Marinho e Pinto,for,ALDE,104063
6402,Mazuronis,for,ALDE,104063
6041,Meissner,for,ALDE,104063
5857,Michel,for,ALDE,104063
6626,van Miltenburg,for,ALDE,104063
6631,Mlinar,for,ALDE,104063
6500,Müller,for,ALDE,104063
6760,Nagtegaal,for,ALDE,104063
6614,Nart,for,ALDE,104063
6705,Paet,for,ALDE,104063
6644,Pagazaurtundúa Ruiz,for,ALDE,104063
6728,Punset,for,ALDE,104063
4676,Ries,for,ALDE,104063
6056,Riquet,for,ALDE,104063
6100,Schaake,for,ALDE,104063
6722,Selimovic,for,ALDE,104063
6337,Telička,for,ALDE,104063
6331,Toom,for,ALDE,104063
6281,Torvalds,for,ALDE,104063
6151,Vajgl,for,ALDE,104063
6710,Vautmans,for,ALDE,104063
6774,Vehkaperä,for,ALDE,104063
6159,Verhofstadt,for,ALDE,104063
5770,Weber Renate,for,ALDE,104063
6729,Wierinck,for,ALDE,104063
5864,Wikström,for,ALDE,104063
5996,Macovei,for,ECR,104063
5892,Tošenovský,for,ECR,104063
5052,Zahradil,for,ECR,104063
6468,Adinolfi,for,EFDD,104063
6445,Agea,for,EFDD,104063
6480,Aiuto,for,EFDD,104063
6446,Castaldo,for,EFDD,104063
6386,Chauprade,for,EFDD,104063
6494,Corrao,for,EFDD,104063
6472,D'Amato,for,EFDD,104063
6413,Evi,for,EFDD,104063
5875,Paksas,for,EFDD,104063
6482,Pedicini,for,EFDD,104063
6447,Tamburrano,for,EFDD,104063
6412,Valli,for,EFDD,104063
6695,Zullo,for,EFDD,104063
6123,Obermayr,for,ENF,104063
6654,Albiol Guzmán,for,GUE/NGL,104063
6280,Anderson Martina,for,GUE/NGL,104063
6723,Benito Ziluaga,for,GUE/NGL,104063
6595,Boylan,for,GUE/NGL,104063
6598,Carthy,for,GUE/NGL,104063
5237,Chountis,for,GUE/NGL,104063
6701,Couso Permuy,for,GUE/NGL,104063
6501,Eck,for,GUE/NGL,104063
6024,Ernst,for,GUE/NGL,104063
6597,Flanagan,for,GUE/NGL,104063
6693,Forenza,for,GUE/NGL,104063
6702,González Peñas,for,GUE/NGL,104063
6076,Hadjigeorgiou,for,GUE/NGL,104063
6023,Händel,for,GUE/NGL,104063
6628,Hazekamp,for,GUE/NGL,104063
5922,de Jong,for,GUE/NGL,104063
6313,Kari,for,GUE/NGL,104063
5450,Kohlíček,for,GUE/NGL,104063
5039,Konečná,for,GUE/NGL,104063
5909,Le Hyaric,for,GUE/NGL,104063
6653,López Bermejo,for,GUE/NGL,104063
5044,Maštálka,for,GUE/NGL,104063
5992,Matias,for,GUE/NGL,104063
6354,Maurel,for,GUE/NGL,104063
6310,Michels,for,GUE/NGL,104063
6643,Mineur,for,GUE/NGL,104063
6250,Omarjee,for,GUE/NGL,104063
6641,Sánchez Caldentey,for,GUE/NGL,104063
5837,Scholz,for,GUE/NGL,104063
6444,Spinelli,for,GUE/NGL,104063
6715,Urbán Crespo,for,GUE/NGL,104063
6747,Vieu,for,GUE/NGL,104063
5368,Zimmer,for,GUE/NGL,104063
6048,Balczó,for,NI,104063
6430,Borrelli,for,NI,104063
6403,Montel,for,NI,104063
5113,Ujazdowski,for,NI,104063
6755,Ademov,for,PPE,104063
1340,Alliot-Marie,for,PPE,104063
5395,Andrikienė,for,PPE,104063
6594,Arimont,for,PPE,104063
5262,Ashworth,for,PPE,104063
4742,Ayuso,for,PPE,104063
6191,Bach,for,PPE,104063
6216,Becker,for,PPE,104063
5377,Belet,for,PPE,104063
6343,Bocskor,for,PPE,104063
6613,Bogovič,for,PPE,104063
1278,Brok,for,PPE,104063
6617,Buda,for,PPE,104063
5729,Buşoi,for,PPE,104063
6021,Cadec,for,PPE,104063
5928,van de Camp,for,PPE,104063
5252,Casa,for,PPE,104063
5341,Caspary,for,PPE,104063
5508,del Castillo Vera,for,PPE,104063
5554,Cesa,for,PPE,104063
6492,Cicu,for,PPE,104063
6406,Cirio,for,PPE,104063
3800,Coelho,for,PPE,104063
6273,Collin-Langen,for,PPE,104063
6548,Csáky,for,PPE,104063
6194,Dantin,for,PPE,104063
6364,Delahaye,for,PPE,104063
6345,Deli,for,PPE,104063
5350,Deß,for,PPE,104063
5998,Deutsch,for,PPE,104063
5515,Díaz de Mera García Consuegra,for,PPE,104063
5960,Dorfmann,for,PPE,104063
5348,Ehler,for,PPE,104063
6047,Engel,for,PPE,104063
6342,Erdős,for,PPE,104063
5983,Estaràs Ferragut,for,PPE,104063
6679,Faria,for,PPE,104063
3833,Ferber,for,PPE,104063
6068,Fernandes,for,PPE,104063
5903,Fisas Ayxelà,for,PPE,104063
5256,Fjellner,for,PPE,104063
1508,Florenz,for,PPE,104063
4659,Gahler,for,PPE,104063
5280,Gál,for,PPE,104063
6615,Gambús,for,PPE,104063
6780,Gehrold,for,PPE,104063
6441,Gieseke,for,PPE,104063
6111,Girling,for,PPE,104063
6632,González Pons,for,PPE,104063
5511,de Grandes Pascual,for,PPE,104063
5342,Gräßle,for,PPE,104063
4032,Grossetête,for,PPE,104063
5109,Grzyb,for,PPE,104063
6397,Guoga,for,PPE,104063
6777,Hansen,for,PPE,104063
6596,Hayes,for,PPE,104063
5018,Herranz García,for,PPE,104063
6534,Hetman,for,PPE,104063
5254,Hökmark,for,PPE,104063
6346,Hölvényi,for,PPE,104063
5952,Hübner,for,PPE,104063
5516,Iturgaiz,for,PPE,104063
5945,Jahr,for,PPE,104063
5954,Jazłowiecka,for,PPE,104063
5978,Jiménez-Becerril Barrio,for,PPE,104063
6360,Joulaud,for,PPE,104063
6055,Juvin,for,PPE,104063
5944,Kalinowski,for,PPE,104063
6095,Kalniete,for,PPE,104063
4669,Karas,for,PPE,104063
5542,Kelam,for,PPE,104063
5855,Kelly,for,PPE,104063
3759,Koch,for,PPE,104063
