mepid,mep,result,group,identifier
5857,Michel,for,ALDE,88277
6710,Vautmans,for,ALDE,88277
6667,Marias,for,ECR,88277
6718,Ruohonen-Lerner,for,ECR,88277
6468,Adinolfi,for,EFDD,88277
6480,Aiuto,for,EFDD,88277
6411,Beghin,for,EFDD,88277
6374,Bergeron,for,EFDD,88277
6494,Corrao,for,EFDD,88277
6472,D'Amato,for,EFDD,88277
6384,D'Ornano,for,EFDD,88277
6413,Evi,for,EFDD,88277
6608,Lundgren,for,EFDD,88277
6497,Moi,for,EFDD,88277
6403,Montel,for,EFDD,88277
6482,Pedicini,for,EFDD,88277
6474,Philippot,for,EFDD,88277
6447,Tamburrano,for,EFDD,88277
6412,Valli,for,EFDD,88277
6607,Winberg,for,EFDD,88277
6695,Zullo,for,EFDD,88277
5010,Borghezio,for,ENF,88277
6629,Kappel,for,ENF,88277
6372,Lebreton,for,ENF,88277
6123,Obermayr,for,ENF,88277
6610,Vilimsky,for,ENF,88277
6280,Anderson Martina,for,GUE/NGL,88277
6723,Benito Ziluaga,for,GUE/NGL,88277
6604,Björk,for,GUE/NGL,88277
6598,Carthy,for,GUE/NGL,88277
5237,Chountis,for,GUE/NGL,88277
6701,Couso Permuy,for,GUE/NGL,88277
6501,Eck,for,GUE/NGL,88277
6024,Ernst,for,GUE/NGL,88277
5886,Ferreira,for,GUE/NGL,88277
6597,Flanagan,for,GUE/NGL,88277
6693,Forenza,for,GUE/NGL,88277
6702,González Peñas,for,GUE/NGL,88277
6076,Hadjigeorgiou,for,GUE/NGL,88277
6628,Hazekamp,for,GUE/NGL,88277
5922,de Jong,for,GUE/NGL,88277
6313,Kari,for,GUE/NGL,88277
5039,Konečná,for,GUE/NGL,88277
6713,Kouloglou,for,GUE/NGL,88277
6675,Kuneva,for,GUE/NGL,88277
6369,Kyllönen,for,GUE/NGL,88277
6653,López Bermejo,for,GUE/NGL,88277
6026,Lösing,for,GUE/NGL,88277
6692,Maltese,for,GUE/NGL,88277
5044,Maštálka,for,GUE/NGL,88277
5992,Matias,for,GUE/NGL,88277
6310,Michels,for,GUE/NGL,88277
6643,Mineur,for,GUE/NGL,88277
6251,Miranda,for,GUE/NGL,88277
5596,Papadimoulis,for,GUE/NGL,88277
6727,Pimenta Lopes,for,GUE/NGL,88277
6674,Sakorafa,for,GUE/NGL,88277
6641,Sánchez Caldentey,for,GUE/NGL,88277
6758,Schirdewan,for,GUE/NGL,88277
6655,Senra Rodríguez,for,GUE/NGL,88277
6321,Sylikiotis,for,GUE/NGL,88277
6716,Torres Martínez,for,GUE/NGL,88277
6715,Urbán Crespo,for,GUE/NGL,88277
6656,Vallina,for,GUE/NGL,88277
6030,Vergiat,for,GUE/NGL,88277
6678,Viegas,for,GUE/NGL,88277
5368,Zimmer,for,GUE/NGL,88277
6048,Balczó,for,NI,88277
5849,Morvai,for,NI,88277
6469,Voigt,for,NI,88277
6600,Clune,for,PPE,88277
5983,Estaràs Ferragut,for,PPE,88277
6196,Kovatchev,for,PPE,88277
6212,Gutiérrez Prieto,for,S&D,88277
6689,Kyrkos,for,S&D,88277
6415,Sant,for,S&D,88277
6438,Schlein,for,S&D,88277
