mepid,mep,result,group,identifier
5682,Ali,for,ALDE,52270
6407,Arthuis,for,ALDE,52270
6400,Auštrevičius,for,ALDE,52270
6097,van Baalen,for,ALDE,52270
6110,Bearder,for,ALDE,52270
6646,Becerra Basterrechea,for,ALDE,52270
6089,Bilbao Barandica,for,ALDE,52270
6708,Calvet Chambon,for,ALDE,52270
6339,Charanzová,for,ALDE,52270
6226,De Backer,for,ALDE,52270
1060,Deprez,for,ALDE,52270
4758,de Sarnez,for,ALDE,52270
6439,Diaconu,for,ALDE,52270
6340,Dlabajová,for,ALDE,52270
6679,Faria,for,ALDE,52270
6601,Federley,for,ALDE,52270
6098,Gerbrandy,for,ALDE,52270
6658,Girauta Vidal,for,ALDE,52270
1793,Goerens,for,ALDE,52270
6169,Goulard,for,ALDE,52270
5330,Griesbeck,for,ALDE,52270
6379,Grigule,for,ALDE,52270
6397,Guoga,for,ALDE,52270
5246,Harkin,for,ALDE,52270
6622,Huitema,for,ALDE,52270
5681,Hyusmenova,for,ALDE,52270
5385,in 't Veld,for,ALDE,52270
5433,Jäätteenmäki,for,ALDE,52270
6388,Jakovčić,for,ALDE,52270
6338,Ježek,for,ALDE,52270
6328,Kallas,for,ALDE,52270
6376,Marinho e Pinto,for,ALDE,52270
6645,Maura Barandiarán,for,ALDE,52270
6041,Meissner,for,ALDE,52270
5857,Michel,for,ALDE,52270
6690,Mihaylova,for,ALDE,52270
6626,van Miltenburg,for,ALDE,52270
6631,Mlinar,for,ALDE,52270
6500,Müller,for,ALDE,52270
6614,Nart,for,ALDE,52270
5997,Nicolai,for,ALDE,52270
6621,van Nieuwenhuizen,for,ALDE,52270
6705,Paet,for,ALDE,52270
4693,Paulsen,for,ALDE,52270
6510,Petersen,for,ALDE,52270
6266,Radoš,for,ALDE,52270
4676,Ries,for,ALDE,52270
6056,Riquet,for,ALDE,52270
5890,Rohde,for,ALDE,52270
6100,Schaake,for,ALDE,52270
5435,Takkula,for,ALDE,52270
6337,Telička,for,ALDE,52270
6042,Theurer,for,ALDE,52270
6331,Toom,for,ALDE,52270
6518,Tørnæs,for,ALDE,52270
6281,Torvalds,for,ALDE,52270
6181,Tremosa i Balcells,for,ALDE,52270
6151,Vajgl,for,ALDE,52270
6710,Vautmans,for,ALDE,52270
4550,Väyrynen,for,ALDE,52270
5770,Weber Renate,for,ALDE,52270
5864,Wikström,for,ALDE,52270
5490,Czarnecki,for,ECR,52270
6452,Gericke,for,ECR,52270
6525,Karski,for,ECR,52270
6468,Adinolfi,for,EFDD,52270
