mepid,mep,result,group,identifier
5682,Ali,for,ALDE,67622
6407,Arthuis,for,ALDE,67622
6646,Becerra Basterrechea,for,ALDE,67622
6089,Bilbao Barandica,for,ALDE,67622
6708,Calvet Chambon,for,ALDE,67622
5328,Cavada,for,ALDE,67622
6226,De Backer,for,ALDE,67622
1060,Deprez,for,ALDE,67622
6679,Faria,for,ALDE,67622
6098,Gerbrandy,for,ALDE,67622
6724,Giménez Barbat,for,ALDE,67622
1793,Goerens,for,ALDE,67622
6169,Goulard,for,ALDE,67622
5330,Griesbeck,for,ALDE,67622
5246,Harkin,for,ALDE,67622
5681,Hyusmenova,for,ALDE,67622
6388,Jakovčić,for,ALDE,67622
5433,Jäätteenmäki,for,ALDE,67622
6328,Kallas,for,ALDE,67622
6504,Kyuchyuk,for,ALDE,67622
6376,Marinho e Pinto,for,ALDE,67622
6690,Mihaylova,for,ALDE,67622
6631,Mlinar,for,ALDE,67622
6500,Müller,for,ALDE,67622
5997,Nicolai,for,ALDE,67622
6705,Paet,for,ALDE,67622
6510,Petersen,for,ALDE,67622
6728,Punset,for,ALDE,67622
6266,Radoš,for,ALDE,67622
4676,Ries,for,ALDE,67622
6056,Riquet,for,ALDE,67622
6154,Rochefort,for,ALDE,67622
6100,Schaake,for,ALDE,67622
6722,Selimovic,for,ALDE,67622
5435,Takkula,for,ALDE,67622
6331,Toom,for,ALDE,67622
6181,Tremosa i Balcells,for,ALDE,67622
5879,Uspaskich,for,ALDE,67622
6710,Vautmans,for,ALDE,67622
5770,Weber Renate,for,ALDE,67622
4758,de Sarnez,for,ALDE,67622
5385,in 't Veld,for,ALDE,67622
6626,van Miltenburg,for,ALDE,67622
6509,Barekov,for,ECR,67622
6452,Gericke,for,ECR,67622
5996,Macovei,for,ECR,67622
6667,Marias,for,ECR,67622
6718,Ruohonen-Lerner,for,ECR,67622
6468,Adinolfi,for,EFDD,67622
6431,Affronte,for,EFDD,67622
6445,Agea,for,EFDD,67622
6480,Aiuto,for,EFDD,67622
6411,Beghin,for,EFDD,67622
6430,Borrelli,for,EFDD,67622
6446,Castaldo,for,EFDD,67622
6494,Corrao,for,EFDD,67622
6472,D'Amato,for,EFDD,67622
6413,Evi,for,EFDD,67622
6470,Ferrara,for,EFDD,67622
6497,Moi,for,EFDD,67622
5875,Paksas,for,EFDD,67622
6482,Pedicini,for,EFDD,67622
6447,Tamburrano,for,EFDD,67622
6412,Valli,for,EFDD,67622
6414,Zanni,for,EFDD,67622
6654,Albiol Guzmán,for,GUE/NGL,67622
6723,Benito Ziluaga,for,GUE/NGL,67622
6595,Boylan,for,GUE/NGL,67622
6598,Carthy,for,GUE/NGL,67622
5237,Chountis,for,GUE/NGL,67622
6660,Chrysogonos,for,GUE/NGL,67622
6501,Eck,for,GUE/NGL,67622
6024,Ernst,for,GUE/NGL,67622
6597,Flanagan,for,GUE/NGL,67622
6693,Forenza,for,GUE/NGL,67622
6702,González Peñas,for,GUE/NGL,67622
6076,Hadjigeorgiou,for,GUE/NGL,67622
5450,Kohlíček,for,GUE/NGL,67622
5039,Konečná,for,GUE/NGL,67622
6713,Kouloglou,for,GUE/NGL,67622
6675,Kuneva,for,GUE/NGL,67622
6369,Kyllönen,for,GUE/NGL,67622
5909,Le Hyaric,for,GUE/NGL,67622
6026,Lösing,for,GUE/NGL,67622
6692,Maltese,for,GUE/NGL,67622
5992,Matias,for,GUE/NGL,67622
5044,Maštálka,for,GUE/NGL,67622
5916,Mélenchon,for,GUE/NGL,67622
6599,Ní Riada,for,GUE/NGL,67622
6250,Omarjee,for,GUE/NGL,67622
6727,Pimenta Lopes,for,GUE/NGL,67622
6674,Sakorafa,for,GUE/NGL,67622
5837,Scholz,for,GUE/NGL,67622
6655,Senra Rodríguez,for,GUE/NGL,67622
6444,Spinelli,for,GUE/NGL,67622
6321,Sylikiotis,for,GUE/NGL,67622
6641,Sánchez Caldentey,for,GUE/NGL,67622
6716,Torres Martínez,for,GUE/NGL,67622
6715,Urbán Crespo,for,GUE/NGL,67622
6030,Vergiat,for,GUE/NGL,67622
6678,Viegas,for,GUE/NGL,67622
5368,Zimmer,for,GUE/NGL,67622
6669,Epitideios,for,NI,67622
6668,Fountoulis,for,NI,67622
6203,Kovács,for,NI,67622
6676,Papadakis Konstantinos,for,NI,67622
6471,Sonneborn,for,NI,67622
6673,Zarianopoulos,for,NI,67622
5954,Jazłowiecka,for,PPE,67622
6055,Juvin,for,PPE,67622
5308,Mikolášik,for,PPE,67622
6366,Monteiro de Aguiar,for,PPE,67622
6383,Petir,for,PPE,67622
5788,Pietikäinen,for,PPE,67622
6684,Rolin,for,PPE,67622
5964,Łukacijewska,for,PPE,67622
6651,Aguilera García,for,S&D,67622
