mepid,mep,result,group,identifier
5682,Ali,for,ALDE,96737
6400,Auštrevičius,for,ALDE,96737
6097,van Baalen,for,ALDE,96737
6646,Becerra Basterrechea,for,ALDE,96737
6089,Bilbao Barandica,for,ALDE,96737
6708,Calvet Chambon,for,ALDE,96737
6339,Charanzová,for,ALDE,96737
6439,Diaconu,for,ALDE,96737
6340,Dlabajová,for,ALDE,96737
6601,Federley,for,ALDE,96737
6724,Giménez Barbat,for,ALDE,96737
1793,Goerens,for,ALDE,96737
6779,Gräzin,for,ALDE,96737
6379,Grigule-Pēterse,for,ALDE,96737
5246,Harkin,for,ALDE,96737
6622,Huitema,for,ALDE,96737
5681,Hyusmenova,for,ALDE,96737
5385,in 't Veld,for,ALDE,96737
6388,Jakovčić,for,ALDE,96737
6338,Ježek,for,ALDE,96737
6504,Kyuchyuk,for,ALDE,96737
6740,Lalonde,for,ALDE,96737
6376,Marinho e Pinto,for,ALDE,96737
6402,Mazuronis,for,ALDE,96737
6041,Meissner,for,ALDE,96737
5857,Michel,for,ALDE,96737
6690,Mihaylova,for,ALDE,96737
6626,van Miltenburg,for,ALDE,96737
6500,Müller,for,ALDE,96737
6760,Nagtegaal,for,ALDE,96737
6614,Nart,for,ALDE,96737
5997,Nicolai,for,ALDE,96737
6644,Pagazaurtundúa Ruiz,for,ALDE,96737
6510,Petersen,for,ALDE,96737
6728,Punset,for,ALDE,96737
6266,Radoš,for,ALDE,96737
5890,Rohde,for,ALDE,96737
6100,Schaake,for,ALDE,96737
6722,Selimovic,for,ALDE,96737
6337,Telička,for,ALDE,96737
6331,Toom,for,ALDE,96737
6181,Tremosa i Balcells,for,ALDE,96737
5879,Uspaskich,for,ALDE,96737
6151,Vajgl,for,ALDE,96737
5770,Weber Renate,for,ALDE,96737
5864,Wikström,for,ALDE,96737
6468,Adinolfi,for,EFDD,96737
6445,Agea,for,EFDD,96737
6066,Agnew,for,EFDD,96737
6480,Aiuto,for,EFDD,96737
6559,Aker,for,EFDD,96737
5567,Batten,for,EFDD,96737
6411,Beghin,for,EFDD,96737
6374,Bergeron,for,EFDD,96737
6748,Bullock,for,EFDD,96737
6446,Castaldo,for,EFDD,96737
6586,Coburn,for,EFDD,96737
6573,Collins,for,EFDD,96737
6494,Corrao,for,EFDD,96737
6472,D'Amato,for,EFDD,96737
6384,D'Ornano,for,EFDD,96737
6569,Etheridge,for,EFDD,96737
6413,Evi,for,EFDD,96737
6470,Ferrara,for,EFDD,96737
6558,Finch,for,EFDD,96737
6584,Gill Nathan,for,EFDD,96737
6450,Goddyn,for,EFDD,96737
6575,Hookem,for,EFDD,96737
6497,Moi,for,EFDD,96737
6395,Monot,for,EFDD,96737
6557,O'Flynn,for,EFDD,96737
6563,Parker,for,EFDD,96737
6754,Payne,for,EFDD,96737
6482,Pedicini,for,EFDD,96737
6564,Reid,for,EFDD,96737
6568,Seymour,for,EFDD,96737
6447,Tamburrano,for,EFDD,96737
6412,Valli,for,EFDD,96737
6695,Zullo,for,EFDD,96737
6593,Annemans,for,ENF,96737
6179,Bizzotto,for,ENF,96737
5010,Borghezio,for,ENF,96737
6630,de Graaff,for,ENF,96737
6629,Kappel,for,ENF,96737
6771,Lancini,for,ENF,96737
6627,Mayer Georg,for,ENF,96737
6123,Obermayr,for,ENF,96737
6134,Scottà,for,ENF,96737
6610,Vilimsky,for,ENF,96737
6414,Zanni,for,ENF,96737
6280,Anderson Martina,for,GUE/NGL,96737
6604,Björk,for,GUE/NGL,96737
6595,Boylan,for,GUE/NGL,96737
6598,Carthy,for,GUE/NGL,96737
6758,Schirdewan,for,GUE/NGL,96737
5837,Scholz,for,GUE/NGL,96737
6430,Borrelli,for,NI,96737
6669,Epitideios,for,NI,96737
6668,Fountoulis,for,NI,96737
6403,Montel,for,NI,96737
6676,Papadakis Konstantinos,for,NI,96737
6670,Synadinos,for,NI,96737
6673,Zarianopoulos,for,NI,96737
5960,Dorfmann,for,PPE,96737
6679,Faria,for,PPE,96737
6111,Girling,for,PPE,96737
6534,Hetman,for,PPE,96737
6332,Niedermayer,for,PPE,96737
6684,Rolin,for,PPE,96737
6547,Štefanec,for,PPE,96737
6651,Aguilera García,for,S&D,96737
6567,Anderson Lucy,for,S&D,96737
6279,Andrieu,for,S&D,96737
6687,Androulakis,for,S&D,96737
6553,Arena,for,S&D,96737
5426,Assis,for,S&D,96737
5411,Ayala Sender,for,S&D,96737
6378,Balas,for,S&D,96737
5866,Balčytis,for,S&D,96737
6611,Bayet,for,S&D,96737
6505,Benifei,for,S&D,96737
3972,Berès,for,S&D,96737
6650,Blanco López,for,S&D,96737
5867,Blinkevičiūtė,for,S&D,96737
6449,Bonafè,for,S&D,96737
6264,Borzan,for,S&D,96737
5768,Boştinaru,for,S&D,96737
6572,Brannen,for,S&D,96737
5465,Bresso,for,S&D,96737
6421,Briano,for,S&D,96737
4690,Bullmann,for,S&D,96737
6647,Cabezón Ruiz,for,S&D,96737
5835,Childers,for,S&D,96737
6499,Chinnici,for,S&D,96737
5284,Christensen,for,S&D,96737
6083,Cofferati,for,S&D,96737
4628,Corbett,for,S&D,96737
6085,Costa,for,S&D,96737
6051,Cozzolino,for,S&D,96737
6616,Cristea,for,S&D,96737
6589,Dalli,for,S&D,96737
6570,Dance,for,S&D,96737
6458,Danti,for,S&D,96737
6062,De Castro,for,S&D,96737
6410,Delvaux,for,S&D,96737
6437,De Monte,for,S&D,96737
6763,Detjen,for,S&D,96737
6420,Drăghici,for,S&D,96737
6080,Fajon,for,S&D,96737
6652,Fernández,for,S&D,96737
6770,Ferrandino,for,S&D,96737
6012,Fleckenstein,for,S&D,96737
6620,Freund,for,S&D,96737
6424,Frunzulică,for,S&D,96737
5417,García Pérez,for,S&D,96737
6130,Gardiazabal Rubial,for,S&D,96737
6454,Gasbarra,for,S&D,96737
3827,Gebhardt,for,S&D,96737
4937,Gill Neena,for,S&D,96737
6502,Giuffrida,for,S&D,96737
6772,Gloanec Maurin,for,S&D,96737
5425,Gomes,for,S&D,96737
6688,Grammatikakis,for,S&D,96737
6419,Grapini,for,S&D,96737
6720,Graswander-Hainz,for,S&D,96737
6580,Griffin,for,S&D,96737
6063,Gualtieri,for,S&D,96737
5941,Guerrero Salom,for,S&D,96737
6107,Guillaume,for,S&D,96737
6603,Guteland,for,S&D,96737
5261,Hedh,for,S&D,96737
6479,Hoffmann,for,S&D,96737
4994,Honeyball,for,S&D,96737
6745,Howarth,for,S&D,96737
5870,Jaakonsaari,for,S&D,96737
6624,Jongerius,for,S&D,96737
6146,Kadenbach,for,S&D,96737
6009,Kammerevert,for,S&D,96737
3756,Kaufmann,for,S&D,96737
6744,Khan,for,S&D,96737
6571,Kirton-Darling,for,S&D,96737
6508,Kofod,for,S&D,96737
6459,Köster,for,S&D,96737
6367,Kumpula-Natri,for,S&D,96737
6435,Kyenge,for,S&D,96737
6689,Kyrkos,for,S&D,96737
3823,Lange,for,S&D,96737
4685,Leinen,for,S&D,96737
6477,Lietz,for,S&D,96737
6648,López,for,S&D,96737
5984,López Aguilar,for,S&D,96737
5860,Ludvigsson,for,S&D,96737
4646,McAvan,for,S&D,96737
6380,Mamikins,for,S&D,96737
6355,Manscour,for,S&D,96737
1133,Martin David,for,S&D,96737
6565,Martin Edouard,for,S&D,96737
6322,Mavrides,for,S&D,96737
6737,Mayer Alex,for,S&D,96737
6476,Melior,for,S&D,96737
6296,Mizzi,for,S&D,96737
6351,Molnár,for,S&D,96737
6562,Moody,for,S&D,96737
4923,Moraes,for,S&D,96737
6422,Morgano,for,S&D,96737
6016,Neuser,for,S&D,96737
6418,Nica,for,S&D,96737
6352,Niedermüller,for,S&D,96737
6473,Noichl,for,S&D,96737
6156,Padar,for,S&D,96737
6756,Palmer,for,S&D,96737
5483,Panzeri,for,S&D,96737
6487,Paolucci,for,S&D,96737
6103,Pargneaux,for,S&D,96737
5648,Paşcu,for,S&D,96737
6707,Pavel,for,S&D,96737
6261,Picula,for,S&D,96737
6493,Pirinski,for,S&D,96737
6330,Poche,for,S&D,96737
6753,Popa,for,S&D,96737
6609,Post,for,S&D,96737
6526,Preuß,for,S&D,96737
6136,Regner,for,S&D,96737
6316,Revault d'Allonnes Bonnefoy,for,S&D,96737
6677,Rodrigues Liliana,for,S&D,96737
6371,Rodrigues Maria João,for,S&D,96737
6649,Rodríguez-Piñero Fernández,for,S&D,96737
5813,Rodust,for,S&D,96737
6357,Rozière,for,S&D,96737
6415,Sant,for,S&D,96737
5013,dos Santos,for,S&D,96737
5713,Schaldemose,for,S&D,96737
6438,Schlein,for,S&D,96737
6375,Serrão Santos,for,S&D,96737
6381,Silva Pereira,for,S&D,96737
6008,Simon Peter,for,S&D,96737
6566,Simon Siôn,for,S&D,96737
6093,Sippel,for,S&D,96737
6019,Tănăsescu,for,S&D,96737
6623,Tang,for,S&D,96737
6427,Țapardel,for,S&D,96737
5624,Tarabella,for,S&D,96737
6282,Thomas,for,S&D,96737
5459,Toia,for,S&D,96737
6336,Ujhelyi,for,S&D,96737
4757,Valenciano,for,S&D,96737
4990,Van Brempt,for,S&D,96737
6086,Vaughan,for,S&D,96737
6425,Viotti,for,S&D,96737
6582,Ward,for,S&D,96737
6235,Weidenholzer,for,S&D,96737
6478,von Weizsäcker,for,S&D,96737
6463,Werner,for,S&D,96737
6011,Westphal,for,S&D,96737
6735,Wölken,for,S&D,96737
6714,Zoffoli,for,S&D,96737
6373,Zorrinho,for,S&D,96737
6431,Affronte,for,Verts/ALE,96737
6606,Andersson,for,Verts/ALE,96737
5291,Auken,for,Verts/ALE,96737
5918,Bové,for,Verts/ALE,96737
6455,Buchner,for,Verts/ALE,96737
5913,Bütikofer,for,Verts/ALE,96737
5358,Cramer,for,Verts/ALE,96737
6730,Dalunde,for,Verts/ALE,96737
6040,Delli,for,Verts/ALE,96737
6324,Durand,for,Verts/ALE,96737
5899,Eickhout,for,Verts/ALE,96737
6703,Engström,for,Verts/ALE,96737
4954,Evans,for,Verts/ALE,96737
6775,Franz,for,Verts/ALE,96737
5904,Giegold,for,Verts/ALE,96737
5926,Häusling,for,Verts/ALE,96737
4535,Hautala,for,Verts/ALE,96737
6486,Heubuch,for,Verts/ALE,96737
4655,Hudghton,for,Verts/ALE,96737
