mepid,mep,result,group,identifier
5682,Ali,for,ALDE,2017-07-05_58.
6407,Arthuis,for,ALDE,2017-07-05_58.
6400,Auštrevičius,for,ALDE,2017-07-05_58.
6097,van Baalen,for,ALDE,2017-07-05_58.
6646,Becerra Basterrechea,for,ALDE,2017-07-05_58.
6089,Bilbao Barandica,for,ALDE,2017-07-05_58.
6708,Calvet Chambon,for,ALDE,2017-07-05_58.
6339,Charanzová,for,ALDE,2017-07-05_58.
4761,Cornillet,for,ALDE,2017-07-05_58.
1060,Deprez,for,ALDE,2017-07-05_58.
6439,Diaconu,for,ALDE,2017-07-05_58.
6340,Dlabajová,for,ALDE,2017-07-05_58.
6601,Federley,for,ALDE,2017-07-05_58.
6724,Giménez Barbat,for,ALDE,2017-07-05_58.
5330,Griesbeck,for,ALDE,2017-07-05_58.
UNDEFINE,Grigule,for,ALDE,2017-07-05_58.
5246,Harkin,for,ALDE,2017-07-05_58.
6622,Huitema,for,ALDE,2017-07-05_58.
5681,Hyusmenova,for,ALDE,2017-07-05_58.
5385,in 't Veld,for,ALDE,2017-07-05_58.
5433,Jäätteenmäki,for,ALDE,2017-07-05_58.
6388,Jakovčić,for,ALDE,2017-07-05_58.
6338,Ježek,for,ALDE,2017-07-05_58.
6328,Kallas,for,ALDE,2017-07-05_58.
6504,Kyuchyuk,for,ALDE,2017-07-05_58.
6740,Lalonde,for,ALDE,2017-07-05_58.
5362,Lambsdorff,for,ALDE,2017-07-05_58.
5889,Løkkegaard,for,ALDE,2017-07-05_58.
6376,Marinho e Pinto,for,ALDE,2017-07-05_58.
6402,Mazuronis,for,ALDE,2017-07-05_58.
6041,Meissner,for,ALDE,2017-07-05_58.
5857,Michel,for,ALDE,2017-07-05_58.
6690,Mihaylova,for,ALDE,2017-07-05_58.
6626,van Miltenburg,for,ALDE,2017-07-05_58.
6631,Mlinar,for,ALDE,2017-07-05_58.
6500,Müller,for,ALDE,2017-07-05_58.
6614,Nart,for,ALDE,2017-07-05_58.
5997,Nicolai,for,ALDE,2017-07-05_58.
6621,van Nieuwenhuizen,for,ALDE,2017-07-05_58.
6705,Paet,for,ALDE,2017-07-05_58.
6644,Pagazaurtundúa Ruiz,for,ALDE,2017-07-05_58.
6510,Petersen,for,ALDE,2017-07-05_58.
6266,Radoš,for,ALDE,2017-07-05_58.
4676,Ries,for,ALDE,2017-07-05_58.
6056,Riquet,for,ALDE,2017-07-05_58.
6154,Rochefort,for,ALDE,2017-07-05_58.
5890,Rohde,for,ALDE,2017-07-05_58.
6100,Schaake,for,ALDE,2017-07-05_58.
6722,Selimovic,for,ALDE,2017-07-05_58.
6337,Telička,for,ALDE,2017-07-05_58.
6331,Toom,for,ALDE,2017-07-05_58.
6281,Torvalds,for,ALDE,2017-07-05_58.
6181,Tremosa i Balcells,for,ALDE,2017-07-05_58.
5879,Uspaskich,for,ALDE,2017-07-05_58.
6151,Vajgl,for,ALDE,2017-07-05_58.
6710,Vautmans,for,ALDE,2017-07-05_58.
5770,Weber Renate,for,ALDE,2017-07-05_58.
6729,Wierinck,for,ALDE,2017-07-05_58.
5864,Wikström,for,ALDE,2017-07-05_58.
5262,Ashworth,for,ECR,2017-07-05_58.
6509,Barekov,for,ECR,2017-07-05_58.
6574,Bashir,for,ECR,2017-07-05_58.
4911,Belder,for,ECR,2017-07-05_58.
6081,Campbell Bannerman,for,ECR,2017-07-05_58.
5490,Czarnecki,for,ECR,2017-07-05_58.
6719,Czesak,for,ECR,2017-07-05_58.
5981,van Dalen,for,ECR,2017-07-05_58.
6712,Dalton,for,ECR,2017-07-05_58.
6291,Demesmaeker,for,ECR,2017-07-05_58.
6516,Dohrmann,for,ECR,2017-07-05_58.
6511,Dzhambazki,for,ECR,2017-07-05_58.
4880,Fitto,for,ECR,2017-07-05_58.
6743,Flack,for,ECR,2017-07-05_58.
4957,Foster,for,ECR,2017-07-05_58.
5472,Fotyga,for,ECR,2017-07-05_58.
6112,Fox,for,ECR,2017-07-05_58.
6539,Gosiewska,for,ECR,2017-07-05_58.
6358,Halla-aho,for,ECR,2017-07-05_58.
4959,Hannan,for,ECR,2017-07-05_58.
6460,Henkel,for,ECR,2017-07-05_58.
6725,Hoc,for,ECR,2017-07-05_58.
6531,Jurek,for,ECR,2017-07-05_58.
5563,Karim,for,ECR,2017-07-05_58.
6514,Karlsson,for,ECR,2017-07-05_58.
6525,Karski,for,ECR,2017-07-05_58.
6726,Kłosowski,for,ECR,2017-07-05_58.
6461,Kölmel,for,ECR,2017-07-05_58.
6530,Krasnodębski,for,ECR,2017-07-05_58.
5453,Krupa,for,ECR,2017-07-05_58.
5507,Kuźmiuk,for,ECR,2017-07-05_58.
5969,Legutko,for,ECR,2017-07-05_58.
6704,Loones,for,ECR,2017-07-05_58.
6457,Lucke,for,ECR,2017-07-05_58.
6234,McIntyre,for,ECR,2017-07-05_58.
5996,Macovei,for,ECR,2017-07-05_58.
6742,Matthews,for,ECR,2017-07-05_58.
5851,Messerschmidt,for,ECR,2017-07-05_58.
1230,Nicholson,for,ECR,2017-07-05_58.
6536,Ożóg,for,ECR,2017-07-05_58.
6512,Piecha,for,ECR,2017-07-05_58.
5460,Piotrowski,for,ECR,2017-07-05_58.
5974,Poręba,for,ECR,2017-07-05_58.
6736,Procter,for,ECR,2017-07-05_58.
6718,Ruohonen-Lerner,for,ECR,2017-07-05_58.
6428,Sernagiotto,for,ECR,2017-07-05_58.
6545,Škripek,for,ECR,2017-07-05_58.
6464,Starbatty,for,ECR,2017-07-05_58.
6682,Stevens,for,ECR,2017-07-05_58.
6546,Sulík,for,ECR,2017-07-05_58.
6088,Swinburne,for,ECR,2017-07-05_58.
4925,Tannock,for,ECR,2017-07-05_58.
5207,Theocharous,for,ECR,2017-07-05_58.
5878,Tomaševski,for,ECR,2017-07-05_58.
6300,Tomašić,for,ECR,2017-07-05_58.
5892,Tošenovský,for,ECR,2017-07-05_58.
5113,Ujazdowski,for,ECR,2017-07-05_58.
6711,Van Bossuyt,for,ECR,2017-07-05_58.
6513,Vistisen,for,ECR,2017-07-05_58.
6515,Wiśniewska,for,ECR,2017-07-05_58.
5052,Zahradil,for,ECR,2017-07-05_58.
5598,Zīle,for,ECR,2017-07-05_58.
6522,Złotowski,for,ECR,2017-07-05_58.
6524,Iwaszkiewicz,for,EFDD,2017-07-05_58.
5875,Paksas,for,EFDD,2017-07-05_58.
