mepid,mep,result,group,identifier
6679,Faria,for,ALDE,61238
5770,Weber Renate,for,ALDE,61238
5490,Czarnecki,for,ECR,61238
5472,Fotyga,for,ECR,61238
6539,Gosiewska,for,ECR,61238
6531,Jurek,for,ECR,61238
6525,Karski,for,ECR,61238
6530,Krasnodębski,for,ECR,61238
5507,Kuźmiuk,for,ECR,61238
5996,Macovei,for,ECR,61238
6667,Marias,for,ECR,61238
6536,Ożóg,for,ECR,61238
6512,Piecha,for,ECR,61238
5460,Piotrowski,for,ECR,61238
5974,Poręba,for,ECR,61238
5113,Ujazdowski,for,ECR,61238
6515,Wiśniewska,for,ECR,61238
5598,Zīle,for,ECR,61238
6468,Adinolfi,for,EFDD,61238
6431,Affronte,for,EFDD,61238
6445,Agea,for,EFDD,61238
6480,Aiuto,for,EFDD,61238
6411,Beghin,for,EFDD,61238
6374,Bergeron,for,EFDD,61238
6430,Borrelli,for,EFDD,61238
6446,Castaldo,for,EFDD,61238
6494,Corrao,for,EFDD,61238
6472,D'Amato,for,EFDD,61238
6413,Evi,for,EFDD,61238
6470,Ferrara,for,EFDD,61238
6497,Moi,for,EFDD,61238
6482,Pedicini,for,EFDD,61238
6447,Tamburrano,for,EFDD,61238
6412,Valli,for,EFDD,61238
6414,Zanni,for,EFDD,61238
6695,Zullo,for,EFDD,61238
6593,Annemans,for,ENF,61238
6391,Briois,for,ENF,61238
6654,Albiol Guzmán,for,GUE/NGL,61238
6723,Benito Ziluaga,for,GUE/NGL,61238
6604,Björk,for,GUE/NGL,61238
5237,Chountis,for,GUE/NGL,61238
6660,Chrysogonos,for,GUE/NGL,61238
6701,Couso Permuy,for,GUE/NGL,61238
6496,De Masi,for,GUE/NGL,61238
6501,Eck,for,GUE/NGL,61238
6024,Ernst,for,GUE/NGL,61238
6597,Flanagan,for,GUE/NGL,61238
6702,González Peñas,for,GUE/NGL,61238
6076,Hadjigeorgiou,for,GUE/NGL,61238
6023,Händel,for,GUE/NGL,61238
6628,Hazekamp,for,GUE/NGL,61238
6657,Juaristi Abaunz,for,GUE/NGL,61238
6713,Kouloglou,for,GUE/NGL,61238
6369,Kyllönen,for,GUE/NGL,61238
5909,Le Hyaric,for,GUE/NGL,61238
6026,Lösing,for,GUE/NGL,61238
6692,Maltese,for,GUE/NGL,61238
5992,Matias,for,GUE/NGL,61238
5916,Mélenchon,for,GUE/NGL,61238
5596,Papadimoulis,for,GUE/NGL,61238
6674,Sakorafa,for,GUE/NGL,61238
6641,Sánchez Caldentey,for,GUE/NGL,61238
5837,Scholz,for,GUE/NGL,61238
6655,Senra Rodríguez,for,GUE/NGL,61238
6444,Spinelli,for,GUE/NGL,61238
6321,Sylikiotis,for,GUE/NGL,61238
6716,Torres Martínez,for,GUE/NGL,61238
6715,Urbán Crespo,for,GUE/NGL,61238
6656,Vallina,for,GUE/NGL,61238
6030,Vergiat,for,GUE/NGL,61238
5368,Zimmer,for,GUE/NGL,61238
6469,Voigt,for,NI,61238
5788,Pietikäinen,for,PPE,61238
6356,Virkkunen,for,PPE,61238
5835,Childers,for,S&D,61238
6083,Cofferati,for,S&D,61238
6437,De Monte,for,S&D,61238
6502,Giuffrida,for,S&D,61238
5425,Gomes,for,S&D,61238
6720,Graswander-Hainz,for,S&D,61238
6146,Kadenbach,for,S&D,61238
6296,Mizzi,for,S&D,61238
6136,Regner,for,S&D,61238
6425,Viotti,for,S&D,61238
6235,Weidenholzer,for,S&D,61238
6463,Werner,for,S&D,61238
5910,Albrecht,for,Verts/ALE,61238
6606,Andersson,for,Verts/ALE,61238
5918,Bové,for,Verts/ALE,61238
6455,Buchner,for,Verts/ALE,61238
5913,Bütikofer,for,Verts/ALE,61238
5358,Cramer,for,Verts/ALE,61238
6040,Delli,for,Verts/ALE,61238
6324,Durand,for,Verts/ALE,61238
5899,Eickhout,for,Verts/ALE,61238
6554,Eriksson,for,Verts/ALE,61238
4954,Evans,for,Verts/ALE,61238
5904,Giegold,for,Verts/ALE,61238
5353,Harms,for,Verts/ALE,61238
5926,Häusling,for,Verts/ALE,61238
4535,Hautala,for,Verts/ALE,61238
6486,Heubuch,for,Verts/ALE,61238
6350,Jávor,for,Verts/ALE,61238
6054,Joly,for,Verts/ALE,61238
5908,Keller Ska,for,Verts/ALE,61238
4935,Lambert,for,Verts/ALE,61238
5838,Lamberts,for,Verts/ALE,61238
6149,Lunacek,for,Verts/ALE,61238
6550,Maragall,for,Verts/ALE,61238
6349,Meszerics,for,Verts/ALE,61238
6453,Reda,for,Verts/ALE,61238
6552,Reimon,for,Verts/ALE,61238
6529,Reintke,for,Verts/ALE,61238
5917,Rivasi,for,Verts/ALE,61238
6694,Ropė,for,Verts/ALE,61238
5987,Sargentini,for,Verts/ALE,61238
6560,Scott Cato,for,Verts/ALE,61238
6659,Sebastià,for,Verts/ALE,61238
6390,Škrlec,for,Verts/ALE,61238
6612,Šoltes,for,Verts/ALE,61238
4983,Staes,for,Verts/ALE,61238
6204,Taylor,for,Verts/ALE,61238
6549,Terricabras,for,Verts/ALE,61238
4847,Turmes,for,Verts/ALE,61238
6605,Valero,for,Verts/ALE,61238
6551,Vana,for,Verts/ALE,61238
5602,Ždanoka,for,Verts/ALE,61238
5682,Ali,against,ALDE,61238
6407,Arthuis,against,ALDE,61238
6400,Auštrevičius,against,ALDE,61238
6097,van Baalen,against,ALDE,61238
6646,Becerra Basterrechea,against,ALDE,61238
6089,Bilbao Barandica,against,ALDE,61238
6708,Calvet Chambon,against,ALDE,61238
5328,Cavada,against,ALDE,61238
6339,Charanzová,against,ALDE,61238
6226,De Backer,against,ALDE,61238
1060,Deprez,against,ALDE,61238
4758,de Sarnez,against,ALDE,61238
6340,Dlabajová,against,ALDE,61238
6601,Federley,against,ALDE,61238
6098,Gerbrandy,against,ALDE,61238
6658,Girauta Vidal,against,ALDE,61238
1793,Goerens,against,ALDE,61238
6169,Goulard,against,ALDE,61238
5330,Griesbeck,against,ALDE,61238
6379,Grigule,against,ALDE,61238
5246,Harkin,against,ALDE,61238
6622,Huitema,against,ALDE,61238
5681,Hyusmenova,against,ALDE,61238
5385,in 't Veld,against,ALDE,61238
6388,Jakovčić,against,ALDE,61238
6338,Ježek,against,ALDE,61238
6328,Kallas,against,ALDE,61238
6504,Kyuchyuk,against,ALDE,61238
5362,Lambsdorff,against,ALDE,61238
6376,Marinho e Pinto,against,ALDE,61238
6402,Mazuronis,against,ALDE,61238
6041,Meissner,against,ALDE,61238
5857,Michel,against,ALDE,61238
6626,van Miltenburg,against,ALDE,61238
6631,Mlinar,against,ALDE,61238
6500,Müller,against,ALDE,61238
6614,Nart,against,ALDE,61238
5997,Nicolai,against,ALDE,61238
6621,van Nieuwenhuizen,against,ALDE,61238
6644,Pagazaurtundúa Ruiz,against,ALDE,61238
6510,Petersen,against,ALDE,61238
6266,Radoš,against,ALDE,61238
4676,Ries,against,ALDE,61238
6056,Riquet,against,ALDE,61238
6154,Rochefort,against,ALDE,61238
6722,Selimovic,against,ALDE,61238
5435,Takkula,against,ALDE,61238
6337,Telička,against,ALDE,61238
6042,Theurer,against,ALDE,61238
6331,Toom,against,ALDE,61238
6281,Torvalds,against,ALDE,61238
6181,Tremosa i Balcells,against,ALDE,61238
5879,Uspaskich,against,ALDE,61238
6710,Vautmans,against,ALDE,61238
4550,Väyrynen,against,ALDE,61238
6159,Verhofstadt,against,ALDE,61238
5864,Wikström,against,ALDE,61238
5262,Ashworth,against,ECR,61238
6509,Barekov,against,ECR,61238
6574,Bashir,against,ECR,61238
4911,Belder,against,ECR,61238
6719,Czesak,against,ECR,61238
5981,van Dalen,against,ECR,61238
6712,Dalton,against,ECR,61238
6291,Demesmaeker,against,ECR,61238
4960,Deva,against,ECR,61238
6516,Dohrmann,against,ECR,61238
6511,Dzhambazki,against,ECR,61238
6104,Ford,against,ECR,61238
6112,Fox,against,ECR,61238
6452,Gericke,against,ECR,61238
6111,Girling,against,ECR,61238
6358,Halla-aho,against,ECR,61238
4959,Hannan,against,ECR,61238
6460,Henkel,against,ECR,61238
5630,Kamall,against,ECR,61238
5563,Karim,against,ECR,61238
6514,Karlsson,against,ECR,61238
4946,Kirkhope,against,ECR,61238
6461,Kölmel,against,ECR,61238
6561,Lewer,against,ECR,61238
6704,Loones,against,ECR,61238
6457,Lucke,against,ECR,61238
6234,McIntyre,against,ECR,61238
1230,Nicholson,against,ECR,61238
6467,Pretzell,against,ECR,61238
6718,Ruohonen-Lerner,against,ECR,61238
6428,Sernagiotto,against,ECR,61238
6545,Škripek,against,ECR,61238
6464,Starbatty,against,ECR,61238
6682,Stevens,against,ECR,61238
6462,von Storch,against,ECR,61238
6546,Sulík,against,ECR,61238
6088,Swinburne,against,ECR,61238
4925,Tannock,against,ECR,61238
6300,Tomašić,against,ECR,61238
5892,Tošenovský,against,ECR,61238
6711,Van Bossuyt,against,ECR,61238
5108,Wojciechowski,against,ECR,61238
5052,Zahradil,against,ECR,61238
6540,Žitňanská,against,ECR,61238
6066,Agnew,against,EFDD,61238
6559,Aker,against,EFDD,61238
6577,Arnott,against,EFDD,61238
5567,Batten,against,EFDD,61238
6573,Collins,against,EFDD,61238
6113,(The Earl of) Dartmouth,against,EFDD,61238
6569,Etheridge,against,EFDD,61238
6584,Gill Nathan,against,EFDD,61238
4920,Helmer,against,EFDD,61238
6575,Hookem,against,EFDD,61238
6524,Iwaszkiewicz,against,EFDD,61238
6556,James,against,EFDD,61238
6448,Mach,against,EFDD,61238
6557,O'Flynn,against,EFDD,61238
5875,Paksas,against,EFDD,61238
6563,Parker,against,EFDD,61238
6564,Reid,against,EFDD,61238
6568,Seymour,against,EFDD,61238
6585,Woolfe,against,EFDD,61238
6382,Arnautu,against,ENF,61238
6555,Atkinson,against,ENF,61238
6394,Bay,against,ENF,61238
6179,Bizzotto,against,ENF,61238
5010,Borghezio,against,ENF,61238
6387,Boutonnet,against,ENF,61238
6507,Buonanno,against,ENF,61238
6384,D'Ornano,against,ENF,61238
6401,Ferrand,against,ENF,61238
6132,Fontana,against,ENF,61238
6630,de Graaff,against,ENF,61238
6372,Lebreton,against,ENF,61238
6699,Loiseau,against,ENF,61238
6633,Maeijer,against,ENF,61238
6385,Martin Dominique,against,ENF,61238
6533,Marusik,against,ENF,61238
6399,Mélin,against,ENF,61238
6395,Monot,against,ENF,61238
6426,Rebega,against,ENF,61238
