mepid,mep,result,group,identifier
5682,Ali,for,ALDE,72297
6407,Arthuis,for,ALDE,72297
6646,Becerra Basterrechea,for,ALDE,72297
6089,Bilbao Barandica,for,ALDE,72297
5328,Cavada,for,ALDE,72297
1060,Deprez,for,ALDE,72297
4758,de Sarnez,for,ALDE,72297
6679,Faria,for,ALDE,72297
1793,Goerens,for,ALDE,72297
6169,Goulard,for,ALDE,72297
5330,Griesbeck,for,ALDE,72297
6379,Grigule,for,ALDE,72297
5246,Harkin,for,ALDE,72297
6388,Jakovčić,for,ALDE,72297
6376,Marinho e Pinto,for,ALDE,72297
6614,Nart,for,ALDE,72297
6644,Pagazaurtundúa Ruiz,for,ALDE,72297
4676,Ries,for,ALDE,72297
6056,Riquet,for,ALDE,72297
5890,Rohde,for,ALDE,72297
6181,Tremosa i Balcells,for,ALDE,72297
5879,Uspaskich,for,ALDE,72297
6151,Vajgl,for,ALDE,72297
5490,Czarnecki,for,ECR,72297
6719,Czesak,for,ECR,72297
6516,Dohrmann,for,ECR,72297
5472,Fotyga,for,ECR,72297
6539,Gosiewska,for,ECR,72297
6725,Hoc,for,ECR,72297
6531,Jurek,for,ECR,72297
6514,Karlsson,for,ECR,72297
6525,Karski,for,ECR,72297
6726,Kłosowski,for,ECR,72297
6530,Krasnodębski,for,ECR,72297
5453,Krupa,for,ECR,72297
5507,Kuźmiuk,for,ECR,72297
5969,Legutko,for,ECR,72297
6667,Marias,for,ECR,72297
5851,Messerschmidt,for,ECR,72297
6536,Ożóg,for,ECR,72297
6512,Piecha,for,ECR,72297
5460,Piotrowski,for,ECR,72297
5974,Poręba,for,ECR,72297
6718,Ruohonen-Lerner,for,ECR,72297
5878,Tomaševski,for,ECR,72297
5113,Ujazdowski,for,ECR,72297
6513,Vistisen,for,ECR,72297
6515,Wiśniewska,for,ECR,72297
5598,Zīle,for,ECR,72297
6522,Złotowski,for,ECR,72297
6468,Adinolfi,for,EFDD,72297
6431,Affronte,for,EFDD,72297
6480,Aiuto,for,EFDD,72297
6411,Beghin,for,EFDD,72297
