mepid,mep,result,group,identifier
1060,Deprez,for,ALDE,87281
5857,Michel,for,ALDE,87281
4676,Ries,for,ALDE,87281
6181,Tremosa i Balcells,for,ALDE,87281
6514,Karlsson,for,ECR,87281
5996,Macovei,for,ECR,87281
6718,Ruohonen-Lerner,for,ECR,87281
6468,Adinolfi,for,EFDD,87281
6445,Agea,for,EFDD,87281
6480,Aiuto,for,EFDD,87281
6411,Beghin,for,EFDD,87281
6374,Bergeron,for,EFDD,87281
6430,Borrelli,for,EFDD,87281
6446,Castaldo,for,EFDD,87281
6494,Corrao,for,EFDD,87281
6472,D'Amato,for,EFDD,87281
6413,Evi,for,EFDD,87281
6470,Ferrara,for,EFDD,87281
6497,Moi,for,EFDD,87281
5875,Paksas,for,EFDD,87281
6482,Pedicini,for,EFDD,87281
6447,Tamburrano,for,EFDD,87281
6412,Valli,for,EFDD,87281
6695,Zullo,for,EFDD,87281
6654,Albiol Guzmán,for,GUE/NGL,87281
6723,Benito Ziluaga,for,GUE/NGL,87281
6604,Björk,for,GUE/NGL,87281
5237,Chountis,for,GUE/NGL,87281
6701,Couso Permuy,for,GUE/NGL,87281
6501,Eck,for,GUE/NGL,87281
6024,Ernst,for,GUE/NGL,87281
5886,Ferreira,for,GUE/NGL,87281
6693,Forenza,for,GUE/NGL,87281
6702,González Peñas,for,GUE/NGL,87281
6076,Hadjigeorgiou,for,GUE/NGL,87281
6628,Hazekamp,for,GUE/NGL,87281
5922,de Jong,for,GUE/NGL,87281
6657,Juaristi Abaunz,for,GUE/NGL,87281
6313,Kari,for,GUE/NGL,87281
5909,Le Hyaric,for,GUE/NGL,87281
6653,López Bermejo,for,GUE/NGL,87281
6026,Lösing,for,GUE/NGL,87281
6692,Maltese,for,GUE/NGL,87281
5992,Matias,for,GUE/NGL,87281
6310,Michels,for,GUE/NGL,87281
6643,Mineur,for,GUE/NGL,87281
6250,Omarjee,for,GUE/NGL,87281
6727,Pimenta Lopes,for,GUE/NGL,87281
6674,Sakorafa,for,GUE/NGL,87281
6641,Sánchez Caldentey,for,GUE/NGL,87281
6758,Schirdewan,for,GUE/NGL,87281
5837,Scholz,for,GUE/NGL,87281
6444,Spinelli,for,GUE/NGL,87281
6321,Sylikiotis,for,GUE/NGL,87281
6716,Torres Martínez,for,GUE/NGL,87281
6715,Urbán Crespo,for,GUE/NGL,87281
6656,Vallina,for,GUE/NGL,87281
6030,Vergiat,for,GUE/NGL,87281
6678,Viegas,for,GUE/NGL,87281
6747,Vieu,for,GUE/NGL,87281
6669,Epitideios,for,NI,87281
6668,Fountoulis,for,NI,87281
6471,Sonneborn,for,NI,87281
6670,Synadinos,for,NI,87281
5252,Casa,for,PPE,87281
6679,Faria,for,PPE,87281
1508,Florenz,for,PPE,87281
6297,Metsola,for,PPE,87281
5788,Pietikäinen,for,PPE,87281
6749,Zammit Dimech,for,PPE,87281
6567,Anderson Lucy,for,S&D,87281
6279,Andrieu,for,S&D,87281
6687,Androulakis,for,S&D,87281
6553,Arena,for,S&D,87281
5426,Assis,for,S&D,87281
6378,Balas,for,S&D,87281
5866,Balčytis,for,S&D,87281
6611,Bayet,for,S&D,87281
6505,Benifei,for,S&D,87281
5173,Beňová,for,S&D,87281
3972,Berès,for,S&D,87281
6456,Bettini,for,S&D,87281
6650,Blanco López,for,S&D,87281
5867,Blinkevičiūtė,for,S&D,87281
6449,Bonafè,for,S&D,87281
6264,Borzan,for,S&D,87281
6572,Brannen,for,S&D,87281
5465,Bresso,for,S&D,87281
6421,Briano,for,S&D,87281
4690,Bullmann,for,S&D,87281
6489,Caputo,for,S&D,87281
5835,Childers,for,S&D,87281
6499,Chinnici,for,S&D,87281
5284,Christensen,for,S&D,87281
4628,Corbett,for,S&D,87281
6085,Costa,for,S&D,87281
6589,Dalli,for,S&D,87281
6570,Dance,for,S&D,87281
6458,Danti,for,S&D,87281
6062,De Castro,for,S&D,87281
6410,Delvaux,for,S&D,87281
6437,De Monte,for,S&D,87281
5816,Denanot,for,S&D,87281
6763,Detjen,for,S&D,87281
6420,Drăghici,for,S&D,87281
6014,Ertug,for,S&D,87281
6080,Fajon,for,S&D,87281
6012,Fleckenstein,for,S&D,87281
6620,Freund,for,S&D,87281
6424,Frunzulică,for,S&D,87281
5417,García Pérez,for,S&D,87281
6130,Gardiazabal Rubial,for,S&D,87281
3827,Gebhardt,for,S&D,87281
6005,Geier,for,S&D,87281
4937,Gill Neena,for,S&D,87281
6502,Giuffrida,for,S&D,87281
5425,Gomes,for,S&D,87281
6720,Graswander-Hainz,for,S&D,87281
6580,Griffin,for,S&D,87281
6063,Gualtieri,for,S&D,87281
5941,Guerrero Salom,for,S&D,87281
6107,Guillaume,for,S&D,87281
6603,Guteland,for,S&D,87281
6212,Gutiérrez Prieto,for,S&D,87281
5261,Hedh,for,S&D,87281
4994,Honeyball,for,S&D,87281
6745,Howarth,for,S&D,87281
6029,Ivan,for,S&D,87281
5870,Jaakonsaari,for,S&D,87281
6161,Jáuregui Atondo,for,S&D,87281
6624,Jongerius,for,S&D,87281
6146,Kadenbach,for,S&D,87281
6686,Kaili,for,S&D,87281
6009,Kammerevert,for,S&D,87281
3756,Kaufmann,for,S&D,87281
6326,Keller Jan,for,S&D,87281
6744,Khan,for,S&D,87281
6571,Kirton-Darling,for,S&D,87281
6508,Kofod,for,S&D,87281
6739,Kohn,for,S&D,87281
6459,Köster,for,S&D,87281
3761,Krehl,for,S&D,87281
6367,Kumpula-Natri,for,S&D,87281
6435,Kyenge,for,S&D,87281
6689,Kyrkos,for,S&D,87281
3823,Lange,for,S&D,87281
4685,Leinen,for,S&D,87281
6477,Lietz,for,S&D,87281
6648,López,for,S&D,87281
5860,Ludvigsson,for,S&D,87281
6380,Mamikins,for,S&D,87281
5314,Maňka,for,S&D,87281
6355,Manscour,for,S&D,87281
1133,Martin David,for,S&D,87281
6565,Martin Edouard,for,S&D,87281
6354,Maurel,for,S&D,87281
6737,Mayer Alex,for,S&D,87281
6476,Melior,for,S&D,87281
6296,Mizzi,for,S&D,87281
6351,Molnár,for,S&D,87281
6562,Moody,for,S&D,87281
4923,Moraes,for,S&D,87281
6422,Morgano,for,S&D,87281
6506,Mosca,for,S&D,87281
6016,Neuser,for,S&D,87281
6418,Nica,for,S&D,87281
6352,Niedermüller,for,S&D,87281
6156,Padar,for,S&D,87281
5483,Panzeri,for,S&D,87281
6103,Pargneaux,for,S&D,87281
5648,Paşcu,for,S&D,87281
6707,Pavel,for,S&D,87281
5296,Peillon,for,S&D,87281
6484,Picierno,for,S&D,87281
6261,Picula,for,S&D,87281
6625,Piri,for,S&D,87281
5894,Poc,for,S&D,87281
6330,Poche,for,S&D,87281
6753,Popa,for,S&D,87281
6609,Post,for,S&D,87281
6526,Preuß,for,S&D,87281
6136,Regner,for,S&D,87281
6316,Revault d'Allonnes Bonnefoy,for,S&D,87281
6677,Rodrigues Liliana,for,S&D,87281
6371,Rodrigues Maria João,for,S&D,87281
6649,Rodríguez-Piñero Fernández,for,S&D,87281
5813,Rodust,for,S&D,87281
6357,Rozière,for,S&D,87281
6415,Sant,for,S&D,87281
5013,dos Santos,for,S&D,87281
6036,Sassoli,for,S&D,87281
5713,Schaldemose,for,S&D,87281
6438,Schlein,for,S&D,87281
6475,Schuster,for,S&D,87281
5897,Sehnalová,for,S&D,87281
6375,Serrão Santos,for,S&D,87281
6381,Silva Pereira,for,S&D,87281
6008,Simon Peter,for,S&D,87281
6566,Simon Siôn,for,S&D,87281
6093,Sippel,for,S&D,87281
5844,Smolková,for,S&D,87281
4949,Stihler,for,S&D,87281
6334,Szanyi,for,S&D,87281
6623,Tang,for,S&D,87281
6427,Țapardel,for,S&D,87281
5624,Tarabella,for,S&D,87281
6282,Thomas,for,S&D,87281
5459,Toia,for,S&D,87281
6336,Ujhelyi,for,S&D,87281
5859,Ulvskog,for,S&D,87281
4757,Valenciano,for,S&D,87281
4990,Van Brempt,for,S&D,87281
6086,Vaughan,for,S&D,87281
6425,Viotti,for,S&D,87281
6582,Ward,for,S&D,87281
6235,Weidenholzer,for,S&D,87281
6478,von Weizsäcker,for,S&D,87281
6463,Werner,for,S&D,87281
6011,Westphal,for,S&D,87281
6735,Wölken,for,S&D,87281
5845,Zala,for,S&D,87281
6434,Zanonato,for,S&D,87281
6714,Zoffoli,for,S&D,87281
6373,Zorrinho,for,S&D,87281
6431,Affronte,for,Verts/ALE,87281
5910,Albrecht,for,Verts/ALE,87281
6606,Andersson,for,Verts/ALE,87281
5291,Auken,for,Verts/ALE,87281
6455,Buchner,for,Verts/ALE,87281
5913,Bütikofer,for,Verts/ALE,87281
5358,Cramer,for,Verts/ALE,87281
6730,Dalunde,for,Verts/ALE,87281
6040,Delli,for,Verts/ALE,87281
6324,Durand,for,Verts/ALE,87281
5899,Eickhout,for,Verts/ALE,87281
6703,Engström,for,Verts/ALE,87281
4954,Evans,for,Verts/ALE,87281
5904,Giegold,for,Verts/ALE,87281
5353,Harms,for,Verts/ALE,87281
5926,Häusling,for,Verts/ALE,87281
4535,Hautala,for,Verts/ALE,87281
6350,Jávor,for,Verts/ALE,87281
6054,Joly,for,Verts/ALE,87281
5908,Keller Ska,for,Verts/ALE,87281
4935,Lambert,for,Verts/ALE,87281
5838,Lamberts,for,Verts/ALE,87281
5902,Lochbihler,for,Verts/ALE,87281
6732,Marcellesi,for,Verts/ALE,87281
6349,Meszerics,for,Verts/ALE,87281
6453,Reda,for,Verts/ALE,87281
6552,Reimon,for,Verts/ALE,87281
6529,Reintke,for,Verts/ALE,87281
5917,Rivasi,for,Verts/ALE,87281
6694,Ropė,for,Verts/ALE,87281
5987,Sargentini,for,Verts/ALE,87281
6560,Scott Cato,for,Verts/ALE,87281
5571,Smith,for,Verts/ALE,87281
6738,Solé,for,Verts/ALE,87281
6612,Šoltes,for,Verts/ALE,87281
4983,Staes,for,Verts/ALE,87281
6204,Taylor,for,Verts/ALE,87281
6549,Terricabras,for,Verts/ALE,87281
5360,Trüpel,for,Verts/ALE,87281
4847,Turmes,for,Verts/ALE,87281
6591,Urtasun,for,Verts/ALE,87281
6605,Valero,for,Verts/ALE,87281
6551,Vana,for,Verts/ALE,87281
6757,Waitz,for,Verts/ALE,87281
5602,Ždanoka,for,Verts/ALE,87281
5682,Ali,against,ALDE,87281
6407,Arthuis,against,ALDE,87281
6400,Auštrevičius,against,ALDE,87281
6097,van Baalen,against,ALDE,87281
6110,Bearder,against,ALDE,87281
6646,Becerra Basterrechea,against,ALDE,87281
6089,Bilbao Barandica,against,ALDE,87281
6339,Charanzová,against,ALDE,87281
6439,Diaconu,against,ALDE,87281
6340,Dlabajová,against,ALDE,87281
6601,Federley,against,ALDE,87281
6098,Gerbrandy,against,ALDE,87281
6724,Giménez Barbat,against,ALDE,87281
1793,Goerens,against,ALDE,87281
5330,Griesbeck,against,ALDE,87281
6379,Grigule-Pēterse,against,ALDE,87281
5246,Harkin,against,ALDE,87281
6043,Hirsch,against,ALDE,87281
6622,Huitema,against,ALDE,87281
5681,Hyusmenova,against,ALDE,87281
5385,in 't Veld,against,ALDE,87281
5433,Jäätteenmäki,against,ALDE,87281
6388,Jakovčić,against,ALDE,87281
6338,Ježek,against,ALDE,87281
5364,Klinz,against,ALDE,87281
6504,Kyuchyuk,against,ALDE,87281
5889,Løkkegaard,against,ALDE,87281
6376,Marinho e Pinto,against,ALDE,87281
6402,Mazuronis,against,ALDE,87281
6041,Meissner,against,ALDE,87281
6690,Mihaylova,against,ALDE,87281
6626,van Miltenburg,against,ALDE,87281
6631,Mlinar,against,ALDE,87281
6500,Müller,against,ALDE,87281
6760,Nagtegaal,against,ALDE,87281
6614,Nart,against,ALDE,87281
5997,Nicolai,against,ALDE,87281
6705,Paet,against,ALDE,87281
6644,Pagazaurtundúa Ruiz,against,ALDE,87281
6510,Petersen,against,ALDE,87281
6266,Radoš,against,ALDE,87281
6056,Riquet,against,ALDE,87281
6154,Rochefort,against,ALDE,87281
5890,Rohde,against,ALDE,87281
6100,Schaake,against,ALDE,87281
6722,Selimovic,against,ALDE,87281
5435,Takkula,against,ALDE,87281
6337,Telička,against,ALDE,87281
6331,Toom,against,ALDE,87281
6151,Vajgl,against,ALDE,87281
6710,Vautmans,against,ALDE,87281
6159,Verhofstadt,against,ALDE,87281
5770,Weber Renate,against,ALDE,87281
6729,Wierinck,against,ALDE,87281
5262,Ashworth,against,ECR,87281
6509,Barekov,against,ECR,87281
6574,Bashir,against,ECR,87281
4911,Belder,against,ECR,87281
6081,Campbell Bannerman,against,ECR,87281
5490,Czarnecki,against,ECR,87281
6719,Czesak,against,ECR,87281
5981,van Dalen,against,ECR,87281
6712,Dalton,against,ECR,87281
6291,Demesmaeker,against,ECR,87281
6516,Dohrmann,against,ECR,87281
6511,Dzhambazki,against,ECR,87281
6743,Flack,against,ECR,87281
4957,Foster,against,ECR,87281
5472,Fotyga,against,ECR,87281
6112,Fox,against,ECR,87281
6452,Gericke,against,ECR,87281
6111,Girling,against,ECR,87281
6539,Gosiewska,against,ECR,87281
6358,Halla-aho,against,ECR,87281
4959,Hannan,against,ECR,87281
6460,Henkel,against,ECR,87281
6531,Jurek,against,ECR,87281
5630,Kamall,against,ECR,87281
5563,Karim,against,ECR,87281
6726,Kłosowski,against,ECR,87281
6461,Kölmel,against,ECR,87281
6530,Krasnodębski,against,ECR,87281
5453,Krupa,against,ECR,87281
5507,Kuźmiuk,against,ECR,87281
6704,Loones,against,ECR,87281
6457,Lucke,against,ECR,87281
6087,McClarkin,against,ECR,87281
6234,McIntyre,against,ECR,87281
6667,Marias,against,ECR,87281
6742,Matthews,against,ECR,87281
5851,Messerschmidt,against,ECR,87281
6752,Mobarik,against,ECR,87281
6536,Ożóg,against,ECR,87281
6512,Piecha,against,ECR,87281
5460,Piotrowski,against,ECR,87281
5974,Poręba,against,ECR,87281
6736,Procter,against,ECR,87281
6428,Sernagiotto,against,ECR,87281
6545,Škripek,against,ECR,87281
6464,Starbatty,against,ECR,87281
6682,Stevens,against,ECR,87281
6546,Sulík,against,ECR,87281
6088,Swinburne,against,ECR,87281
4925,Tannock,against,ECR,87281
5878,Tomaševski,against,ECR,87281
6300,Tomašić,against,ECR,87281
5892,Tošenovský,against,ECR,87281
6466,Trebesius,against,ECR,87281
5113,Ujazdowski,against,ECR,87281
6711,Van Bossuyt,against,ECR,87281
5052,Zahradil,against,ECR,87281
6540,Žitňanská,against,ECR,87281
6522,Złotowski,against,ECR,87281
6066,Agnew,against,EFDD,87281
6559,Aker,against,EFDD,87281
6577,Arnott,against,EFDD,87281
5567,Batten,against,EFDD,87281
6583,Bours,against,EFDD,87281
6748,Bullock,against,EFDD,87281
6590,Carver,against,EFDD,87281
6586,Coburn,against,EFDD,87281
6573,Collins,against,EFDD,87281
6384,D'Ornano,against,EFDD,87281
6569,Etheridge,against,EFDD,87281
6584,Gill Nathan,against,EFDD,87281
6575,Hookem,against,EFDD,87281
6524,Iwaszkiewicz,against,EFDD,87281
6608,Lundgren,against,EFDD,87281
6759,Meuthen,against,EFDD,87281
6403,Montel,against,EFDD,87281
5977,Nuttall,against,EFDD,87281
6557,O'Flynn,against,EFDD,87281
6563,Parker,against,EFDD,87281
6754,Payne,against,EFDD,87281
6564,Reid,against,EFDD,87281
6607,Winberg,against,EFDD,87281
6382,Arnautu,against,ENF,87281
6555,Atkinson,against,ENF,87281
6394,Bay,against,ENF,87281
6405,Bilde,against,ENF,87281
6179,Bizzotto,against,ENF,87281
5010,Borghezio,against,ENF,87281
6387,Boutonnet,against,ENF,87281
6391,Briois,against,ENF,87281
6741,Elissen,against,ENF,87281
6450,Goddyn,against,ENF,87281
6630,de Graaff,against,ENF,87281
6404,Jalkh,against,ENF,87281
6751,Jamet,against,ENF,87281
6629,Kappel,against,ENF,87281
6372,Lebreton,against,ENF,87281
6746,Lechevalier,against,ENF,87281
6699,Loiseau,against,ENF,87281
6385,Martin Dominique,against,ENF,87281
6533,Marusik,against,ENF,87281
6627,Mayer Georg,against,ENF,87281
6399,Mélin,against,ENF,87281
6123,Obermayr,against,ENF,87281
6467,Pretzell,against,ENF,87281
6426,Rebega,against,ENF,87281
6389,Schaffhauser,against,ENF,87281
6634,Stuger,against,ENF,87281
6392,Troszczynski,against,ENF,87281
6610,Vilimsky,against,ENF,87281
6228,Zijlstra,against,ENF,87281
6048,Balczó,against,NI,87281
6386,Chauprade,against,NI,87281
6106,Dodds,against,NI,87281
1380,Gollnisch,against,NI,87281
6556,James,against,NI,87281
6517,Korwin-Mikke,against,NI,87281
6676,Papadakis Konstantinos,against,NI,87281
5416,Saryusz-Wolski,against,NI,87281
6469,Voigt,against,NI,87281
6673,Zarianopoulos,against,NI,87281
6602,Adaktusson,against,PPE,87281
6755,Ademov,against,PPE,87281
1340,Alliot-Marie,against,PPE,87281
5395,Andrikienė,against,PPE,87281
4742,Ayuso,against,PPE,87281
6135,Balz,against,PPE,87281
6216,Becker,against,PPE,87281
5377,Belet,against,PPE,87281
6343,Bocskor,against,PPE,87281
1507,Böge,against,PPE,87281
6613,Bogovič,against,PPE,87281
6535,Boni,against,PPE,87281
1278,Brok,against,PPE,87281
6617,Buda,against,PPE,87281
5729,Buşoi,against,PPE,87281
5388,Buzek,against,PPE,87281
6021,Cadec,against,PPE,87281
5928,van de Camp,against,PPE,87281
5341,Caspary,against,PPE,87281
5508,del Castillo Vera,against,PPE,87281
5236,Christoforou,against,PPE,87281
6492,Cicu,against,PPE,87281
6406,Cirio,against,PPE,87281
6600,Clune,against,PPE,87281
3800,Coelho,against,PPE,87281
6273,Collin-Langen,against,PPE,87281
5861,Corazza Bildt,against,PPE,87281
6548,Csáky,against,PPE,87281
5921,Danjean,against,PPE,87281
6194,Dantin,against,PPE,87281
6172,Dati,against,PPE,87281
6364,Delahaye,against,PPE,87281
6345,Deli,against,PPE,87281
5350,Deß,against,PPE,87281
5515,Díaz de Mera García Consuegra,against,PPE,87281
6762,Didier,against,PPE,87281
5960,Dorfmann,against,PPE,87281
5348,Ehler,against,PPE,87281
6342,Erdős,against,PPE,87281
5983,Estaràs Ferragut,against,PPE,87281
3833,Ferber,against,PPE,87281
6068,Fernandes,against,PPE,87281
5256,Fjellner,against,PPE,87281
4659,Gahler,against,PPE,87281
5280,Gál,against,PPE,87281
6615,Gambús,against,PPE,87281
5803,Gardini,against,PPE,87281
6441,Gieseke,against,PPE,87281
6632,González Pons,against,PPE,87281
5511,de Grandes Pascual,against,PPE,87281
5342,Gräßle,against,PPE,87281
4032,Grossetête,against,PPE,87281
5109,Grzyb,against,PPE,87281
6397,Guoga,against,PPE,87281
5138,Gyürk,against,PPE,87281
6596,Hayes,against,PPE,87281
5018,Herranz García,against,PPE,87281
6534,Hetman,against,PPE,87281
5953,Hohlmeier,against,PPE,87281
5254,Hökmark,against,PPE,87281
6346,Hölvényi,against,PPE,87281
4987,Hortefeux,against,PPE,87281
5952,Hübner,against,PPE,87281
5516,Iturgaiz,against,PPE,87281
5945,Jahr,against,PPE,87281
5954,Jazłowiecka,against,PPE,87281
6360,Joulaud,against,PPE,87281
6055,Juvin,against,PPE,87281
5944,Kalinowski,against,PPE,87281
6095,Kalniete,against,PPE,87281
6070,Kariņš,against,PPE,87281
6666,Kefalogiannis,against,PPE,87281
5542,Kelam,against,PPE,87281
5855,Kelly,against,PPE,87281
3759,Koch,against,PPE,87281
6001,Kósa,against,PPE,87281
6196,Kovatchev,against,PPE,87281
6527,Kozłowska-Rajewicz,against,PPE,87281
5403,Kudrycka,against,PPE,87281
5940,Kuhn,against,PPE,87281
5840,Kukan,against,PPE,87281
6662,Kyrtsos,against,PPE,87281
1350,Lamassoure,against,PPE,87281
5727,de Lange,against,PPE,87281
3856,Langen,against,PPE,87281
5988,La Via,against,PPE,87281
6363,Lavrilleux,against,PPE,87281
6592,Lenaers,against,PPE,87281
5105,Lewandowski,against,PPE,87281
3855,Liese,against,PPE,87281
6442,Lins,against,PPE,87281
5938,Lope Fontagné,against,PPE,87281
5517,López-Istúriz White,against,PPE,87281
5964,Łukacijewska,against,PPE,87281
6440,McAllister,against,PPE,87281
6303,Maletić,against,PPE,87281
6245,Malinov,against,PPE,87281
6761,Mandl,against,PPE,87281
5774,Mănescu,against,PPE,87281
3845,Mann,against,PPE,87281
5646,Marinescu,against,PPE,87281
6465,Martusciello,against,PPE,87281
5985,Matera,against,PPE,87281
6096,Mato,against,PPE,87281
6483,Maydell,against,PPE,87281
6121,Melo,against,PPE,87281
5308,Mikolášik,against,PPE,87281
5518,Millán Mon,against,PPE,87281
6423,Moisă,against,PPE,87281
6368,Morano,against,PPE,87281
5732,Morin-Chartier,against,PPE,87281
6436,Mureşan,against,PPE,87281
5547,Mussolini,against,PPE,87281
6544,Nagy,against,PPE,87281
4712,Niebler,against,PPE,87281
6332,Niedermayer,against,PPE,87281
5295,van Nistelrooij,against,PPE,87281
6709,Novakov,against,PPE,87281
5407,Olbrycht,against,PPE,87281
6377,Pabriks,against,PPE,87281
5702,Patriciello,against,PPE,87281
5033,Peterle,against,PPE,87281
6383,Petir,against,PPE,87281
5346,Pieper,against,PPE,87281
6537,Pitera,against,PPE,87281
6519,Plura,against,PPE,87281
6491,Pogliese,against,PPE,87281
6335,Polčák,against,PPE,87281
6700,Pospíšil,against,PPE,87281
6010,Preda,against,PPE,87281
6224,Proust,against,PPE,87281
1487,Quisthoudt-Rowohl,against,PPE,87281
6488,Radev,against,PPE,87281
6750,Radtke,against,PPE,87281
6072,Rangel,against,PPE,87281
6365,Ribeiro,against,PPE,87281
6684,Rolin,against,PPE,87281
5512,Rosati,against,PPE,87281
6362,Ruas,against,PPE,87281
4596,Rübig,against,PPE,87281
4768,Saïfi,against,PPE,87281
3991,Salafranca Sánchez-Neyra,against,PPE,87281
6698,Salini,against,PPE,87281
6370,Sander,against,PPE,87281
6259,Sarvamaa,against,PPE,87281
5877,Saudargas,against,PPE,87281
6619,Schmidt,against,PPE,87281
5265,Schöpflin,against,PPE,87281
6636,Schreijer-Pierik,against,PPE,87281
6443,Schulze,against,PPE,87281
5345,Schwab,against,PPE,87281
5111,Siekierski,against,PPE,87281
5781,Sógor,against,PPE,87281
6341,Šojdrová,against,PPE,87281
4705,Sommer,against,PPE,87281
6663,Spyraki,against,PPE,87281
6547,Štefanec,against,PPE,87281
6333,Štětina,against,PPE,87281
6301,Šuica,against,PPE,87281
6680,Šulin,against,PPE,87281
6672,Svoboda,against,PPE,87281
5143,Szájer,against,PPE,87281
