mepid,mep,result,group,identifier
6653,López Bermejo,for,GUE/NGL,2017-09-13_8.
6026,Lösing,for,GUE/NGL,2017-09-13_8.
6692,Maltese,for,GUE/NGL,2017-09-13_8.
5044,Maštálka,for,GUE/NGL,2017-09-13_8.
5992,Matias,for,GUE/NGL,2017-09-13_8.
6643,Mineur,for,GUE/NGL,2017-09-13_8.
6599,Ní Riada,for,GUE/NGL,2017-09-13_8.
6250,Omarjee,for,GUE/NGL,2017-09-13_8.
5596,Papadimoulis,for,GUE/NGL,2017-09-13_8.
6674,Sakorafa,for,GUE/NGL,2017-09-13_8.
6641,Sánchez Caldentey,for,GUE/NGL,2017-09-13_8.
5837,Scholz,for,GUE/NGL,2017-09-13_8.
6655,Senra Rodríguez,for,GUE/NGL,2017-09-13_8.
6444,Spinelli,for,GUE/NGL,2017-09-13_8.
6716,Torres Martínez,for,GUE/NGL,2017-09-13_8.
6715,Urbán Crespo,for,GUE/NGL,2017-09-13_8.
6656,Vallina,for,GUE/NGL,2017-09-13_8.
6030,Vergiat,for,GUE/NGL,2017-09-13_8.
6048,Balczó,for,NI,2017-09-13_8.
6386,Chauprade,for,NI,2017-09-13_8.
5849,Morvai,for,NI,2017-09-13_8.
5416,Saryusz-Wolski,for,NI,2017-09-13_8.
6602,Adaktusson,for,PPE,2017-09-13_8.
1340,Alliot-Marie,for,PPE,2017-09-13_8.
5395,Andrikienė,for,PPE,2017-09-13_8.
6594,Arimont,for,PPE,2017-09-13_8.
4742,Ayuso,for,PPE,2017-09-13_8.
6191,Bach,for,PPE,2017-09-13_8.
6216,Becker,for,PPE,2017-09-13_8.
5377,Belet,for,PPE,2017-09-13_8.
5885,Bendtsen,for,PPE,2017-09-13_8.
6343,Bocskor,for,PPE,2017-09-13_8.
1507,Böge,for,PPE,2017-09-13_8.
6613,Bogovič,for,PPE,2017-09-13_8.
6535,Boni,for,PPE,2017-09-13_8.
1278,Brok,for,PPE,2017-09-13_8.
6617,Buda,for,PPE,2017-09-13_8.
5729,Buşoi,for,PPE,2017-09-13_8.
5388,Buzek,for,PPE,2017-09-13_8.
5928,van de Camp,for,PPE,2017-09-13_8.
5252,Casa,for,PPE,2017-09-13_8.
5341,Caspary,for,PPE,2017-09-13_8.
5508,del Castillo Vera,for,PPE,2017-09-13_8.
5554,Cesa,for,PPE,2017-09-13_8.
5236,Christoforou,for,PPE,2017-09-13_8.
6492,Cicu,for,PPE,2017-09-13_8.
6406,Cirio,for,PPE,2017-09-13_8.
6600,Clune,for,PPE,2017-09-13_8.
3800,Coelho,for,PPE,2017-09-13_8.
6273,Collin-Langen,for,PPE,2017-09-13_8.
5948,Comi,for,PPE,2017-09-13_8.
6548,Csáky,for,PPE,2017-09-13_8.
5921,Danjean,for,PPE,2017-09-13_8.
6194,Dantin,for,PPE,2017-09-13_8.
6172,Dati,for,PPE,2017-09-13_8.
6364,Delahaye,for,PPE,2017-09-13_8.
6345,Deli,for,PPE,2017-09-13_8.
5350,Deß,for,PPE,2017-09-13_8.
5998,Deutsch,for,PPE,2017-09-13_8.
5515,Díaz de Mera García Consuegra,for,PPE,2017-09-13_8.
5960,Dorfmann,for,PPE,2017-09-13_8.
5348,Ehler,for,PPE,2017-09-13_8.
6047,Engel,for,PPE,2017-09-13_8.
5983,Estaràs Ferragut,for,PPE,2017-09-13_8.
6679,Faria,for,PPE,2017-09-13_8.
3833,Ferber,for,PPE,2017-09-13_8.
6068,Fernandes,for,PPE,2017-09-13_8.
5903,Fisas Ayxelà,for,PPE,2017-09-13_8.
5256,Fjellner,for,PPE,2017-09-13_8.
1508,Florenz,for,PPE,2017-09-13_8.
4659,Gahler,for,PPE,2017-09-13_8.
6615,Gambús,for,PPE,2017-09-13_8.
5803,Gardini,for,PPE,2017-09-13_8.
6441,Gieseke,for,PPE,2017-09-13_8.
6632,González Pons,for,PPE,2017-09-13_8.
5511,de Grandes Pascual,for,PPE,2017-09-13_8.
5342,Gräßle,for,PPE,2017-09-13_8.
4032,Grossetête,for,PPE,2017-09-13_8.
5109,Grzyb,for,PPE,2017-09-13_8.
6397,Guoga,for,PPE,2017-09-13_8.
6596,Hayes,for,PPE,2017-09-13_8.
5018,Herranz García,for,PPE,2017-09-13_8.
6534,Hetman,for,PPE,2017-09-13_8.
5953,Hohlmeier,for,PPE,2017-09-13_8.
5254,Hökmark,for,PPE,2017-09-13_8.
4987,Hortefeux,for,PPE,2017-09-13_8.
5952,Hübner,for,PPE,2017-09-13_8.
5516,Iturgaiz,for,PPE,2017-09-13_8.
5945,Jahr,for,PPE,2017-09-13_8.
5954,Jazłowiecka,for,PPE,2017-09-13_8.
5978,Jiménez-Becerril Barrio,for,PPE,2017-09-13_8.
6360,Joulaud,for,PPE,2017-09-13_8.
6055,Juvin,for,PPE,2017-09-13_8.
5944,Kalinowski,for,PPE,2017-09-13_8.
6095,Kalniete,for,PPE,2017-09-13_8.
4669,Karas,for,PPE,2017-09-13_8.
6070,Kariņš,for,PPE,2017-09-13_8.
6666,Kefalogiannis,for,PPE,2017-09-13_8.
5542,Kelam,for,PPE,2017-09-13_8.
5855,Kelly,for,PPE,2017-09-13_8.
3759,Koch,for,PPE,2017-09-13_8.
6001,Kósa,for,PPE,2017-09-13_8.
6053,Köstinger,for,PPE,2017-09-13_8.
6196,Kovatchev,for,PPE,2017-09-13_8.
6527,Kozłowska-Rajewicz,for,PPE,2017-09-13_8.
5403,Kudrycka,for,PPE,2017-09-13_8.
5940,Kuhn,for,PPE,2017-09-13_8.
5840,Kukan,for,PPE,2017-09-13_8.
6662,Kyrtsos,for,PPE,2017-09-13_8.
1350,Lamassoure,for,PPE,2017-09-13_8.
5727,de Lange,for,PPE,2017-09-13_8.
3856,Langen,for,PPE,2017-09-13_8.
5988,La Via,for,PPE,2017-09-13_8.
6363,Lavrilleux,for,PPE,2017-09-13_8.
6592,Lenaers,for,PPE,2017-09-13_8.
5105,Lewandowski,for,PPE,2017-09-13_8.
3855,Liese,for,PPE,2017-09-13_8.
